#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    0.610656    0.610656           0
           2    0.612175    0.611416 0.000537017
           3    0.619628    0.614153  0.00226358
           4    0.613793    0.614063  0.00169947
           5    0.613772    0.614005  0.00136058
           6    0.612243    0.613711  0.00116508
           7    0.610619    0.613269  0.00107913
           8    0.614995    0.613485  0.00096556
           9    0.612363     0.61336 0.000866293
          10    0.619131    0.613937  0.00095265
