#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.19447    -7.19447           0
           2    -7.19494    -7.19471 0.000167489
           3     -7.2026    -7.19734  0.00215074
           4    -7.19694    -7.19724   0.0016154
           5     -7.1981    -7.19741  0.00130145
           6    -7.19608    -7.19719  0.00110334
           7    -7.19345    -7.19665  0.00106742
           8    -7.19801    -7.19682 0.000947366
           9    -7.19572     -7.1967 0.000850046
          10    -7.20199    -7.19723 0.000914932
