#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     0.50128     0.50128           0
           2    0.502304    0.501792 0.000361997
           3    0.507503    0.503696  0.00157298
           4    0.503419    0.503626  0.00118126
           5    0.503455    0.503592 0.000945503
           6    0.502361    0.503387 0.000809869
           7    0.501288    0.503087 0.000747628
           8    0.504308     0.50324 0.000669565
           9      0.5025    0.503157 0.000600197
          10    0.506982     0.50354 0.000650728
