#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.407104    0.407104           0
           2    0.408117     0.40761 0.000358012
           3    0.413085    0.409435  0.00150905
           4    0.409195    0.409375  0.00113298
           5    0.409181    0.409337 0.000907051
           6    0.408162    0.409141 0.000776722
           7    0.407079    0.408846 0.000719423
           8    0.409997     0.40899 0.000643707
           9    0.408242    0.408907 0.000577528
          10    0.412754    0.409292   0.0006351
