#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -6.58381    -6.58381           0
           2    -6.58277    -6.58329 0.000369528
           3    -6.58297    -6.58319 0.000261347
           4    -6.58314    -6.58317 0.000196227
           5    -6.58433    -6.58341 0.000258983
           6    -6.58383    -6.58348 0.000225497
           7    -6.58283    -6.58338 0.000211567
           8    -6.58301    -6.58334 0.000190089
           9    -6.58335    -6.58334 0.000168976
          10    -6.58286    -6.58329  0.00015877
