BLOCK:	DISTANCE:	ACTUAL_G:	AVE_GOFR:	ERROR:
1	0.0323165	0	0	0
1	0.0969496	0	0	0
1	0.161583	0	0	0
1	0.226216	0	0	0
1	0.290849	0	0	0
1	0.355482	0	0	0
1	0.420115	0	0	0
1	0.484748	0	0	0
1	0.549381	0	0	0
1	0.614014	0	0	0
1	0.678647	0	0	0
1	0.74328	0	0	0
1	0.807913	0	0	0
1	0.872546	0	0	0
1	0.937179	0.00326688	0.00326688	0
1	1.00181	0.0338394	0.0338394	0
1	1.06645	0.0509908	0.0509908	0
1	1.13108	0.0530531	0.0530531	0
1	1.19571	0.058766	0.058766	0
1	1.26034	0.0441125	0.0441125	0
1	1.32498	0.0510265	0.0510265	0
1	1.38961	0.0586147	0.0586147	0
1	1.45424	0.0409738	0.0409738	0
1	1.51888	0.0491493	0.0491493	0
1	1.58351	0.0362479	0.0362479	0
1	1.64814	0.0373322	0.0373322	0
1	1.71278	0.0413548	0.0413548	0
1	1.77741	0.0473179	0.0473179	0
1	1.84204	0.0526997	0.0526997	0
1	1.90667	0.0391745	0.0391745	0
1	1.97131	0.0389228	0.0389228	0
1	2.03594	0.0392714	0.0392714	0
1	2.10057	0.0380324	0.0380324	0
1	2.16521	0.0380753	0.0380753	0
1	2.22984	0.0378868	0.0378868	0
1	2.29447	0.0399785	0.0399785	0
1	2.35911	0.0511158	0.0511158	0
1	2.42374	0.0488854	0.0488854	0
1	2.48837	0.0490996	0.0490996	0
1	2.55301	0.0491331	0.0491331	0
1	2.61764	0.0520431	0.0520431	0
1	2.68227	0.0522298	0.0522298	0
1	2.7469	0.0465542	0.0465542	0
1	2.81154	0.0421456	0.0421456	0
1	2.87617	0.0505361	0.0505361	0
1	2.9408	0.0420519	0.0420519	0
1	3.00544	0.0458577	0.0458577	0
1	3.07007	0.0502111	0.0502111	0
1	3.1347	0.0555341	0.0555341	0
1	3.19934	0.0474433	0.0474433	0
1	3.26397	0.0461246	0.0461246	0
1	3.3286	0.0472075	0.0472075	0
1	3.39323	0.0497582	0.0497582	0
1	3.45787	0.0459904	0.0459904	0
1	3.5225	0.044977	0.044977	0
1	3.58713	0.0434458	0.0434458	0
1	3.65177	0.0424921	0.0424921	0
1	3.7164	0.0438548	0.0438548	0
1	3.78103	0.0437654	0.0437654	0
1	3.84567	0.0487494	0.0487494	0
1	3.9103	0.0512708	0.0512708	0
1	3.97493	0.0483968	0.0483968	0
1	4.03957	0.0437605	0.0437605	0
1	4.1042	0.0525955	0.0525955	0
1	4.16883	0.0515684	0.0515684	0
1	4.23346	0.0515857	0.0515857	0
1	4.2981	0.0513828	0.0513828	0
