BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-0.367237	-0.367237	0
2	-0.387488	-0.377362	0.00715984
3	-0.39032	-0.381682	0.00593481
4	-0.383146	-0.382048	0.00446239
5	-0.348043	-0.375247	0.00705312
6	-0.338125	-0.36906	0.00815134
7	-0.341186	-0.365078	0.00789984
8	-0.331348	-0.360862	0.00795834
9	-0.347472	-0.359374	0.0072118
10	-0.348653	-0.358302	0.00656983
11	-0.360378	-0.358491	0.00597528
12	-0.377131	-0.360044	0.00567565
13	-0.334794	-0.358102	0.00556149
14	-0.357485	-0.358058	0.00516441
15	-0.374432	-0.359149	0.00493415
16	-0.354584	-0.358864	0.00463401
17	-0.35397	-0.358576	0.00437035
18	-0.396941	-0.360707	0.00461813
19	-0.468709	-0.366392	0.00705348
20	-0.416098	-0.368877	0.00712522
21	-0.461544	-0.37329	0.00803701
22	-0.488044	-0.378506	0.0092101
23	-0.418804	-0.380258	0.00897477
24	-0.381148	-0.380295	0.0086009
25	-0.359962	-0.379482	0.00829523
26	-0.340133	-0.377968	0.00811306
27	-0.408571	-0.379102	0.00789135
28	-0.434278	-0.381072	0.00785171
29	-0.430251	-0.382768	0.00776193
30	-0.413704	-0.383799	0.00757139
31	-0.356495	-0.382918	0.0073782
32	-0.376893	-0.38273	0.00715004
33	-0.367129	-0.382257	0.00694898
34	-0.407183	-0.382991	0.00678316
35	-0.457372	-0.385116	0.00691426
36	-0.438712	-0.386604	0.00688062
37	-0.480863	-0.389152	0.00715072
38	-0.474772	-0.391405	0.00730891
39	-0.511668	-0.394489	0.00774474
40	-0.520711	-0.397644	0.00816872
41	-0.52631	-0.400783	0.00855106
42	-0.454162	-0.402053	0.00844138
43	-0.406698	-0.402161	0.00824576
44	-0.439888	-0.403019	0.00810281
45	-0.456605	-0.40421	0.00800978
46	-0.429459	-0.404759	0.00785443
47	-0.390391	-0.404453	0.00769327
48	-0.391733	-0.404188	0.00753755
49	-0.40187	-0.404141	0.00738387
50	-0.388356	-0.403825	0.00724294
51	-0.394072	-0.403634	0.00710345
52	-0.412092	-0.403796	0.0069687
53	-0.37566	-0.403265	0.00685741
54	-0.416309	-0.403507	0.00673467
55	-0.383117	-0.403136	0.00662242
56	-0.343577	-0.402073	0.00658901
57	-0.350806	-0.401173	0.00653451
58	-0.412784	-0.401374	0.00642492
59	-0.414255	-0.401592	0.00631973
60	-0.352317	-0.400771	0.00626753
61	-0.41146	-0.400946	0.00616723
62	-0.421886	-0.401284	0.006077
63	-0.361222	-0.400648	0.00601372
64	-0.372218	-0.400203	0.00593614
65	-0.413843	-0.400413	0.00584852
66	-0.404956	-0.400482	0.00576031
67	-0.344796	-0.399651	0.00573399
68	-0.393412	-0.399559	0.0056504
69	-0.415226	-0.399786	0.00557307
70	-0.377378	-0.399466	0.00550264
71	-0.369053	-0.399038	0.00544178
72	-0.347291	-0.398319	0.00541345
73	-0.378562	-0.398049	0.00534606
74	-0.427238	-0.398443	0.00528835
75	-0.445672	-0.399073	0.00525519
76	-0.403786	-0.399135	0.00518641
77	-0.408511	-0.399256	0.00512048
78	-0.432657	-0.399685	0.00507271
79	-0.440268	-0.400198	0.00503444
80	-0.450572	-0.400828	0.00501074
81	-0.429703	-0.401185	0.00496154
82	-0.410134	-0.401294	0.00490223
83	-0.371968	-0.40094	0.00485589
84	-0.363449	-0.400494	0.00481855
85	-0.389768	-0.400368	0.00476351
86	-0.393061	-0.400283	0.00470888
87	-0.415734	-0.40046	0.0046581
88	-0.395099	-0.4004	0.00460557
89	-0.383532	-0.40021	0.00455772
90	-0.360846	-0.399773	0.00452801
91	-0.389459	-0.399659	0.00447967
92	-0.419844	-0.399879	0.00443635
93	-0.393596	-0.399811	0.00438916
94	-0.397306	-0.399785	0.00434255
95	-0.362547	-0.399393	0.00431449
96	-0.33144	-0.398685	0.00432722
97	-0.369487	-0.398384	0.00429307
98	-0.413645	-0.398539	0.00425209
99	-0.354739	-0.398097	0.00423209
100	-0.335735	-0.397473	0.00423547
101	-0.357927	-0.397082	0.00421159
102	-0.422612	-0.397332	0.00417773
103	-0.403745	-0.397394	0.00413764
104	-0.38992	-0.397323	0.00409848
105	-0.388594	-0.397239	0.00406029
106	-0.408728	-0.397348	0.00402343
107	-0.425607	-0.397612	0.00399448
108	-0.41131	-0.397739	0.00395951
109	-0.394383	-0.397708	0.0039233
110	-0.385667	-0.397598	0.00388917
111	-0.43169	-0.397906	0.00386624
112	-0.438095	-0.398264	0.00384833
113	-0.475817	-0.398951	0.00387499
114	-0.426816	-0.399195	0.0038487
115	-0.418343	-0.399362	0.00381883
116	-0.431092	-0.399635	0.0037957
117	-0.456749	-0.400123	0.00379452
118	-0.427789	-0.400358	0.00376959
119	-0.396923	-0.400329	0.00373803
120	-0.425668	-0.40054	0.00371284
121	-0.411825	-0.400633	0.00368332
122	-0.443882	-0.400988	0.00367015
123	-0.478758	-0.40162	0.00369438
124	-0.3987	-0.401597	0.00366466
125	-0.340679	-0.401109	0.0036676
126	-0.34838	-0.400691	0.00366229
127	-0.391699	-0.40062	0.00363414
128	-0.397127	-0.400593	0.00360585
129	-0.354706	-0.400237	0.0035954
130	-0.39604	-0.400205	0.00356789
131	-0.411089	-0.400288	0.00354162
132	-0.399638	-0.400283	0.00351479
133	-0.425787	-0.400475	0.00349359
134	-0.410355	-0.400548	0.0034683
135	-0.398186	-0.400531	0.00344265
136	-0.386526	-0.400428	0.00341888
137	-0.418214	-0.400558	0.00339639
138	-0.410954	-0.400633	0.00337261
139	-0.373503	-0.400438	0.00335399
140	-0.355407	-0.400116	0.00334542
141	-0.345927	-0.399732	0.0033437
142	-0.405806	-0.399775	0.00332042
143	-0.408759	-0.399837	0.0032978
144	-0.3622	-0.399576	0.00328524
145	-0.354321	-0.399264	0.00327737
146	-0.385864	-0.399172	0.00325621
147	-0.391968	-0.399123	0.00323443
148	-0.351844	-0.398804	0.00322831
149	-0.415273	-0.398914	0.00320853
150	-0.378692	-0.398779	0.00318998
151	-0.369616	-0.398586	0.00317469
152	-0.382681	-0.398482	0.00315553
153	-0.358344	-0.398219	0.00314579
154	-0.381636	-0.398112	0.00312721
155	-0.365468	-0.397901	0.00311411
156	-0.377882	-0.397773	0.00309679
157	-0.36485	-0.397563	0.00308416
158	-0.409051	-0.397636	0.0030655
159	-0.415392	-0.397747	0.00304825
160	-0.370036	-0.397574	0.00303412
161	-0.402895	-0.397607	0.00301545
162	-0.430289	-0.397809	0.00300358
163	-0.422115	-0.397958	0.00298885
164	-0.394301	-0.397936	0.00297071
165	-0.399607	-0.397946	0.00295272
166	-0.381195	-0.397845	0.00293666
167	-0.363718	-0.397641	0.00292618
168	-0.416407	-0.397752	0.00291089
169	-0.366737	-0.397569	0.00289944
170	-0.356717	-0.397329	0.00289233
171	-0.339871	-0.396993	0.00289487
172	-0.331713	-0.396613	0.00290281
173	-0.341959	-0.396297	0.00290317
174	-0.390104	-0.396262	0.0028867
175	-0.358304	-0.396045	0.00287834
176	-0.351228	-0.39579	0.00287323
177	-0.339101	-0.39547	0.00287479
178	-0.353985	-0.395237	0.00286808
179	-0.393243	-0.395226	0.00285207
180	-0.405324	-0.395282	0.00283678
181	-0.396732	-0.39529	0.00282112
182	-0.415888	-0.395403	0.00280789
183	-0.419738	-0.395536	0.00279569
184	-0.469312	-0.395937	0.0028091
185	-0.473429	-0.396356	0.00282498
186	-0.464239	-0.396721	0.00283327
187	-0.459778	-0.397058	0.00283811
188	-0.438649	-0.397279	0.00283162
189	-0.470605	-0.397667	0.00284309
190	-0.478443	-0.398092	0.00285974
191	-0.447156	-0.398349	0.00285628
192	-0.400555	-0.39836	0.00284143
193	-0.400408	-0.398371	0.00282673
194	-0.40483	-0.398404	0.00281235
195	-0.415638	-0.398493	0.00279932
196	-0.432645	-0.398667	0.00279045
197	-0.445959	-0.398907	0.00278659
198	-0.482801	-0.399331	0.00280455
199	-0.474561	-0.399709	0.00281582
200	-0.495261	-0.400187	0.00284198
201	-0.475408	-0.400561	0.00285238
202	-0.399083	-0.400554	0.00283827
203	-0.41982	-0.400648	0.00282587
204	-0.414183	-0.400715	0.0028128
205	-0.445975	-0.400936	0.00280773
206	-0.458469	-0.401215	0.00280795
207	-0.448116	-0.401441	0.00280352
208	-0.461067	-0.401728	0.00280465
209	-0.466147	-0.402036	0.00280812
210	-0.440124	-0.402218	0.0028006
211	-0.475186	-0.402563	0.0028086
212	-0.443535	-0.402757	0.00280199
213	-0.448337	-0.402971	0.00279699
214	-0.465428	-0.403263	0.00279911
215	-0.388638	-0.403195	0.00278692
216	-0.400537	-0.403182	0.00277404
217	-0.45007	-0.403398	0.00276966
218	-0.372261	-0.403256	0.00276064
219	-0.380101	-0.40315	0.00275005
220	-0.45906	-0.403404	0.00274927
221	-0.41638	-0.403463	0.00273746
222	-0.444773	-0.403649	0.00273145
223	-0.417013	-0.403709	0.00271985
224	-0.393916	-0.403665	0.00270806
225	-0.410178	-0.403694	0.00269618
226	-0.464349	-0.403962	0.00269758
227	-0.488387	-0.404334	0.00271121
228	-0.445491	-0.404515	0.00270532
229	-0.429385	-0.404623	0.00269569
230	-0.38221	-0.404526	0.00268573
231	-0.392428	-0.404473	0.00267461
232	-0.408468	-0.404491	0.00266314
233	-0.447767	-0.404676	0.00265818
234	-0.398074	-0.404648	0.00264697
235	-0.441318	-0.404804	0.0026403
236	-0.422167	-0.404878	0.00263014
237	-0.389592	-0.404813	0.00261983
238	-0.410269	-0.404836	0.00260892
239	-0.426436	-0.404927	0.00259957
240	-0.447587	-0.405104	0.00259481
241	-0.444271	-0.405267	0.00258913
242	-0.419665	-0.405326	0.00257911
243	-0.391234	-0.405268	0.00256915
244	-0.357888	-0.405074	0.00256595
245	-0.368998	-0.404927	0.0025597
246	-0.372547	-0.404795	0.00255267
247	-0.395905	-0.404759	0.00254259
248	-0.396157	-0.404725	0.00253258
249	-0.415138	-0.404766	0.00252275
250	-0.397907	-0.404739	0.00251281
