BLOCK:	DISTANCE:	ACTUAL_G:	AVE_GOFR:	ERROR:
1	0.0128248	0	0	0
1	0.0384745	0	0	0
1	0.0641241	0	0	0
1	0.0897737	0	0	0
1	0.115423	0	0	0
1	0.141073	0	0	0
1	0.166723	0	0	0
1	0.192372	0	0	0
1	0.218022	0	0	0
1	0.243672	0	0	0
1	0.269321	0	0	0
1	0.294971	0	0	0
1	0.32062	0	0	0
1	0.34627	0	0	0
1	0.37192	0	0	0
1	0.397569	0	0	0
1	0.423219	0	0	0
1	0.448869	0	0	0
1	0.474518	0	0	0
1	0.500168	0	0	0
1	0.525818	0	0	0
1	0.551467	0	0	0
1	0.577117	0	0	0
1	0.602767	0	0	0
1	0.628416	0	0	0
1	0.654066	0	0	0
1	0.679715	0	0	0
1	0.705365	0	0	0
1	0.731015	0	0	0
1	0.756664	0	0	0
1	0.782314	0	0	0
1	0.807964	0	0	0
1	0.833613	0	0	0
1	0.859263	0	0	0
1	0.884913	0	0	0
1	0.910562	0.000161871	0.000161871	0
1	0.936212	0.00164614	0.00164614	0
1	0.961861	0.00602058	0.00602058	0
1	0.987511	0.013458	0.013458	0
1	1.01316	0.0208359	0.0208359	0
1	1.03881	0.0279202	0.0279202	0
1	1.06446	0.0301176	0.0301176	0
1	1.09011	0.031079	0.031079	0
1	1.11576	0.0288046	0.0288046	0
1	1.14141	0.0280234	0.0280234	0
1	1.16706	0.0242261	0.0242261	0
1	1.19271	0.0214194	0.0214194	0
1	1.21836	0.0197999	0.0197999	0
1	1.24401	0.0165781	0.0165781	0
1	1.26966	0.0154023	0.0154023	0
1	1.29531	0.0146029	0.0146029	0
1	1.32096	0.0136743	0.0136743	0
1	1.34661	0.0122484	0.0122484	0
1	1.37226	0.0122756	0.0122756	0
1	1.39791	0.0105793	0.0105793	0
1	1.42355	0.0103133	0.0103133	0
1	1.4492	0.0101511	0.0101511	0
1	1.47485	0.0102087	0.0102087	0
1	1.5005	0.0102523	0.0102523	0
1	1.52615	0.0107318	0.0107318	0
1	1.5518	0.0106808	0.0106808	0
1	1.57745	0.0100707	0.0100707	0
1	1.6031	0.0100547	0.0100547	0
1	1.62875	0.00983748	0.00983748	0
1	1.6544	0.0106646	0.0106646	0
1	1.68005	0.0111703	0.0111703	0
1	1.7057	0.0112658	0.0112658	0
1	1.73135	0.0108912	0.0108912	0
1	1.757	0.011857	0.011857	0
1	1.78265	0.0133702	0.0133702	0
1	1.8083	0.0141913	0.0141913	0
1	1.83395	0.015233	0.015233	0
1	1.8596	0.0167931	0.0167931	0
1	1.88525	0.0161563	0.0161563	0
1	1.9109	0.0169248	0.0169248	0
1	1.93655	0.0180875	0.0180875	0
1	1.9622	0.0175693	0.0175693	0
1	1.98785	0.0179607	0.0179607	0
1	2.0135	0.0190545	0.0190545	0
1	2.03915	0.0202007	0.0202007	0
1	2.0648	0.0200045	0.0200045	0
1	2.09045	0.0212767	0.0212767	0
1	2.1161	0.0204768	0.0204768	0
1	2.14174	0.0201337	0.0201337	0
1	2.16739	0.0186621	0.0186621	0
1	2.19304	0.0188004	0.0188004	0
1	2.21869	0.0193813	0.0193813	0
1	2.24434	0.0187278	0.0187278	0
1	2.26999	0.0181609	0.0181609	0
1	2.29564	0.0183729	0.0183729	0
1	2.32129	0.0173747	0.0173747	0
1	2.34694	0.0169645	0.0169645	0
1	2.37259	0.0165411	0.0165411	0
1	2.39824	0.0165097	0.0165097	0
1	2.42389	0.017212	0.017212	0
1	2.44954	0.0159001	0.0159001	0
1	2.47519	0.0159516	0.0159516	0
1	2.50084	0.0162242	0.0162242	0
1	2.52649	0.0170261	0.0170261	0
1	2.55214	0.0161553	0.0161553	0
2	0.0128248	0	0	0
2	0.0384745	0	0	0
2	0.0641241	0	0	0
2	0.0897737	0	0	0
2	0.115423	0	0	0
2	0.141073	0	0	0
2	0.166723	0	0	0
2	0.192372	0	0	0
2	0.218022	0	0	0
2	0.243672	0	0	0
2	0.269321	0	0	0
2	0.294971	0	0	0
2	0.32062	0	0	0
2	0.34627	0	0	0
2	0.37192	0	0	0
2	0.397569	0	0	0
2	0.423219	0	0	0
2	0.448869	0	0	0
2	0.474518	0	0	0
2	0.500168	0	0	0
2	0.525818	0	0	0
2	0.551467	0	0	0
2	0.577117	0	0	0
2	0.602767	0	0	0
2	0.628416	0	0	0
2	0.654066	0	0	0
2	0.679715	0	0	0
2	0.705365	0	0	0
2	0.731015	0	0	0
2	0.756664	0	0	0
2	0.782314	0	0	0
2	0.807964	0	0	0
2	0.833613	0	0	0
2	0.859263	0	0	0
2	0.884913	0	0	0
2	0.910562	0.000210703	0.000186287	1.72649e-05
2	0.936212	0.00152475	0.00158544	4.29165e-05
2	0.961861	0.00644418	0.00623238	0.000149763
2	0.987511	0.0146213	0.0140397	0.000411292
2	1.01316	0.0211334	0.0209846	0.000105181
2	1.03881	0.0266424	0.0272813	0.000451738
2	1.06446	0.0299069	0.0300123	7.45159e-05
2	1.09011	0.0312044	0.0311417	4.43272e-05
2	1.11576	0.0299497	0.0293772	0.000404845
2	1.14141	0.0262478	0.0271356	0.000627792
2	1.16706	0.0228673	0.0235467	0.0004804
2	1.19271	0.0207835	0.0211014	0.000224836
2	1.21836	0.0190919	0.0194459	0.000250306
2	1.24401	0.017862	0.01722	0.000453938
2	1.26966	0.0155505	0.0154764	5.23927e-05
2	1.29531	0.0154	0.0150015	0.000281835
2	1.32096	0.0136325	0.0136534	1.47633e-05
2	1.34661	0.0121341	0.0121913	4.04435e-05
2	1.37226	0.0112325	0.011754	0.000368784
2	1.39791	0.0115614	0.0110703	0.000347226
2	1.42355	0.0111613	0.0107373	0.000299804
2	1.4492	0.0112392	0.0106952	0.000384689
2	1.47485	0.0105956	0.0104022	0.000136782
2	1.5005	0.0102231	0.0102377	1.0332e-05
2	1.52615	0.0104077	0.0105698	0.000114611
2	1.5518	0.0106686	0.0106747	4.30007e-06
2	1.57745	0.0100906	0.0100807	7.04316e-06
2	1.6031	0.00981148	0.00993311	8.60054e-05
2	1.62875	0.00997037	0.00990392	4.69836e-05
2	1.6544	0.0105147	0.0105897	5.29977e-05
2	1.68005	0.01106	0.0111152	3.89656e-05
2	1.7057	0.0111096	0.0111877	5.52484e-05
2	1.73135	0.011625	0.0112581	0.000259457
2	1.757	0.0118221	0.0118395	1.23393e-05
2	1.78265	0.0126042	0.0129872	0.000270811
2	1.8083	0.013481	0.0138362	0.000251137
2	1.83395	0.0148731	0.015053	0.000127255
2	1.8596	0.0158017	0.0162974	0.000350525
2	1.88525	0.0162282	0.0161923	2.54272e-05
