BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.12845	1.12845	0
2	1.11061	1.11953	0.00630897
3	1.12745	1.12217	0.00472653
4	1.09569	1.11555	0.00674122
5	1.10144	1.11273	0.00595455
6	1.0944	1.10967	0.00569161
7	1.12222	1.11147	0.00515318
8	1.06138	1.10521	0.00739091
9	1.12972	1.10793	0.00705363
10	1.10325	1.10746	0.00636374
11	1.12035	1.10863	0.00589215
12	1.14105	1.11133	0.00598833
13	1.11279	1.11145	0.00552874
14	1.09597	1.11034	0.00524324
15	1.10444	1.10995	0.00490844
16	1.0986	1.10924	0.00465265
17	1.09511	1.10841	0.0044526
18	1.12086	1.1091	0.00425868
19	1.10355	1.10881	0.00404454
20	1.11916	1.10932	0.00387528
21	1.10723	1.10922	0.00369203
22	1.11721	1.10959	0.003542
23	1.12707	1.11035	0.00346859
24	1.11846	1.11069	0.00334049
25	1.11957	1.11104	0.0032257
26	1.12181	1.11145	0.00312812
27	1.10441	1.11119	0.00302314
28	1.08682	1.11032	0.00303789
29	1.11341	1.11043	0.002935
30	1.08738	1.10966	0.00293604
31	1.08044	1.10872	0.00298883
32	1.08416	1.10795	0.00299237
33	1.13041	1.10863	0.0029781
34	1.11535	1.10883	0.00289706
35	1.1175	1.10908	0.00282487
36	1.1333	1.10975	0.0028254
37	1.11596	1.10992	0.00275401
38	1.10818	1.10987	0.00268192
39	1.09883	1.10959	0.00262806
40	1.11228	1.10966	0.00256322
41	1.1113	1.1097	0.00250102
42	1.11745	1.10988	0.00244826
43	1.13125	1.11038	0.00244127
44	1.09398	1.11001	0.00241407
45	1.11876	1.1102	0.00236825
46	1.10076	1.10999	0.00232563
47	1.08674	1.1095	0.00232819
48	1.11532	1.10962	0.00228283
49	1.11792	1.10979	0.00224252
50	1.12675	1.11013	0.00222317
51	1.11182	1.11016	0.00217983
52	1.10118	1.10999	0.00214475
53	1.11161	1.11002	0.0021045
54	1.10951	1.11001	0.00206555
55	1.12573	1.1103	0.00204768
56	1.10191	1.11015	0.00201658
57	1.11479	1.11023	0.00198285
58	1.08783	1.10984	0.00198592
59	1.14379	1.11042	0.00203391
60	1.11971	1.11057	0.0020059
61	1.11602	1.11066	0.00197501
62	1.10166	1.11052	0.00194848
63	1.115	1.11059	0.00191885
64	1.12908	1.11088	0.0019105
65	1.1053	1.11079	0.00188304
66	1.12851	1.11106	0.00187354
67	1.12222	1.11123	0.00185297
68	1.09023	1.11092	0.00185126
69	1.07364	1.11038	0.00190164
70	1.08618	1.11003	0.00190563
71	1.11743	1.11014	0.00188164
72	1.13205	1.11044	0.00187997
73	1.07869	1.11001	0.00190388
74	1.10468	1.10993	0.00187951
