BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.16852	1.16852	0
2	1.1692	1.16886	0.000239892
3	1.16992	1.16921	0.000330595
4	1.18221	1.17246	0.00282468
5	1.15385	1.16874	0.00402294
6	1.15993	1.16727	0.00361031
7	1.17297	1.16808	0.00318508
8	1.16481	1.16768	0.00281316
9	1.16982	1.16791	0.00251066
10	1.16517	1.16764	0.00227451
11	1.16296	1.16721	0.00210718
12	1.16667	1.16717	0.00193207
13	1.17475	1.16775	0.00186934
14	1.15483	1.16683	0.00195054
15	1.16441	1.16667	0.00182714
16	1.15976	1.16624	0.00176323
17	1.17956	1.16702	0.0018255
18	1.1681	1.16708	0.00172507
19	1.16435	1.16694	0.00164023
20	1.16133	1.16666	0.00158198
21	1.17533	1.16707	0.00155966
22	1.17416	1.16739	0.00152173
23	1.15852	1.16701	0.00150362
24	1.16085	1.16675	0.00146269
25	1.17417	1.16705	0.00143399
26	1.15529	1.16659	0.0014484
27	1.15776	1.16627	0.00143126
28	1.16688	1.16629	0.00138032
29	1.17187	1.16648	0.00134606
30	1.16878	1.16656	0.00130337
31	1.17403	1.1668	0.00128342
32	1.17032	1.16691	0.00124802
33	1.17688	1.16721	0.00124622
34	1.15814	1.16694	0.00123778
35	1.15967	1.16674	0.00121974
36	1.17461	1.16695	0.00120532
37	1.16908	1.16701	0.00117412
38	1.17051	1.1671	0.00114682
39	1.16609	1.16708	0.00111771
40	1.16939	1.16714	0.00109126
41	1.15856	1.16693	0.00108451
42	1.17027	1.16701	0.00106161
43	1.17061	1.16709	0.00104023
44	1.14518	1.16659	0.00112953
45	1.17547	1.16679	0.00112151
46	1.17009	1.16686	0.00109942
47	1.15896	1.16669	0.0010888
48	1.18044	1.16698	0.00110312
49	1.15387	1.16671	0.00111256
50	1.175	1.16688	0.00110258
51	1.16285	1.1668	0.00108379
52	1.16818	1.16683	0.00106327
53	1.16894	1.16687	0.00104396
54	1.17295	1.16698	0.00103068
55	1.16197	1.16689	0.00101596
56	1.16384	1.16683	0.000999273
57	1.16067	1.16672	0.000987568
58	1.17921	1.16694	0.000993709
59	1.16605	1.16692	0.00097698
60	1.16553	1.1669	0.000960975
61	1.17138	1.16697	0.000948028
62	1.16681	1.16697	0.000932741
63	1.1724	1.16706	0.000921904
64	1.16259	1.16699	0.000910134
65	1.1672	1.16699	0.000896138
66	1.16771	1.167	0.000882626
67	1.17504	1.16712	0.000877565
68	1.16042	1.16702	0.000870177
69	1.16966	1.16706	0.000858401
70	1.1673	1.16707	0.000846145
71	1.17537	1.16718	0.000842279
72	1.16631	1.16717	0.000830666
73	1.16956	1.1672	0.000819934
74	1.15516	1.16704	0.00082486
