BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	0.779011	0.779011	0
2	0.779464	0.779237	0.000159928
3	0.779946	0.779474	0.000220397
4	0.788138	0.78164	0.00188312
5	0.769236	0.779159	0.00268196
6	0.773288	0.77818	0.00240687
7	0.781981	0.778723	0.00212339
8	0.776539	0.77845	0.00187544
9	0.77988	0.778609	0.00167377
10	0.776782	0.778426	0.00151634
11	0.775305	0.778143	0.00140478
12	0.777779	0.778112	0.00128805
13	0.783165	0.778501	0.00124623
14	0.769884	0.777885	0.00130036
15	0.776275	0.777778	0.00121809
16	0.773172	0.77749	0.00117548
17	0.786375	0.778013	0.001217
18	0.778734	0.778053	0.00115005
19	0.776237	0.777957	0.00109348
20	0.774221	0.77777	0.00105465
21	0.783554	0.778046	0.00103977
22	0.782775	0.778261	0.00101449
23	0.772349	0.778004	0.00100241
24	0.773899	0.777833	0.000975125
25	0.782781	0.778031	0.000955993
26	0.770191	0.777729	0.000965603
27	0.771838	0.777511	0.000954177
28	0.77792	0.777526	0.000920211
29	0.781245	0.777654	0.000897375
30	0.779187	0.777705	0.000868916
31	0.782686	0.777866	0.000855616
32	0.780212	0.777939	0.000832013
33	0.784584	0.77814	0.000830813
34	0.772095	0.777963	0.000825186
35	0.773113	0.777824	0.000813157
36	0.783076	0.77797	0.000803549
37	0.77939	0.778008	0.000782747
38	0.780338	0.77807	0.000764546
39	0.777395	0.778052	0.000745138
40	0.779595	0.778091	0.000727507
41	0.772373	0.777951	0.000723005
42	0.780181	0.778004	0.000707737
43	0.780409	0.77806	0.000693484
44	0.763451	0.777728	0.000753022
45	0.783643	0.77786	0.000747673
46	0.780059	0.777908	0.000732947
47	0.772641	0.777796	0.000725867
48	0.786958	0.777986	0.000735415
49	0.76925	0.777808	0.000741707
50	0.783331	0.777919	0.000735052
51	0.775232	0.777866	0.000722524
52	0.778787	0.777884	0.000708846
53	0.779296	0.77791	0.000695972
54	0.781964	0.777985	0.00068712
55	0.774644	0.777925	0.000677306
56	0.775893	0.777888	0.000666182
57	0.773782	0.777816	0.000658379
58	0.786137	0.77796	0.000662473
59	0.777368	0.77795	0.00065132
60	0.777017	0.777934	0.00064065
61	0.780923	0.777983	0.000632018
62	0.777871	0.777981	0.000621827
63	0.781599	0.778039	0.000614603
64	0.775063	0.777992	0.000606756
65	0.778132	0.777994	0.000597425
66	0.778475	0.778002	0.000588418
67	0.783359	0.778082	0.000585043
68	0.773613	0.778016	0.000580118
69	0.779771	0.778041	0.000572268
70	0.7782	0.778044	0.000564097
71	0.783582	0.778122	0.000561519
72	0.777543	0.778114	0.000553778
73	0.779709	0.778135	0.000546623
74	0.770103	0.778027	0.000549906
75	0.781175	0.778069	0.000544174
76	0.773596	0.77801	0.000540187
77	0.774111	0.777959	0.000535539
78	0.778178	0.777962	0.00052868
79	0.774073	0.777913	0.000524276
80	0.7786	0.777922	0.000517793
81	0.78073	0.777956	0.00051256
82	0.780146	0.777983	0.000507004
83	0.77556	0.777954	0.000501735
84	0.77959	0.777973	0.00049614
85	0.778303	0.777977	0.000490318
86	0.782028	0.778024	0.000486874
87	0.775773	0.777998	0.000481965
88	0.777623	0.777994	0.000476507
89	0.778415	0.777999	0.000471176
90	0.785268	0.77808	0.000472814
91	0.779465	0.778095	0.000467863
92	0.776794	0.778081	0.000462991
93	0.780611	0.778108	0.000458811
94	0.772062	0.778044	0.000458416
95	0.783937	0.778106	0.000457769
96	0.776448	0.778088	0.000453326
97	0.7822	0.778131	0.00045063
98	0.768884	0.778036	0.000455804
99	0.784135	0.778098	0.000455343
100	0.777238	0.778089	0.000450871
101	0.780545	0.778114	0.000447062
102	0.780285	0.778135	0.000443185
103	0.780142	0.778154	0.00043931
104	0.773994	0.778114	0.000436904
105	0.777789	0.778111	0.000432754
106	0.779263	0.778122	0.000428808
107	0.778086	0.778122	0.0004248
108	0.779072	0.778131	0.000420958
109	0.774757	0.7781	0.000418232
110	0.784206	0.778155	0.000418098
111	0.777824	0.778152	0.000414342
112	0.774686	0.778121	0.000411796
113	0.780472	0.778142	0.000408677
114	0.770709	0.778077	0.00041026
115	0.783423	0.778123	0.000409318
116	0.773049	0.77808	0.00040812
117	0.780941	0.778104	0.000405364
118	0.777505	0.778099	0.00040196
119	0.781323	0.778126	0.000399495
120	0.779939	0.778141	0.000396451
121	0.781162	0.778166	0.00039396
122	0.781292	0.778192	0.000391563
123	0.777927	0.77819	0.000388385
124	0.773736	0.778154	0.000386911
125	0.781393	0.77818	0.000384682
126	0.768976	0.778107	0.000388502
127	0.778417	0.778109	0.000385451
128	0.777894	0.778107	0.000382443
129	0.774404	0.778079	0.000380554
130	0.773213	0.778041	0.000379463
131	0.779801	0.778055	0.000376804
132	0.77643	0.778042	0.000374151
133	0.775933	0.778026	0.000371674
134	0.784277	0.778073	0.000371816
135	0.776819	0.778064	0.000369178
136	0.776733	0.778054	0.000366593
137	0.780662	0.778073	0.000364411
138	0.781967	0.778101	0.000362861
139	0.77788	0.7781	0.000360254
140	0.77522	0.778079	0.000358267
141	0.776644	0.778069	0.000355871
142	0.774904	0.778047	0.000354062
143	0.781498	0.778071	0.000352408
144	0.771858	0.778028	0.000352592
145	0.780236	0.778043	0.00035049
146	0.774001	0.778015	0.000349181
147	0.78181	0.778041	0.000347758
148	0.777933	0.77804	0.000345409
149	0.775455	0.778023	0.000343527
150	0.779786	0.778035	0.000341438
151	0.774328	0.77801	0.000340058
152	0.772774	0.777976	0.000339561
153	0.780424	0.777992	0.000337718
154	0.775682	0.777977	0.000335858
155	0.780158	0.777991	0.000333986
156	0.78339	0.778025	0.000333634
157	0.780385	0.77804	0.000331847
158	0.77204	0.778002	0.000331913
159	0.779517	0.778012	0.000329962
160	0.772104	0.777975	0.000329959
161	0.781458	0.777997	0.000328618
162	0.776204	0.777986	0.000326775
163	0.78028	0.778	0.000325074
164	0.779808	0.778011	0.000323278
165	0.783631	0.778045	0.000323109
166	0.777352	0.778041	0.000321189
167	0.77136	0.778001	0.000321747
168	0.778687	0.778005	0.000319858
169	0.777961	0.778004	0.000317965
170	0.779077	0.778011	0.000316158
171	0.78076	0.778027	0.000314717
172	0.780284	0.77804	0.000313161
173	0.770959	0.777999	0.000314014
174	0.780598	0.778014	0.000312565
175	0.770684	0.777972	0.000313572
176	0.773768	0.777948	0.000312699
177	0.781287	0.777967	0.000311501
178	0.78139	0.777986	0.000310344
179	0.779063	0.777992	0.000308669
180	0.766484	0.777928	0.000313506
181	0.785645	0.777971	0.000314659
182	0.778377	0.777973	0.000312938
183	0.777666	0.777972	0.000311233
184	0.77541	0.777958	0.000309853
185	0.777429	0.777955	0.000308191
186	0.777066	0.77795	0.000306571
187	0.772138	0.777919	0.000306503
188	0.786548	0.777965	0.000308291
189	0.776606	0.777958	0.000306743
190	0.77568	0.777946	0.000305363
191	0.779678	0.777955	0.000303899
192	0.771468	0.777921	0.000304188
193	0.787679	0.777971	0.000306785
194	0.781024	0.777987	0.000305607
195	0.769777	0.777945	0.000306927
196	0.781337	0.777962	0.000305848
197	0.774523	0.777945	0.000304794
198	0.78805	0.777996	0.000307497
199	0.774088	0.777976	0.000306578
200	0.783638	0.778005	0.00030635
201	0.782323	0.778026	0.000305578
202	0.767575	0.777974	0.000308414
203	0.780124	0.777985	0.000307076
204	0.788014	0.778034	0.000309482
205	0.777881	0.778033	0.000307973
206	0.772877	0.778008	0.000307494
207	0.777969	0.778008	0.000306008
208	0.782737	0.778031	0.00030538
209	0.771753	0.778001	0.000305393
210	0.78289	0.778024	0.000304825
211	0.780322	0.778035	0.000303575
212	0.767665	0.777986	0.000306058
213	0.78276	0.778009	0.000305441
