BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-6.38777	-6.38777	0
2	-6.3861	-6.38693	0.000587927
3	-6.38629	-6.38672	0.000429465
4	-6.3871	-6.38682	0.000332626
5	-6.38563	-6.38658	0.000340005
6	-6.38528	-6.38636	0.000345274
7	-6.38608	-6.38632	0.00029832
8	-6.38558	-6.38623	0.000275255
9	-6.38696	-6.38631	0.000256239
10	-6.38574	-6.38625	0.000236929
11	-6.38481	-6.38612	0.00024894
12	-6.38619	-6.38613	0.000228271
13	-6.38721	-6.38621	0.000225506
14	-6.38545	-6.38616	0.000215838
15	-6.38405	-6.38602	0.00024305
16	-6.38562	-6.38599	0.000229118
17	-6.38639	-6.38601	0.000216856
18	-6.38702	-6.38607	0.000211838
19	-6.38523	-6.38603	0.000205212
20	-6.38647	-6.38605	0.000196161
21	-6.38553	-6.38602	0.00018838
22	-6.3859	-6.38602	0.000179907
23	-6.38539	-6.38599	0.000174135
24	-6.38435	-6.38592	0.000179827
25	-6.38594	-6.38592	0.000172636
26	-6.386	-6.38593	0.000166022
27	-6.38569	-6.38592	0.000160109
28	-6.3845	-6.38587	0.00016222
29	-6.38613	-6.38588	0.000156872
30	-6.38717	-6.38592	0.000157444
31	-6.38624	-6.38593	0.000152704
32	-6.3876	-6.38598	0.000156605
33	-6.38635	-6.38599	0.00015226
34	-6.38555	-6.38598	0.000148337
35	-6.38475	-6.38594	0.000148193
36	-6.38601	-6.38595	0.00014409
37	-6.3863	-6.38596	0.000140517
38	-6.38608	-6.38596	0.000136855
39	-6.38501	-6.38593	0.0001355
40	-6.38579	-6.38593	0.000132163
41	-6.38582	-6.38593	0.000128966
42	-6.38652	-6.38594	0.000126659
43	-6.38447	-6.38591	0.000128237
44	-6.38523	-6.38589	0.000126235
45	-6.38501	-6.38587	0.00012495
46	-6.38496	-6.38585	0.0001238
47	-6.38475	-6.38583	0.000123374
48	-6.38471	-6.38581	0.000123009
49	-6.38711	-6.38583	0.000123339
50	-6.38727	-6.38586	0.000124173
51	-6.38612	-6.38587	0.000121842
52	-6.38557	-6.38586	0.000119634
53	-6.38673	-6.38588	0.000118497
54	-6.3857	-6.38587	0.000116348
55	-6.38608	-6.38588	0.000114291
56	-6.38561	-6.38587	0.000112349
57	-6.38496	-6.38586	0.00011152
58	-6.3858	-6.38586	0.000109601
59	-6.38572	-6.38585	0.000107768
60	-6.38513	-6.38584	0.000106651
61	-6.38549	-6.38584	0.000105058
62	-6.38646	-6.38585	0.000103844
63	-6.38525	-6.38584	0.000102632
64	-6.38567	-6.38583	0.000101062
65	-6.38741	-6.38586	0.000102371
66	-6.38716	-6.38588	0.000102698
67	-6.38801	-6.38591	0.000105968
68	-6.38696	-6.38593	0.000105537
69	-6.3856	-6.38592	0.000104111
70	-6.38339	-6.38588	0.000108714
71	-6.38523	-6.38588	0.000107579
72	-6.38623	-6.38588	0.000106197
73	-6.386	-6.38588	0.000104755
74	-6.38504	-6.38587	0.000103955
75	-6.38507	-6.38586	0.000103111
76	-6.38601	-6.38586	0.000101774
77	-6.38656	-6.38587	0.000100852
78	-6.38512	-6.38586	0.000100015
79	-6.38466	-6.38585	9.99068e-05
80	-6.38591	-6.38585	9.86615e-05
81	-6.38626	-6.38585	9.7575e-05
82	-6.38582	-6.38585	9.63859e-05
83	-6.38735	-6.38587	9.68973e-05
84	-6.3862	-6.38587	9.58218e-05
85	-6.3858	-6.38587	9.46985e-05
86	-6.3868	-6.38588	9.42102e-05
87	-6.38444	-6.38587	9.45674e-05
88	-6.38706	-6.38588	9.44644e-05
89	-6.3862	-6.38588	9.34695e-05
90	-6.38612	-6.38589	9.24666e-05
91	-6.38558	-6.38588	9.15127e-05
92	-6.38616	-6.38589	9.05661e-05
93	-6.38617	-6.38589	8.96449e-05
94	-6.38561	-6.38589	8.87418e-05
95	-6.38808	-6.38591	9.07591e-05
96	-6.38574	-6.38591	8.98311e-05
97	-6.38489	-6.3859	8.95166e-05
98	-6.38541	-6.38589	8.87398e-05
99	-6.38553	-6.38589	8.79207e-05
100	-6.38492	-6.38588	8.75733e-05
101	-6.38694	-6.38589	8.73402e-05
102	-6.3867	-6.3859	8.6847e-05
103	-6.38654	-6.3859	8.62261e-05
104	-6.38628	-6.38591	8.54716e-05
105	-6.38573	-6.38591	8.4675e-05
106	-6.38623	-6.38591	8.39328e-05
107	-6.38583	-6.38591	8.31513e-05
108	-6.38625	-6.38591	8.24429e-05
