BLOCK:	DISTANCE:	ACTUAL_G:	AVE_GOFR:	ERROR:
1	0.0323165	0	0	0
1	0.0969496	0	0	0
1	0.161583	0	0	0
1	0.226216	0	0	0
1	0.290849	0	0	0
1	0.355482	0	0	0
1	0.420115	0	0	0
1	0.484748	0	0	0
1	0.549381	0	0	0
1	0.614014	0	0	0
1	0.678647	0	0	0
1	0.74328	0	0	0
1	0.807913	0	0	0
1	0.872546	3.13619e-05	3.13619e-05	0
1	0.937179	0.0040836	0.0040836	0
1	1.00181	0.0301203	0.0301203	0
1	1.06645	0.063545	0.063545	0
1	1.13108	0.0724944	0.0724944	0
1	1.19571	0.068993	0.068993	0
1	1.26034	0.0629521	0.0629521	0
1	1.32498	0.0560237	0.0560237	0
1	1.38961	0.0503723	0.0503723	0
1	1.45424	0.0496897	0.0496897	0
1	1.51888	0.0463481	0.0463481	0
1	1.58351	0.0443602	0.0443602	0
1	1.64814	0.0438279	0.0438279	0
1	1.71278	0.0432374	0.0432374	0
1	1.77741	0.0426413	0.0426413	0
1	1.84204	0.0438657	0.0438657	0
1	1.90667	0.0452124	0.0452124	0
1	1.97131	0.0446201	0.0446201	0
1	2.03594	0.0456241	0.0456241	0
1	2.10057	0.0446734	0.0446734	0
1	2.16521	0.0459357	0.0459357	0
1	2.22984	0.0468609	0.0468609	0
1	2.29447	0.045592	0.045592	0
1	2.35911	0.0460089	0.0460089	0
1	2.42374	0.0464734	0.0464734	0
1	2.48837	0.0468545	0.0468545	0
1	2.55301	0.0469758	0.0469758	0
1	2.61764	0.0464846	0.0464846	0
1	2.68227	0.047558	0.047558	0
1	2.7469	0.0482547	0.0482547	0
1	2.81154	0.0481073	0.0481073	0
1	2.87617	0.0480479	0.0480479	0
1	2.9408	0.0484875	0.0484875	0
1	3.00544	0.0479082	0.0479082	0
1	3.07007	0.0485455	0.0485455	0
1	3.1347	0.0480059	0.0480059	0
1	3.19934	0.0487917	0.0487917	0
1	3.26397	0.0491143	0.0491143	0
1	3.3286	0.0498183	0.0498183	0
1	3.39323	0.0500787	0.0500787	0
1	3.45787	0.0494146	0.0494146	0
1	3.5225	0.049566	0.049566	0
1	3.58713	0.0497061	0.0497061	0
1	3.65177	0.0502142	0.0502142	0
1	3.7164	0.049473	0.049473	0
1	3.78103	0.0503508	0.0503508	0
1	3.84567	0.0505709	0.0505709	0
1	3.9103	0.0509662	0.0509662	0
1	3.97493	0.0514541	0.0514541	0
1	4.03957	0.0504386	0.0504386	0
1	4.1042	0.0513483	0.0513483	0
1	4.16883	0.0512515	0.0512515	0
1	4.23346	0.0514661	0.0514661	0
1	4.2981	0.051887	0.051887	0
