BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-3.90391	-3.90391	0
2	-3.79654	-3.85022	0.0379606
3	-3.80106	-3.83384	0.028626
4	-3.78664	-3.82204	0.0237776
5	-3.83029	-3.82369	0.0190793
6	-3.80926	-3.82128	0.0160503
7	-3.81963	-3.82105	0.0137592
8	-3.81898	-3.82079	0.0120417
9	-3.82433	-3.82118	0.0107102
10	-3.80181	-3.81924	0.00981279
11	-3.80106	-3.81759	0.00905893
12	-3.8081	-3.8168	0.00833849
13	-3.81122	-3.81637	0.00770809
14	-3.80028	-3.81522	0.00724267
15	-3.82326	-3.81576	0.00677962
16	-3.78653	-3.81393	0.00659738
17	-3.78534	-3.81225	0.0064201
18	-3.79055	-3.81104	0.00617551
19	-3.805	-3.81073	0.00585866
20	-3.78633	-3.80951	0.0056913
21	-3.82545	-3.81027	0.00547068
22	-3.83409	-3.81135	0.0053281
23	-3.83176	-3.81224	0.00516985
24	-3.82489	-3.81276	0.00498126
25	-3.80333	-3.81239	0.00479628
26	-3.78519	-3.81134	0.00472448
27	-3.80537	-3.81112	0.00455466
28	-3.79984	-3.81072	0.00440978
29	-3.82708	-3.81128	0.00429368
30	-3.8258	-3.81176	0.00417774
31	-3.80721	-3.81162	0.00404556
32	-3.80271	-3.81134	0.0039287
33	-3.80199	-3.81106	0.00381985
34	-3.82357	-3.81142	0.0037252
35	-3.8021	-3.81116	0.00362829
36	-3.84992	-3.81223	0.00368384
37	-3.79459	-3.81176	0.00361501
38	-3.82432	-3.81209	0.00353495
39	-3.85748	-3.81325	0.00363091
40	-3.80762	-3.81311	0.00354287
41	-3.81638	-3.81319	0.00345735
42	-3.8013	-3.81291	0.00338661
43	-3.85129	-3.8138	0.00342347
44	-3.81824	-3.8139	0.00334715
45	-3.79592	-3.8135	0.00329654
46	-3.81222	-3.81347	0.00322499
47	-3.82429	-3.8137	0.00316458
48	-3.82439	-3.81393	0.00310647
49	-3.82388	-3.81413	0.0030497
50	-3.79558	-3.81376	0.0030112
51	-3.76171	-3.81274	0.00312032
52	-3.78987	-3.8123	0.00309115
53	-3.82902	-3.81261	0.00304888
54	-3.80646	-3.8125	0.00299455
55	-3.8321	-3.81286	0.00296124
56	-3.81316	-3.81286	0.00290837
57	-3.83587	-3.81326	0.00288522
58	-3.78411	-3.81276	0.00287892
59	-3.7967	-3.81249	0.00284297
60	-3.82112	-3.81263	0.00279922
61	-3.83725	-3.81304	0.00278227
62	-3.81943	-3.81314	0.0027393
63	-3.84333	-3.81362	0.0027374
64	-3.81812	-3.81369	0.00269553
65	-3.80548	-3.81356	0.00265702
66	-3.82087	-3.81367	0.00261907
67	-3.80841	-3.8136	0.00258116
68	-3.79167	-3.81327	0.00256326
69	-3.80665	-3.81318	0.0025279
70	-3.79828	-3.81296	0.00250073
71	-3.82978	-3.8132	0.0024767
72	-3.82972	-3.81343	0.0024529
73	-3.8228	-3.81356	0.00242265
74	-3.85794	-3.81416	0.00246304
75	-3.81271	-3.81414	0.00243028
76	-3.82536	-3.81429	0.00240277
77	-3.82291	-3.8144	0.00237418
78	-3.79498	-3.81415	0.00235676
79	-3.79958	-3.81397	0.00233414
80	-3.83179	-3.81419	0.00231557
81	-3.81708	-3.81422	0.00228726
82	-3.80724	-3.81414	0.00226095
83	-3.80952	-3.81408	0.00223439
84	-3.7913	-3.81381	0.00222419
85	-3.78583	-3.81348	0.00222225
86	-3.80059	-3.81333	0.00220146
87	-3.81105	-3.81331	0.00217631
88	-3.78832	-3.81302	0.00217003
89	-3.81744	-3.81307	0.00214621
90	-3.79991	-3.81293	0.00212734
91	-3.80717	-3.81286	0.0021049
92	-3.80281	-3.81275	0.00208486
93	-3.78724	-3.81248	0.00208041
94	-3.81574	-3.81251	0.00205857
95	-3.7762	-3.81213	0.00207208
96	-3.80103	-3.81202	0.00205372
97	-3.78129	-3.8117	0.00205683
98	-3.7914	-3.81149	0.00204625
99	-3.82109	-3.81159	0.00202788
100	-3.83121	-3.81179	0.00201707
