BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-7.55609	-7.55609	0
2	-7.55145	-7.55377	0.00163916
3	-7.54978	-7.55244	0.00154056
4	-7.56018	-7.55438	0.00203522
5	-7.55824	-7.55515	0.00176876
6	-7.54377	-7.55325	0.00227433
7	-7.53358	-7.55044	0.00325141
8	-7.5331	-7.54827	0.00349398
9	-7.52776	-7.54599	0.00377646
10	-7.54395	-7.54579	0.00340435
11	-7.55871	-7.54696	0.00329125
12	-7.55891	-7.54796	0.00316403
13	-7.54178	-7.54749	0.00295609
14	-7.54267	-7.54714	0.00276485
15	-7.53348	-7.54623	0.00272651
16	-7.52987	-7.54521	0.00274122
17	-7.53163	-7.54441	0.00269374
18	-7.56101	-7.54533	0.00269738
19	-7.56034	-7.54612	0.00266857
20	-7.54565	-7.5461	0.00253525
21	-7.53476	-7.54556	0.00247136
22	-7.5423	-7.54541	0.00236345
23	-7.54175	-7.54525	0.00226603
24	-7.53457	-7.54481	0.00221492
25	-7.5635	-7.54555	0.00224896
26	-7.5506	-7.54575	0.00217081
27	-7.53869	-7.54549	0.00210609
28	-7.53263	-7.54503	0.00208033
29	-7.5374	-7.54476	0.00202516
30	-7.56278	-7.54536	0.00204475
31	-7.55362	-7.54563	0.00199604
32	-7.54163	-7.54551	0.00193757
33	-7.56817	-7.54619	0.0019969
34	-7.56252	-7.54667	0.00199509
35	-7.55842	-7.54701	0.00196611
36	-7.53709	-7.54673	0.00193069
37	-7.54599	-7.54671	0.00187861
38	-7.54285	-7.54661	0.00183193
39	-7.55852	-7.54692	0.00181023
40	-7.55464	-7.54711	0.00177523
41	-7.5472	-7.54711	0.00173194
42	-7.53746	-7.54688	0.00170586
43	-7.53488	-7.5466	0.00168886
44	-7.54725	-7.54662	0.00165054
45	-7.55526	-7.54681	0.001625
46	-7.52499	-7.54634	0.00165747
47	-7.55172	-7.54645	0.00162615
48	-7.55267	-7.54658	0.00159743
49	-7.5476	-7.5466	0.00156497
50	-7.55775	-7.54682	0.00154947
51	-7.52885	-7.54647	0.00155863
52	-7.54571	-7.54646	0.00152873
53	-7.54896	-7.5465	0.00150062
54	-7.55743	-7.54671	0.00148642
55	-7.53657	-7.54652	0.00147077
56	-7.54689	-7.54653	0.00144452
57	-7.5287	-7.54622	0.00145265
58	-7.54236	-7.54615	0.00142913
59	-7.54611	-7.54615	0.00140491
60	-7.54866	-7.54619	0.00138212
61	-7.56514	-7.5465	0.00139392
62	-7.53088	-7.54625	0.00139403
63	-7.5697	-7.54662	0.00142071
64	-7.55101	-7.54669	0.00140017
65	-7.56448	-7.54696	0.00140511
66	-7.55871	-7.54714	0.00139504
67	-7.54594	-7.54712	0.00137434
68	-7.55449	-7.54723	0.00135839
69	-7.5434	-7.54718	0.00133985
70	-7.53595	-7.54702	0.00133027
71	-7.51953	-7.54663	0.00136671
72	-7.54727	-7.54664	0.00134775
73	-7.53681	-7.5465	0.001336
74	-7.53968	-7.54641	0.00132112
75	-7.53867	-7.54631	0.00130753
76	-7.54002	-7.54622	0.00129293
77	-7.55359	-7.54632	0.00127967
78	-7.5369	-7.5462	0.00126895
79	-7.56533	-7.54644	0.00127578
80	-7.521	-7.54612	0.00129887
81	-7.53615	-7.546	0.00128866
82	-7.54848	-7.54603	0.0012733
83	-7.52789	-7.54581	0.00127659
84	-7.55515	-7.54592	0.00126622
85	-7.54362	-7.5459	0.00125161
86	-7.53937	-7.54582	0.00123936
87	-7.55483	-7.54592	0.00122943
88	-7.5185	-7.54561	0.00125433
89	-7.52485	-7.54538	0.00126175
90	-7.55822	-7.54552	0.00125577
91	-7.55445	-7.54562	0.00124579
92	-7.5533	-7.5457	0.00123505
93	-7.5632	-7.54589	0.00123601
94	-7.57021	-7.54615	0.00124963
95	-7.534	-7.54602	0.00124301
96	-7.55652	-7.54613	0.00123486
97	-7.55428	-7.54622	0.00122498
98	-7.56643	-7.54642	0.00122972
99	-7.56916	-7.54665	0.00123857
100	-7.54982	-7.54668	0.00122659
