BLOCK:	DISTANCE:	ACTUAL_G:	AVE_GOFR:	ERROR:
1	0.0323165	0	0	0
1	0.0969496	0	0	0
1	0.161583	0	0	0
1	0.226216	0	0	0
1	0.290849	0	0	0
1	0.355482	0	0	0
1	0.420115	0	0	0
1	0.484748	0	0	0
1	0.549381	0	0	0
1	0.614014	0	0	0
1	0.678647	0	0	0
1	0.74328	0	0	0
1	0.807913	0	0	0
1	0.872546	0	0	0
1	0.937179	0.00435584	0.00435584	0
1	1.00181	0.0253106	0.0253106	0
1	1.06645	0.0575703	0.0575703	0
1	1.13108	0.0578771	0.0578771	0
1	1.19571	0.0544747	0.0544747	0
1	1.26034	0.0589191	0.0589191	0
1	1.32498	0.0491582	0.0491582	0
1	1.38961	0.0457338	0.0457338	0
1	1.45424	0.0426514	0.0426514	0
1	1.51888	0.046509	0.046509	0
1	1.58351	0.038233	0.038233	0
1	1.64814	0.0384568	0.0384568	0
1	1.71278	0.0387473	0.0387473	0
1	1.77741	0.0316258	0.0316258	0
1	1.84204	0.0349718	0.0349718	0
1	1.90667	0.0406788	0.0406788	0
1	1.97131	0.0422356	0.0422356	0
1	2.03594	0.0347703	0.0347703	0
1	2.10057	0.0365409	0.0365409	0
1	2.16521	0.0360797	0.0360797	0
1	2.22984	0.0417111	0.0417111	0
1	2.29447	0.0354235	0.0354235	0
1	2.35911	0.0417088	0.0417088	0
1	2.42374	0.0434401	0.0434401	0
1	2.48837	0.0398617	0.0398617	0
1	2.55301	0.0363073	0.0363073	0
1	2.61764	0.0424823	0.0424823	0
1	2.68227	0.0402203	0.0402203	0
1	2.7469	0.0457846	0.0457846	0
1	2.81154	0.039608	0.039608	0
1	2.87617	0.0420825	0.0420825	0
1	2.9408	0.0469132	0.0469132	0
1	3.00544	0.0431739	0.0431739	0
1	3.07007	0.0394128	0.0394128	0
1	3.1347	0.0418655	0.0418655	0
1	3.19934	0.0410718	0.0410718	0
1	3.26397	0.0435368	0.0435368	0
1	3.3286	0.0467459	0.0467459	0
1	3.39323	0.0524873	0.0524873	0
1	3.45787	0.0518629	0.0518629	0
1	3.5225	0.0475072	0.0475072	0
1	3.58713	0.0458768	0.0458768	0
1	3.65177	0.043873	0.043873	0
1	3.7164	0.051043	0.051043	0
1	3.78103	0.0512446	0.0512446	0
1	3.84567	0.0440055	0.0440055	0
1	3.9103	0.0525722	0.0525722	0
1	3.97493	0.052043	0.052043	0
1	4.03957	0.0511581	0.0511581	0
1	4.1042	0.0528258	0.0528258	0
1	4.16883	0.0543899	0.0543899	0
1	4.23346	0.0586165	0.0586165	0
1	4.2981	0.0569875	0.0569875	0
