BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.82733	1.82733	0
2	1.80506	1.81619	0.00787422
3	1.81195	1.81478	0.00537493
4	1.83428	1.81965	0.00583722
5	1.80717	1.81716	0.00517674
6	1.80551	1.81522	0.00466359
7	1.80435	1.81366	0.00424807
8	1.78046	1.80951	0.00537503
9	1.83192	1.812	0.00532326
10	1.85428	1.81623	0.00624792
11	1.86754	1.82089	0.00721422
12	1.88303	1.82607	0.00826502
13	1.86277	1.8289	0.00809706
14	1.89031	1.83328	0.00862557
15	1.92505	1.8394	0.00998715
16	1.85238	1.84021	0.00939582
17	1.83757	1.84006	0.00884441
18	1.82043	1.83897	0.00841996
19	1.84927	1.83951	0.00799425
20	1.87758	1.84141	0.0078179
21	1.8506	1.84185	0.00745785
22	1.82473	1.84107	0.00715934
23	1.82691	1.84046	0.00687448
24	1.87249	1.84179	0.00671638
25	1.88195	1.8434	0.00663701
26	1.84958	1.84363	0.00638599
27	1.83125	1.84318	0.00616593
28	1.80869	1.84194	0.00606749
29	1.83986	1.84187	0.00585869
30	1.84667	1.84203	0.00566559
31	1.84692	1.84219	0.00548502
32	1.82151	1.84154	0.00535154
33	1.8448	1.84164	0.00519029
34	1.83546	1.84146	0.00504081
35	1.85605	1.84188	0.00491399
36	1.83902	1.8418	0.00477813
37	1.86289	1.84237	0.00468288
38	1.87855	1.84332	0.00465544
39	1.90928	1.84501	0.00483352
40	1.87763	1.84583	0.00478099
41	1.86772	1.84636	0.00469409
42	1.83714	1.84614	0.00458746
43	1.88341	1.84701	0.00456191
44	1.95339	1.84943	0.00505856
45	1.89664	1.85047	0.0050538
46	1.86006	1.85068	0.00494823
47	1.89135	1.85155	0.00491802
48	1.89806	1.85252	0.0049101
49	1.84541	1.85237	0.00481204
50	1.85443	1.85241	0.00471597
51	1.89027	1.85316	0.00468156
52	1.91997	1.85444	0.00476459
53	1.89254	1.85516	0.0047286
54	1.90508	1.85608	0.00473052
55	1.89189	1.85673	0.00468909
56	1.92807	1.85801	0.00477524
57	1.90362	1.85881	0.00475803
58	1.91967	1.85986	0.00479029
59	1.85345	1.85975	0.00471033
60	1.84366	1.85948	0.00463945
61	1.87126	1.85967	0.00456741
62	1.86624	1.85978	0.00449497
63	1.80484	1.85891	0.00450741
64	1.79409	1.8579	0.00454934
65	1.802	1.85704	0.00455989
66	1.78226	1.8559	0.00462943
67	1.80476	1.85514	0.00462284
68	1.84582	1.855	0.00455689
69	1.84727	1.85489	0.00449222
70	1.89262	1.85543	0.00446026
71	1.89954	1.85605	0.00444051
72	1.89131	1.85654	0.00440575
73	1.90531	1.85721	0.00439576
74	1.92223	1.85809	0.00442329
75	1.86702	1.85821	0.00436592
76	1.8453	1.85804	0.00431178
77	1.84321	1.85784	0.00426008
78	1.86559	1.85794	0.00420662
79	1.86	1.85797	0.00415345
80	1.85895	1.85798	0.00410155
81	1.8804	1.85826	0.00406024
82	1.91275	1.85892	0.00406475
83	1.84911	1.8588	0.0040175
84	1.86206	1.85884	0.00396985
85	1.81129	1.85828	0.00396237
86	1.8611	1.85832	0.00391643
87	1.83819	1.85808	0.00387824
88	1.879	1.85832	0.00384145
89	1.90192	1.85881	0.00382939
90	1.91481	1.85943	0.00383705
91	1.96963	1.86065	0.00398138
92	1.93861	1.86149	0.00402729
93	1.89061	1.86181	0.00399614
94	1.88849	1.86209	0.0039637
95	1.86342	1.8621	0.003922
96	1.81301	1.86159	0.00391434
97	1.82087	1.86117	0.00389644
98	1.81172	1.86067	0.00388921
99	1.85406	1.8606	0.0038505
100	1.87805	1.86078	0.00381594
101	1.80774	1.86025	0.00381411
102	1.81577	1.85981	0.00380157
103	1.86019	1.85982	0.00376467
104	1.81155	1.85935	0.00375697
105	1.79047	1.8587	0.00377805
106	1.7852	1.858	0.00380549
107	1.81105	1.85757	0.00379515
108	1.86795	1.85766	0.00376122
109	1.85333	1.85762	0.00372693
110	1.86052	1.85765	0.00369314
111	1.87771	1.85783	0.00366429
112	1.84212	1.85769	0.00363425
113	1.84322	1.85756	0.00360435
114	1.81156	1.85716	0.00359524
115	1.80206	1.85668	0.00359577
116	1.84397	1.85657	0.00356644
117	1.8347	1.85638	0.00354085
118	1.85261	1.85635	0.00351099
119	1.84565	1.85626	0.00348263
120	1.86497	1.85633	0.00345437
121	1.8828	1.85655	0.00343274
122	1.90116	1.85692	0.00342402
123	1.88338	1.85713	0.00340294
124	1.9086	1.85755	0.00340071
125	1.91538	1.85801	0.00340483
126	1.86619	1.85807	0.00337843
127	1.85628	1.85806	0.00335186
128	1.84221	1.85794	0.00332796
129	1.85935	1.85795	0.00330218
130	1.84909	1.85788	0.00327748
131	1.88467	1.85808	0.00325884
132	1.85789	1.85808	0.00323415
133	1.81753	1.85778	0.00322417
134	1.84418	1.85768	0.00320171
135	1.86504	1.85773	0.00317846
136	1.83061	1.85753	0.00316133
137	1.81579	1.85723	0.00315291
138	1.84357	1.85713	0.00313161
139	1.85607	1.85712	0.00310909
140	1.85997	1.85714	0.00308695
141	1.85525	1.85713	0.00306509
142	1.84388	1.85703	0.00304492
143	1.84769	1.85697	0.00302433
144	1.8388	1.85684	0.00300596
145	1.83401	1.85669	0.00298935
146	1.82926	1.8565	0.00297477
147	1.82805	1.8563	0.00296082
148	1.8558	1.8563	0.00294082
149	1.85218	1.85627	0.00292121
150	1.85821	1.85629	0.00290176
151	1.87528	1.85641	0.00288527
152	1.87912	1.85656	0.00287015
153	1.90299	1.85686	0.00286739
154	1.8642	1.85691	0.00284916
155	1.8486	1.85686	0.00283129
156	1.8205	1.85663	0.00282271
157	1.87037	1.85671	0.00280609
158	1.88956	1.85692	0.00279602
159	1.93679	1.85742	0.0028232
160	1.86609	1.85748	0.00280608
161	1.87759	1.8576	0.00279143
162	1.92491	1.85802	0.00280494
163	1.92148	1.85841	0.00281463
164	1.93183	1.85885	0.00283285
165	1.87457	1.85895	0.00281728
166	1.89144	1.85915	0.0028071
167	1.93383	1.85959	0.00282569
168	1.91293	1.85991	0.00282665
169	1.8811	1.86004	0.0028127
170	1.93936	1.8605	0.00283459
171	1.97818	1.86119	0.00290034
172	1.96108	1.86177	0.00294105
173	1.94328	1.86224	0.00296155
174	1.95026	1.86275	0.00298741
175	1.9597	1.8633	0.00302127
176	1.89756	1.8635	0.00301037
177	1.87455	1.86356	0.00299401
178	1.86628	1.86357	0.00297723
179	1.92172	1.8639	0.00297826
180	1.91455	1.86418	0.00297498
181	1.90903	1.86443	0.00296884
182	1.85244	1.86436	0.00295326
183	1.82134	1.86413	0.00294646
184	1.83156	1.86395	0.00293576
185	1.85933	1.86393	0.00292
186	1.88044	1.86401	0.00290565
187	1.84944	1.86394	0.00289116
188	1.80875	1.86364	0.00289064
189	1.82391	1.86343	0.00288298
190	1.84245	1.86332	0.00286992
191	1.80515	1.86302	0.00287102
192	1.77231	1.86255	0.00289467
193	1.85674	1.86251	0.00287983
194	1.86371	1.86252	0.00286499
195	1.84746	1.86244	0.00285134
196	1.83725	1.86232	0.00283969
197	1.81527	1.86208	0.0028353
198	1.84086	1.86197	0.002823
199	1.89927	1.86216	0.00281503
200	1.87618	1.86223	0.00280183
201	1.864	1.86224	0.0027879
202	1.83794	1.86212	0.0027767
203	1.84699	1.86204	0.00276402
204	1.84961	1.86198	0.00275114
205	1.86213	1.86198	0.00273772
206	1.81867	1.86177	0.00273249
207	1.84236	1.86168	0.0027209
208	1.81624	1.86146	0.00271657
209	1.7893	1.86111	0.00272542
210	1.86443	1.86113	0.00271249
211	1.89979	1.86131	0.00270581
212	1.8401	1.86121	0.0026949
213	1.81693	1.861	0.00269025
214	1.82533	1.86084	0.00268284
215	1.81355	1.86062	0.00267936
216	1.82424	1.86045	0.00267225
217	1.83078	1.86031	0.00266343
218	1.83615	1.8602	0.00265351
219	1.85005	1.86016	0.0026418
220	1.81959	1.85997	0.00263622
221	1.84968	1.85992	0.0026247
222	1.82795	1.85978	0.00261683
223	1.8306	1.85965	0.00260837
224	1.82426	1.85949	0.0026015
225	1.8044	1.85925	0.00260144
226	1.83505	1.85914	0.00259213
227	1.91584	1.85939	0.00259272
228	1.89588	1.85955	0.00258628
229	1.89911	1.85972	0.00258075
230	1.88919	1.85985	0.00257271
231	1.8636	1.85987	0.00256162
232	1.86246	1.85988	0.00255061
233	1.86888	1.85992	0.00253995
234	1.85698	1.8599	0.00252913
235	1.8655	1.85993	0.00251848
236	1.85465	1.85991	0.00250791
237	1.87281	1.85996	0.00249791
238	1.87059	1.86	0.00248782
239	1.80936	1.85979	0.00248642
240	1.84314	1.85972	0.00247702
241	1.83226	1.85961	0.00246937
242	1.82135	1.85945	0.00246422
243	1.83785	1.85936	0.00245568
244	1.84239	1.85929	0.0024466
245	1.85061	1.85926	0.00243687
246	1.82655	1.85912	0.00243059
247	1.85472	1.85911	0.00242081
248	1.82292	1.85896	0.00241544
249	1.84366	1.8589	0.00240653
250	1.89249	1.85903	0.00240065
251	1.82263	1.85889	0.00239546
252	1.80315	1.85867	0.00239614
253	1.84968	1.85863	0.00238694
254	1.85137	1.8586	0.00237771
255	1.81698	1.85844	0.00237398
256	1.80805	1.85824	0.00237285
257	1.80517	1.85804	0.00237259
258	1.81841	1.85788	0.00236836
259	1.87321	1.85794	0.00235996
260	1.87289	1.858	0.00235158
261	1.86263	1.85802	0.00234264
262	1.8339	1.85793	0.0023355
263	1.81665	1.85777	0.00233189
264	1.84076	1.8577	0.00232394
265	1.84407	1.85765	0.00231574
266	1.83729	1.85758	0.0023083
267	1.81799	1.85743	0.00230441
268	1.7908	1.85718	0.00230919
269	1.82898	1.85707	0.00230298
270	1.84551	1.85703	0.00229485
271	1.87133	1.85708	0.00228699
272	1.874	1.85715	0.00227942
273	1.86634	1.85718	0.00227132
274	1.81864	1.85704	0.00226739
275	1.76835	1.85672	0.00228196
276	1.78272	1.85645	0.00228939
277	1.81901	1.85631	0.00228511
278	1.83151	1.85622	0.00227863
279	1.92443	1.85647	0.00228354
280	1.8599	1.85648	0.00227542
281	1.85808	1.85649	0.00226733
282	1.89124	1.85661	0.00226264
283	1.87429	1.85667	0.0022555
284	1.95862	1.85703	0.00227595
285	1.91005	1.85722	0.00227555
286	1.88769	1.85732	0.00227009
287	1.85714	1.85732	0.00226218
288	1.82674	1.85722	0.00225682
289	1.84988	1.85719	0.00224915
290	1.87818	1.85726	0.00224256
291	1.89726	1.8574	0.00223906
292	1.86485	1.85743	0.00223154
293	1.89686	1.85756	0.00222798
294	1.87621	1.85763	0.0022213
295	1.83676	1.85755	0.0022149
296	1.87186	1.8576	0.00220794
297	1.83212	1.85752	0.00220218
298	1.85222	1.8575	0.00219486
299	1.85781	1.8575	0.00218752
300	1.85662	1.8575	0.00218023
301	1.86041	1.85751	0.00217301
302	1.84202	1.85746	0.00216642
303	1.84454	1.85741	0.00215969
304	1.85284	1.8574	0.00215263
305	1.86923	1.85744	0.00214593
306	1.86589	1.85746	0.00213909
307	1.84943	1.85744	0.00213228
308	1.85354	1.85743	0.0021254
309	1.89721	1.85755	0.00212242
310	1.88748	1.85765	0.00211776
311	1.8298	1.85756	0.00211285
312	1.82516	1.85746	0.00210862
313	1.81066	1.85731	0.00210718
314	1.8198	1.85719	0.00210385
315	1.80968	1.85704	0.00210257
316	1.88066	1.85711	0.00209725
317	1.84326	1.85707	0.00209109
318	1.85401	1.85706	0.00208453
319	1.89419	1.85718	0.00208124
320	1.85458	1.85717	0.00207476
321	1.8273	1.85707	0.00207038
322	1.81652	1.85695	0.00206778
323	1.83067	1.85687	0.00206297
324	1.88479	1.85695	0.00205841
325	1.87871	1.85702	0.00205316
326	1.82045	1.85691	0.00204992
327	1.81659	1.85678	0.00204736
328	1.81347	1.85665	0.00204537
329	1.8111	1.85651	0.00204384
330	1.85336	1.8565	0.00203766
331	1.85641	1.8565	0.00203151
332	1.84618	1.85647	0.00202563
333	1.81698	1.85635	0.00202301
334	1.84008	1.85631	0.00201754
335	1.84521	1.85627	0.00201179
336	1.85472	1.85627	0.00200581
337	1.86767	1.8563	0.00200014
338	1.86944	1.85634	0.0019946
339	1.87253	1.85639	0.00198929
340	1.81952	1.85628	0.00198639
341	1.86949	1.85632	0.00198095
342	1.94561	1.85658	0.00199229
343	1.92051	1.85677	0.00199518
344	1.89712	1.85688	0.00199282
345	1.88239	1.85696	0.00198842
346	1.87648	1.85701	0.00198347
347	1.83714	1.85696	0.00197858
348	1.84666	1.85693	0.00197312
349	1.82862	1.85685	0.00196913
350	1.85611	1.85684	0.00196351
351	1.86094	1.85686	0.00195795
352	1.90145	1.85698	0.00195648
353	1.8876	1.85707	0.00195286
354	1.93644	1.85729	0.00196017
355	1.94387	1.85754	0.00196976
356	1.90494	1.85767	0.00196872
357	1.89868	1.85779	0.00196656
358	1.89092	1.85788	0.00196324
359	1.88866	1.85796	0.00195964
360	1.91299	1.85812	0.00196015
361	1.95324	1.85838	0.00197236
362	1.96756	1.85868	0.00198983
363	1.92545	1.85887	0.00199284
364	1.92904	1.85906	0.00199666
365	1.91779	1.85922	0.00199767
366	1.88905	1.8593	0.00199387
367	1.92363	1.85948	0.00199613
368	1.88954	1.85956	0.00199238
369	1.95659	1.85982	0.00200426
370	1.91879	1.85998	0.00200516
371	1.88013	1.86003	0.0020005
372	1.86712	1.86005	0.00199521
373	1.85743	1.86005	0.00198987
374	1.79362	1.85987	0.00199246
375	1.86279	1.85988	0.00198716
376	1.88201	1.85994	0.00198275
377	1.88107	1.85999	0.00197828
378	1.87601	1.86003	0.0019735
379	1.9252	1.86021	0.00197577
380	1.90039	1.86031	0.0019734
381	1.87027	1.86034	0.0019684
382	1.89778	1.86044	0.00196568
