BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-0.363388	-0.363388	0
2	-0.341058	-0.352223	0.00789496
3	-0.348058	-0.350835	0.00538399
4	-0.370476	-0.355745	0.00586421
5	-0.343287	-0.353254	0.00519385
6	-0.341648	-0.351319	0.00467453
7	-0.340377	-0.349756	0.0042601
8	-0.316542	-0.345604	0.00538309
9	-0.36807	-0.3481	0.0053324
10	-0.390345	-0.352325	0.00625246
11	-0.40372	-0.356997	0.00722177
12	-0.419254	-0.362185	0.00827626
13	-0.398971	-0.365015	0.00810894
14	-0.426572	-0.369412	0.00863998
15	-0.461192	-0.375531	0.00999852
16	-0.388556	-0.376345	0.0094067
17	-0.373742	-0.376192	0.00885461
18	-0.356664	-0.375107	0.00842888
19	-0.385437	-0.37565	0.00800277
20	-0.413771	-0.377556	0.00782632
21	-0.38684	-0.377999	0.00746611
22	-0.360866	-0.37722	0.00716724
23	-0.36317	-0.376609	0.00688161
24	-0.408671	-0.377945	0.00672329
25	-0.418071	-0.37955	0.00664318
26	-0.385752	-0.379788	0.00639196
27	-0.367429	-0.379331	0.00617159
28	-0.344863	-0.3781	0.0060727
29	-0.376004	-0.378027	0.00586372
30	-0.382785	-0.378186	0.00567041
31	-0.382951	-0.37834	0.00548958
32	-0.357688	-0.377694	0.00535583
33	-0.380953	-0.377793	0.00519444
34	-0.371773	-0.377616	0.00504468
35	-0.392343	-0.378037	0.00491807
36	-0.375239	-0.377959	0.00478207
37	-0.399144	-0.378532	0.00468697
38	-0.414874	-0.379488	0.00466018
39	-0.445566	-0.381182	0.0048389
40	-0.413941	-0.382001	0.00478673
41	-0.403963	-0.382537	0.00469986
42	-0.37347	-0.382321	0.00459291
43	-0.419836	-0.383194	0.00456821
44	-0.489694	-0.385614	0.0050652
45	-0.432953	-0.386666	0.00506071
46	-0.39646	-0.386879	0.00495517
47	-0.427678	-0.387747	0.00492519
48	-0.434379	-0.388718	0.00491746
49	-0.381664	-0.388574	0.00481921
50	-0.390756	-0.388618	0.00472303
51	-0.426528	-0.389361	0.00468855
52	-0.456272	-0.390648	0.00477169
53	-0.428732	-0.391367	0.00473545
54	-0.441281	-0.392291	0.00473711
55	-0.427989	-0.39294	0.00469523
56	-0.464144	-0.394212	0.00478046
57	-0.439824	-0.395012	0.00476309
58	-0.455792	-0.39606	0.00479487
59	-0.389616	-0.395951	0.00471484
60	-0.379901	-0.395683	0.00464384
61	-0.407502	-0.395877	0.00457175
62	-0.402475	-0.395983	0.00449925
63	-0.341089	-0.395112	0.00451142
64	-0.33044	-0.394101	0.00455269
65	-0.338171	-0.393241	0.00456324
66	-0.318443	-0.392108	0.00463269
67	-0.341036	-0.391345	0.00462584
68	-0.382021	-0.391208	0.00455984
69	-0.383514	-0.391097	0.00449512
70	-0.428828	-0.391636	0.0044631
71	-0.435703	-0.392256	0.00444319
72	-0.427547	-0.392747	0.00440843
73	-0.441697	-0.393417	0.00439874
74	-0.458533	-0.394297	0.00442644
75	-0.403281	-0.394417	0.00436904
76	-0.381511	-0.394247	0.00431485
77	-0.379521	-0.394056	0.00426305
78	-0.401865	-0.394156	0.00420957
79	-0.396015	-0.394179	0.00415635
80	-0.395012	-0.39419	0.00410441
81	-0.416573	-0.394466	0.00406303
82	-0.448827	-0.395129	0.00406721
83	-0.385368	-0.395012	0.0040199
84	-0.398273	-0.39505	0.00397224
85	-0.347579	-0.394492	0.00396457
86	-0.397362	-0.394525	0.00391861
87	-0.374436	-0.394294	0.00388037
88	-0.415298	-0.394533	0.00384361
89	-0.438146	-0.395023	0.00383153
90	-0.451155	-0.395647	0.00383938
91	-0.506032	-0.39686	0.00398421
92	-0.4748	-0.397707	0.00402996
93	-0.426861	-0.39802	0.00399881
94	-0.424628	-0.398303	0.00396627
95	-0.399464	-0.398316	0.00392454
96	-0.349162	-0.397804	0.00391692
97	-0.357034	-0.397383	0.00389902
98	-0.347857	-0.396878	0.00389185
99	-0.390215	-0.396811	0.00385312
100	-0.413978	-0.396982	0.00381841
101	-0.343803	-0.396456	0.00381673
102	-0.351884	-0.396019	0.00380425
103	-0.396306	-0.396022	0.00376731
104	-0.347629	-0.395556	0.00375971
105	-0.326614	-0.3949	0.00378081
106	-0.32145	-0.394207	0.00380811
107	-0.347247	-0.393768	0.00379772
108	-0.404327	-0.393866	0.00376382
109	-0.389604	-0.393827	0.00372949
110	-0.396898	-0.393855	0.00369569
111	-0.413945	-0.394036	0.00366682
112	-0.378256	-0.393895	0.00363679
113	-0.379432	-0.393767	0.00360686
114	-0.34768	-0.393362	0.0035978
115	-0.338245	-0.392883	0.0035983
116	-0.380126	-0.392773	0.00356896
117	-0.370868	-0.392586	0.00354336
118	-0.388834	-0.392554	0.00351348
119	-0.381949	-0.392465	0.00348508
120	-0.401278	-0.392538	0.00345682
121	-0.419155	-0.392758	0.00343524
122	-0.437517	-0.393125	0.00342662
123	-0.419751	-0.393342	0.00340559
124	-0.445245	-0.39376	0.00340375
125	-0.451775	-0.394224	0.00340802
126	-0.402539	-0.39429	0.00338161
127	-0.392614	-0.394277	0.00335501
128	-0.378472	-0.394154	0.00333107
129	-0.395573	-0.394165	0.00330526
130	-0.385297	-0.394097	0.00328054
131	-0.42085	-0.394301	0.00326185
132	-0.393945	-0.394298	0.00323714
133	-0.353687	-0.393993	0.00322717
134	-0.380333	-0.393891	0.00320469
135	-0.401119	-0.393944	0.0031814
136	-0.366777	-0.393745	0.00316428
