BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.060824	0.060824	0
2	0.0600976	0.0604608	0.000256842
3	0.060328	0.0604165	0.000175
4	0.06107	0.0605799	0.00019299
5	0.0601504	0.060494	0.000172455
6	0.0601072	0.0604295	0.000155294
7	0.0600615	0.060377	0.000141731
8	0.0592313	0.0602338	0.000182552
9	0.0609748	0.0603161	0.000179883
10	0.0617005	0.0604545	0.00020847
11	0.0621282	0.0606067	0.000238667
12	0.0626517	0.0607771	0.00027292
13	0.0619926	0.0608706	0.000267463
14	0.0629267	0.0610175	0.00028585
15	0.0640728	0.0612212	0.000331515
16	0.0616127	0.0612456	0.000311698
17	0.0611226	0.0612384	0.000293446
18	0.060558	0.0612006	0.000279568
19	0.0615488	0.0612189	0.000265454
20	0.0625327	0.0612846	0.000260182
21	0.0616005	0.0612997	0.000248227
22	0.0607367	0.0612741	0.000238259
23	0.0607956	0.0612533	0.000228806
24	0.0623392	0.0612985	0.000223702
25	0.062641	0.0613522	0.000221105
26	0.0615465	0.0613597	0.000212727
27	0.060934	0.0613439	0.000205431
28	0.0601709	0.061302	0.000202321
29	0.061262	0.0613006	0.000195349
30	0.0614757	0.0613065	0.000188925
31	0.0614577	0.0613114	0.000182894
32	0.0606606	0.061291	0.000178305
33	0.0614399	0.0612955	0.000172959
34	0.0610503	0.0612883	0.000168022
35	0.0618096	0.0613032	0.000163881
36	0.0611981	0.0613003	0.000159354
37	0.0620146	0.0613196	0.000156212
38	0.0624953	0.0613505	0.000155135
39	0.0635429	0.0614068	0.000161021
40	0.0624522	0.0614329	0.000159102
41	0.0621661	0.0614508	0.000156224
42	0.061139	0.0614433	0.00015268
43	0.0626215	0.0614707	0.000151568
44	0.0649813	0.0615505	0.000167814
45	0.0631066	0.0615851	0.000167609
46	0.0618517	0.0615909	0.000164066
47	0.0629564	0.06162	0.000163127
48	0.0631879	0.0616526	0.000162966
49	0.0614213	0.0616479	0.000159708
50	0.0617065	0.0616491	0.000156519
51	0.0629037	0.0616737	0.000155371
52	0.0639122	0.0617167	0.000158234
53	0.0629873	0.0617407	0.000157054
54	0.0634088	0.0617716	0.000157154
55	0.0629378	0.0617928	0.000155721
56	0.0641694	0.0618352	0.000158618
57	0.0633328	0.0618615	0.000157996
58	0.0639234	0.0618971	0.000159221
59	0.0616705	0.0618932	0.000156569
60	0.0613479	0.0618841	0.000154223
61	0.0623028	0.061891	0.000151847
62	0.0621387	0.061895	0.000149451
63	0.0600859	0.0618663	0.000149812
64	0.0597144	0.0618326	0.000151197
65	0.0599841	0.0618042	0.000151522
66	0.0593609	0.0617672	0.000153682
67	0.0600648	0.0617418	0.000153474
68	0.0614461	0.0617374	0.000151279
69	0.0614799	0.0617337	0.000149132
70	0.0629972	0.0617517	0.00014809
71	0.0632606	0.061773	0.000147521
72	0.0629776	0.0617897	0.000146418
73	0.0634399	0.0618123	0.000146147
74	0.0639513	0.0618412	0.000147003
75	0.0621454	0.0618453	0.000145099
76	0.0613944	0.0618394	0.000143311
77	0.0613598	0.0618331	0.000141585
78	0.0621194	0.0618368	0.000139817
79	0.061918	0.0618378	0.000138051
80	0.0618493	0.061838	0.000136325
81	0.0625794	0.0618471	0.000134949
82	0.0637353	0.0618702	0.000135254
83	0.061491	0.0618656	0.000133702
84	0.0620039	0.0618672	0.00013212
85	0.0602747	0.0618485	0.000131887
86	0.0619564	0.0618498	0.00013036
87	0.061137	0.0618416	0.000129119
88	0.0625372	0.0618495	0.000127893
89	0.0632985	0.0618657	0.000127488
90	0.0637116	0.0618863	0.000127711
91	0.0655949	0.061927	0.000132651
92	0.0645161	0.0619552	0.000134161
93	0.0628667	0.061965	0.000133076
94	0.0628392	0.0619743	0.000131985
95	0.0620431	0.061975	0.000130597
96	0.0603549	0.0619581	0.000130323
97	0.0605911	0.061944	0.000129739
98	0.0603059	0.0619273	0.000129488
99	0.0617444	0.0619254	0.000128193
100	0.0625032	0.0619312	0.000127041
101	0.0601977	0.0619141	0.000126937
102	0.0604452	0.0618997	0.000126507
103	0.061935	0.0619	0.000125279
104	0.0603191	0.0618848	0.000124993
105	0.0596095	0.0618631	0.000125667
106	0.0594531	0.0618404	0.000126522
107	0.0602728	0.0618257	0.000126185
108	0.0622083	0.0618293	0.000125066
109	0.0616653	0.0618278	0.000123928
110	0.0619048	0.0618285	0.000122803
111	0.0625426	0.0618349	0.000121865
112	0.0613143	0.0618303	0.000120866
113	0.0613995	0.0618265	0.000119856
114	0.0603011	0.0618131	0.000119549
115	0.0599869	0.0617972	0.00011956
116	0.0613581	0.0617934	0.000118589
117	0.061071	0.0617872	0.000117736
118	0.0617131	0.0617866	0.00011674
119	0.0613997	0.0617834	0.000115804
120	0.0620733	0.0617858	0.000114865
121	0.0626744	0.0617931	0.00011415
122	0.0632876	0.0618054	0.000113869
123	0.062645	0.0618122	0.000113148
124	0.063527	0.061826	0.000113078
125	0.0637674	0.0618416	0.000113235
126	0.0621425	0.0618439	0.000112361
127	0.061794	0.0618436	0.000111477
128	0.0613858	0.06184	0.000110664
129	0.0619028	0.0618405	0.000109807
130	0.0615529	0.0618382	0.000108984
131	0.062781	0.0618454	0.00010839
132	0.0618543	0.0618455	0.000107569
133	0.0604773	0.0618352	0.000107251
134	0.0613739	0.0618318	0.000106506
135	0.0620823	0.0618336	0.000105733
136	0.0609233	0.0618269	0.000105167
137	0.0604231	0.0618167	0.000104897
138	0.0613434	0.0618133	0.000104193
139	0.061765	0.0618129	0.000103444
140	0.0618932	0.0618135	0.000102707
141	0.0617313	0.0618129	0.00010198
142	0.0613326	0.0618095	0.000101318
143	0.0614368	0.0618069	0.000100643
144	0.0611923	0.0618027	0.000100035
145	0.0610646	0.0617976	9.94742e-05
146	0.0608786	0.0617913	9.89918e-05
147	0.0608315	0.0617847	9.85335e-05
148	0.0617832	0.0617847	9.78677e-05
149	0.0616882	0.0617841	9.7213e-05
150	0.0618435	0.0617845	9.65658e-05
151	0.0624011	0.0617886	9.60125e-05
152	0.0625116	0.0617933	9.54987e-05
153	0.0632979	0.0618032	9.53795e-05
154	0.06202	0.0618046	9.47705e-05
155	0.0615222	0.0618027	9.41766e-05
156	0.0605835	0.0617949	9.38966e-05
157	0.0622328	0.0617977	9.334e-05
158	0.0628828	0.0618046	9.30015e-05
159	0.0645353	0.0618218	9.3989e-05
160	0.0621132	0.0618236	9.34192e-05
161	0.0624703	0.0618276	9.29253e-05
162	0.0640811	0.0618415	9.33871e-05
163	0.0639507	0.0618544	9.37063e-05
164	0.0643384	0.0618696	9.4351e-05
165	0.0623683	0.0618726	9.38276e-05
166	0.0629429	0.0618791	9.34836e-05
167	0.0643925	0.0618941	9.41276e-05
168	0.0636188	0.0619044	9.41254e-05
169	0.0625564	0.0619082	9.36475e-05
170	0.0645534	0.0619238	9.43804e-05
171	0.0658416	0.0619467	9.65694e-05
172	0.0652973	0.0619662	9.7953e-05
173	0.0646564	0.0619817	9.86134e-05
174	0.064856	0.0619983	9.94206e-05
175	0.0652501	0.0620168	0.000100574
176	0.063119	0.0620231	0.000100197
177	0.0623758	0.0620251	9.9651e-05
178	0.062108	0.0620256	9.90923e-05
179	0.0639963	0.0620366	9.91484e-05
180	0.0637457	0.0620461	9.90512e-05
181	0.063553	0.0620544	9.88532e-05
182	0.0616449	0.0620521	9.83357e-05
183	0.0605737	0.0620441	9.81296e-05
184	0.0609914	0.0620383	9.77629e-05
185	0.0619121	0.0620377	9.72368e-05
186	0.0625813	0.0620406	9.6758e-05
187	0.0615648	0.062038	9.6274e-05
188	0.0601701	0.0620281	9.62732e-05
189	0.0607654	0.0620214	9.59954e-05
190	0.0613253	0.0620178	9.55601e-05
191	0.0601041	0.0620077	9.55835e-05
192	0.0589646	0.0619919	9.63908e-05
193	0.0618328	0.0619911	9.58949e-05
194	0.0620311	0.0619913	9.54008e-05
195	0.061495	0.0619887	9.49455e-05
196	0.0611482	0.0619844	9.45579e-05
197	0.0604088	0.0619764	9.44156e-05
198	0.0612377	0.0619727	9.40124e-05
199	0.0631998	0.0619789	9.3742e-05
200	0.0623692	0.0619808	9.32936e-05
201	0.0620313	0.0619811	9.28298e-05
202	0.0611843	0.0619771	9.2454e-05
203	0.061438	0.0619745	9.20367e-05
