BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.21822	1.21822	0
2	1.20337	1.2108	0.00524948
3	1.20797	1.20985	0.00358329
4	1.22285	1.2131	0.00389148
5	1.20478	1.21144	0.00345116
6	1.20367	1.21014	0.00310906
7	1.2029	1.20911	0.00283204
8	1.18697	1.20634	0.00358335
9	1.22128	1.208	0.00354884
10	1.23618	1.21082	0.00416528
11	1.24503	1.21393	0.00480948
12	1.25535	1.21738	0.00551002
13	1.24185	1.21926	0.00539804
14	1.26021	1.22219	0.00575038
15	1.28337	1.22627	0.0066581
16	1.23492	1.22681	0.00626388
17	1.22505	1.2267	0.00589627
18	1.21362	1.22598	0.00561331
19	1.23285	1.22634	0.0053295
20	1.25172	1.22761	0.00521193
21	1.23373	1.2279	0.0049719
22	1.21649	1.22738	0.0047729
23	1.21794	1.22697	0.00458298
24	1.24833	1.22786	0.00447759
25	1.25463	1.22893	0.00442467
26	1.23305	1.22909	0.00425733
27	1.22083	1.22878	0.00411062
28	1.20579	1.22796	0.00404499
29	1.22657	1.22791	0.0039058
30	1.23111	1.22802	0.00377706
31	1.23128	1.22813	0.00365668
32	1.21434	1.2277	0.0035677
33	1.22987	1.22776	0.00346019
34	1.22364	1.22764	0.00336054
35	1.23737	1.22792	0.00327599
36	1.22601	1.22786	0.00318542
37	1.24193	1.22824	0.00312192
38	1.25237	1.22888	0.00310363
39	1.27285	1.23001	0.00322234
40	1.25176	1.23055	0.00318732
41	1.24514	1.23091	0.0031294
42	1.22476	1.23076	0.00305831
43	1.25561	1.23134	0.00304127
44	1.30226	1.23295	0.00337238
45	1.26443	1.23365	0.0033692
46	1.24004	1.23379	0.00329882
47	1.2609	1.23437	0.00327868
48	1.26538	1.23501	0.0032734
49	1.23027	1.23491	0.00320803
50	1.23629	1.23494	0.00314398
51	1.26018	1.23544	0.00312104
52	1.27998	1.23629	0.00317639
53	1.26169	1.23677	0.0031524
54	1.27005	1.23739	0.00315368
55	1.26126	1.23782	0.00312606
56	1.28538	1.23867	0.0031835
57	1.26908	1.23921	0.00317202
58	1.27978	1.23991	0.00319353
59	1.23563	1.23983	0.00314022
60	1.22911	1.23965	0.00309297
61	1.24751	1.23978	0.00304494
62	1.24416	1.23985	0.00299665
63	1.20323	1.23927	0.00300494
64	1.19606	1.2386	0.00303289
65	1.20134	1.23802	0.00303993
66	1.18817	1.23727	0.00308628
67	1.20317	1.23676	0.00308189
68	1.23055	1.23667	0.00303792
69	1.23151	1.23659	0.00299482
70	1.26175	1.23695	0.00297351
71	1.26636	1.23737	0.00296034
72	1.26087	1.23769	0.00293717
73	1.2702	1.23814	0.0029305
74	1.28148	1.23872	0.00294886
75	1.24468	1.2388	0.00291061
76	1.2302	1.23869	0.00287452
77	1.22881	1.23856	0.00284005
78	1.24372	1.23863	0.00280441
79	1.24	1.23865	0.00276897
80	1.2393	1.23865	0.00273437
81	1.2536	1.23884	0.00270683
82	1.27517	1.23928	0.00270983
83	1.23274	1.2392	0.00267833
84	1.24137	1.23923	0.00264657
85	1.20753	1.23886	0.00264158
86	1.24073	1.23888	0.00261096
87	1.22546	1.23872	0.0025855
88	1.25267	1.23888	0.00256097
89	1.26795	1.23921	0.00255293
90	1.27654	1.23962	0.00255803
91	1.31309	1.24043	0.00265425
92	1.29241	1.241	0.00268486
93	1.2604	1.2412	0.00266409
94	1.259	1.24139	0.00264247
95	1.24228	1.2414	0.00261467
96	1.20868	1.24106	0.00260956
97	1.21391	1.24078	0.00259762
98	1.20782	1.24045	0.00259281
99	1.23604	1.2404	0.002567
100	1.25204	1.24052	0.00254396
101	1.20516	1.24017	0.00254274
102	1.21051	1.23988	0.00253438
103	1.24013	1.23988	0.00250978
104	1.2077	1.23957	0.00250465
105	1.19364	1.23913	0.0025187
106	1.19014	1.23867	0.00253699
107	1.20736	1.23838	0.0025301
108	1.2453	1.23844	0.00250748
109	1.23555	1.23841	0.00248462
110	1.24035	1.23843	0.00246209
111	1.2518	1.23855	0.00244286
112	1.22808	1.23846	0.00242284
113	1.22882	1.23837	0.0024029
114	1.20771	1.23811	0.00239683
115	1.20137	1.23779	0.00239718
116	1.22932	1.23771	0.00237762
117	1.22313	1.23759	0.00236057
118	1.23507	1.23757	0.00234066
119	1.23044	1.23751	0.00232176
120	1.24331	1.23756	0.00230291
121	1.2552	1.2377	0.00228849
122	1.26744	1.23794	0.00228268
123	1.25558	1.23809	0.00226862
124	1.2724	1.23836	0.00226714
125	1.27692	1.23867	0.00226989
126	1.24413	1.23872	0.00225229
127	1.23752	1.23871	0.00223457
128	1.22814	1.23862	0.00221864
129	1.23956	1.23863	0.00220145
130	1.23273	1.23859	0.00218499
131	1.25645	1.23872	0.00217256
132	1.23859	1.23872	0.0021561
133	1.21169	1.23852	0.00214945
134	1.22945	1.23845	0.00213447
135	1.24336	1.23849	0.00211897
136	1.22041	1.23835	0.00210756
137	1.21053	1.23815	0.00210194
138	1.22905	1.23809	0.00208774
139	1.23738	1.23808	0.00207273
140	1.23998	1.23809	0.00205797
141	1.23684	1.23808	0.00204339
142	1.22925	1.23802	0.00202995
143	1.23179	1.23798	0.00201622
144	1.22586	1.2379	0.00200397
145	1.22268	1.23779	0.0019929
146	1.21951	1.23766	0.00198318
147	1.2187	1.23754	0.00197388
148	1.2372	1.23753	0.00196054
149	1.23479	1.23752	0.00194747
150	1.23881	1.23752	0.00193451
151	1.25019	1.23761	0.00192351
152	1.25274	1.23771	0.00191343
153	1.26866	1.23791	0.00191159
154	1.2428	1.23794	0.00189944
155	1.2324	1.23791	0.00188752
156	1.21367	1.23775	0.00188181
157	1.24691	1.23781	0.00187073
158	1.2597	1.23795	0.00186401
159	1.2912	1.23828	0.00188213
160	1.24406	1.23832	0.00187072
161	1.25172	1.2384	0.00186095
162	1.28327	1.23868	0.00186996
163	1.28099	1.23894	0.00187642
164	1.28789	1.23924	0.00188857
165	1.24971	1.2393	0.00187819
166	1.26096	1.23943	0.0018714
167	1.28922	1.23973	0.00188379
168	1.27528	1.23994	0.00188443
169	1.25407	1.24002	0.00187513
170	1.2929	1.24033	0.00188973
171	1.31878	1.24079	0.00193356
172	1.30739	1.24118	0.0019607
173	1.29552	1.24149	0.00197436
174	1.30017	1.24183	0.00199161
175	1.30647	1.2422	0.00201418
176	1.26504	1.24233	0.00200691
177	1.2497	1.24237	0.00199601
178	1.24419	1.24238	0.00198482
179	1.28115	1.2426	0.00198551
180	1.27636	1.24279	0.00198332
181	1.27268	1.24295	0.00197923
182	1.23496	1.24291	0.00196884
183	1.21423	1.24275	0.00196431
184	1.22104	1.24263	0.00195717
185	1.23955	1.24262	0.00194667
186	1.25363	1.24268	0.0019371
187	1.23296	1.24262	0.00192744
188	1.20583	1.24243	0.0019271
189	1.21594	1.24229	0.00192199
190	1.2283	1.24221	0.00191328
191	1.20343	1.24201	0.00191401
192	1.18154	1.2417	0.00192978
193	1.23783	1.24168	0.00191989
194	1.24247	1.24168	0.00190999
195	1.23164	1.24163	0.00190089
196	1.22484	1.24154	0.00189312
197	1.21018	1.24138	0.0018902
198	1.22724	1.24131	0.001882
199	1.26618	1.24144	0.00187669
200	1.25079	1.24148	0.00186789
201	1.24267	1.24149	0.0018586
202	1.22529	1.24141	0.00185113
203	1.23133	1.24136	0.00184268
204	1.23307	1.24132	0.00183409
205	1.24142	1.24132	0.00182515
206	1.21245	1.24118	0.00182166
207	1.22824	1.24112	0.00181393
208	1.21083	1.24097	0.00181105
209	1.19287	1.24074	0.00181695
210	1.24295	1.24075	0.00180832
211	1.26653	1.24087	0.00180387
212	1.22673	1.24081	0.0017966
213	1.21129	1.24067	0.0017935
214	1.21689	1.24056	0.00178856
215	1.20903	1.24041	0.00178624
216	1.21616	1.2403	0.0017815
217	1.22052	1.24021	0.00177562
218	1.2241	1.24013	0.00176901
219	1.23337	1.2401	0.0017612
220	1.21306	1.23998	0.00175748
221	1.23312	1.23995	0.0017498
222	1.21863	1.23985	0.00174455
223	1.2204	1.23977	0.00173891
224	1.21617	1.23966	0.00173433
225	1.20293	1.2395	0.00173429
226	1.22336	1.23943	0.00172809
227	1.27722	1.23959	0.00172848
228	1.26392	1.2397	0.00172419
229	1.26607	1.23981	0.0017205
230	1.25946	1.2399	0.00171514
231	1.2424	1.23991	0.00170775
232	1.24164	1.23992	0.0017004
233	1.24592	1.23994	0.0016933
234	1.23798	1.23994	0.00168609
235	1.24366	1.23995	0.00167899
236	1.23643	1.23994	0.00167194
237	1.24854	1.23997	0.00166528
238	1.24706	1.24	0.00165855
239	1.20624	1.23986	0.00165761
240	1.22876	1.23982	0.00165135
241	1.22151	1.23974	0.00164624
242	1.21423	1.23963	0.00164281
243	1.22523	1.23957	0.00163712
244	1.22826	1.23953	0.00163107
245	1.23374	1.2395	0.00162458
246	1.2177	1.23942	0.00162039
247	1.23648	1.2394	0.00161388
248	1.21528	1.23931	0.0016103
249	1.22911	1.23927	0.00160435
250	1.26166	1.23936	0.00160043
251	1.21509	1.23926	0.00159697
252	1.2021	1.23911	0.00159743
253	1.23312	1.23909	0.00159129
254	1.23425	1.23907	0.00158514
255	1.21132	1.23896	0.00158265
