BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	1.46394	1.46394	0
2	1.464	1.46397	2.07352e-05
3	1.46389	1.46395	2.50826e-05
4	1.4638	1.46391	3.6098e-05
5	1.46388	1.4639	2.94067e-05
6	1.46386	1.4639	2.5214e-05
7	1.46397	1.46391	2.35974e-05
8	1.46392	1.46391	2.06754e-05
9	1.46385	1.4639	1.93731e-05
10	1.46393	1.4639	1.76497e-05
11	1.46382	1.4639	1.74868e-05
12	1.46378	1.46389	1.86345e-05
13	1.4638	1.46388	1.83135e-05
14	1.46374	1.46387	1.96177e-05
15	1.46386	1.46387	1.83317e-05
16	1.46382	1.46387	1.74509e-05
17	1.46383	1.46386	1.65646e-05
18	1.46377	1.46386	1.64558e-05
19	1.46383	1.46386	1.56526e-05
20	1.46381	1.46386	1.50544e-05
21	1.46376	1.46385	1.50312e-05
22	1.46386	1.46385	1.43567e-05
23	1.46374	1.46385	1.44702e-05
24	1.46382	1.46385	1.3906e-05
25	1.46387	1.46385	1.33962e-05
26	1.46382	1.46385	1.29073e-05
27	1.46382	1.46384	1.24715e-05
28	1.46383	1.46384	1.20447e-05
29	1.46385	1.46384	1.16337e-05
30	1.46389	1.46385	1.133e-05
31	1.46397	1.46385	1.16348e-05
32	1.46382	1.46385	1.13022e-05
33	1.46385	1.46385	1.09602e-05
34	1.46369	1.46384	1.16204e-05
35	1.4637	1.46384	1.19524e-05
36	1.46378	1.46384	1.17305e-05
37	1.46375	1.46384	1.16784e-05
38	1.46368	1.46383	1.20976e-05
39	1.46371	1.46383	1.21734e-05
40	1.46369	1.46383	1.23402e-05
41	1.46375	1.46382	1.21634e-05
42	1.46367	1.46382	1.23935e-05
43	1.46357	1.46381	1.33721e-05
44	1.4637	1.46381	1.33175e-05
45	1.46369	1.46381	1.32925e-05
46	1.4636	1.4638	1.37778e-05
47	1.46367	1.4638	1.37682e-05
48	1.46368	1.4638	1.36958e-05
49	1.46375	1.4638	1.34548e-05
50	1.46368	1.4638	1.3404e-05
51	1.46374	1.46379	1.3179e-05
52	1.4637	1.46379	1.30564e-05
53	1.4638	1.46379	1.28119e-05
54	1.46379	1.46379	1.25747e-05
55	1.4639	1.46379	1.2493e-05
56	1.46392	1.4638	1.24829e-05
57	1.46379	1.4638	1.22641e-05
58	1.46387	1.4638	1.21239e-05
59	1.46383	1.4638	1.19301e-05
60	1.46376	1.4638	1.17458e-05
61	1.46376	1.4638	1.15711e-05
62	1.46377	1.4638	1.1396e-05
63	1.46375	1.4638	1.1236e-05
64	1.46365	1.46379	1.12853e-05
65	1.46383	1.46379	1.11267e-05
66	1.46381	1.4638	1.09617e-05
67	1.46372	1.46379	1.08538e-05
68	1.4638	1.46379	1.06945e-05
69	1.46375	1.46379	1.05571e-05
70	1.46379	1.46379	1.04064e-05
71	1.46384	1.46379	1.02818e-05
72	1.46376	1.46379	1.01504e-05
73	1.46361	1.46379	1.03184e-05
74	1.46369	1.46379	1.02613e-05
75	1.46374	1.46379	1.01428e-05
76	1.46379	1.46379	1.00093e-05
77	1.46369	1.46379	9.96697e-06
78	1.46372	1.46379	9.87475e-06
79	1.46398	1.46379	1.00501e-05
80	1.46394	1.46379	1.01002e-05
81	1.46383	1.46379	9.9845e-06
82	1.46393	1.46379	9.99732e-06
83	1.46374	1.46379	9.89411e-06
84	1.46378	1.46379	9.77691e-06
85	1.46371	1.46379	9.70776e-06
86	1.46374	1.46379	9.61552e-06
87	1.46375	1.46379	9.5145e-06
88	1.4637	1.46379	9.457e-06
89	1.46377	1.46379	9.35255e-06
90	1.46365	1.46379	9.37504e-06
91	1.4636	1.46379	9.5016e-06
92	1.46381	1.46379	9.40339e-06
93	1.46375	1.46379	9.31203e-06
94	1.46387	1.46379	9.25249e-06
95	1.46395	1.46379	9.31848e-06
96	1.46385	1.46379	9.2459e-06
97	1.46383	1.46379	9.16246e-06
98	1.46387	1.46379	9.10335e-06
99	1.46385	1.46379	9.02902e-06
100	1.46408	1.46379	9.37558e-06
101	1.46394	1.4638	9.39526e-06
102	1.46388	1.4638	9.34138e-06
103	1.46388	1.4638	9.28876e-06
104	1.46392	1.4638	9.26975e-06
105	1.46385	1.4638	9.19537e-06
106	1.46376	1.4638	9.11775e-06
107	1.4638	1.4638	9.03254e-06
108	1.46362	1.4638	9.10034e-06
109	1.46372	1.4638	9.04187e-06
110	1.46362	1.46379	9.09653e-06
111	1.46376	1.46379	9.01941e-06
112	1.46386	1.46379	8.95907e-06
113	1.46379	1.46379	8.87982e-06
114	1.46388	1.4638	8.83529e-06
115	1.46381	1.4638	8.75961e-06
116	1.46385	1.4638	8.69605e-06
117	1.46383	1.4638	8.62605e-06
118	1.46378	1.4638	8.55435e-06
119	1.46371	1.4638	8.51576e-06
120	1.46369	1.46379	8.48726e-06
121	1.46365	1.46379	8.50375e-06
122	1.46365	1.46379	8.51954e-06
123	1.46363	1.46379	8.55694e-06
124	1.46335	1.46379	9.18611e-06
125	1.46361	1.46379	9.22488e-06
126	1.46365	1.46378	9.21354e-06
127	1.46367	1.46378	9.18706e-06
128	1.46374	1.46378	9.12287e-06
129	1.46377	1.46378	9.05241e-06
130	1.46379	1.46378	8.9831e-06
131	1.46382	1.46378	8.91985e-06
132	1.46394	1.46378	8.93035e-06
133	1.46384	1.46379	8.87309e-06
134	1.46385	1.46379	8.81964e-06
135	1.46392	1.46379	8.81202e-06
136	1.46384	1.46379	8.75515e-06
137	1.46373	1.46379	8.70167e-06
138	1.46375	1.46379	8.64247e-06
139	1.46369	1.46379	8.60738e-06
140	1.46379	1.46379	8.54591e-06
141	1.46382	1.46379	8.48914e-06
142	1.46389	1.46379	8.46106e-06
143	1.46389	1.46379	8.43492e-06
144	1.46389	1.46379	8.4062e-06
145	1.4638	1.46379	8.34852e-06
146	1.46382	1.46379	8.29338e-06
147	1.4637	1.46379	8.26013e-06
148	1.46379	1.46379	8.20432e-06
149	1.46375	1.46379	8.15233e-06
150	1.46369	1.46379	8.12518e-06
151	1.46371	1.46379	8.08877e-06
152	1.46371	1.46379	8.04945e-06
153	1.46378	1.46379	7.99711e-06
154	1.46382	1.46379	7.94886e-06
155	1.46377	1.46379	7.89844e-06
156	1.46377	1.46379	7.84825e-06
157	1.46368	1.46379	7.82518e-06
