BLOCK:	DISTANCE:	ACTUAL_G:	AVE_GOFR:	ERROR:
1	0.0128248	0	0	0
1	0.0384745	0	0	0
1	0.0641241	0	0	0
1	0.0897737	0	0	0
1	0.115423	0	0	0
1	0.141073	0	0	0
1	0.166723	0	0	0
1	0.192372	0	0	0
1	0.218022	0	0	0
1	0.243672	0	0	0
1	0.269321	0	0	0
1	0.294971	0	0	0
1	0.32062	0	0	0
1	0.34627	0	0	0
1	0.37192	0	0	0
1	0.397569	0	0	0
1	0.423219	0	0	0
1	0.448869	0	0	0
1	0.474518	0	0	0
1	0.500168	0	0	0
1	0.525818	0	0	0
1	0.551467	0	0	0
1	0.577117	0	0	0
1	0.602767	0	0	0
1	0.628416	0	0	0
1	0.654066	0	0	0
1	0.679715	0	0	0
1	0.705365	0	0	0
1	0.731015	0	0	0
1	0.756664	0	0	0
1	0.782314	0	0	0
1	0.807964	0	0	0
1	0.833613	0	0	0
1	0.859263	0	0	0
1	0.884913	0	0	0
1	0.910562	0.000181765	0.000181765	0
1	0.936212	0.00216312	0.00216312	0
1	0.961861	0.00680617	0.00680617	0
1	0.987511	0.01383	0.01383	0
1	1.01316	0.0223778	0.0223778	0
1	1.03881	0.0276781	0.0276781	0
1	1.06446	0.0306649	0.0306649	0
1	1.09011	0.0292571	0.0292571	0
1	1.11576	0.0297629	0.0297629	0
1	1.14141	0.0252431	0.0252431	0
1	1.16706	0.0217215	0.0217215	0
1	1.19271	0.0209902	0.0209902	0
1	1.21836	0.0197949	0.0197949	0
1	1.24401	0.0183344	0.0183344	0
1	1.26966	0.0171655	0.0171655	0
1	1.29531	0.0149492	0.0149492	0
1	1.32096	0.013532	0.013532	0
1	1.34661	0.0127937	0.0127937	0
1	1.37226	0.0109318	0.0109318	0
1	1.39791	0.0102278	0.0102278	0
1	1.42355	0.0115243	0.0115243	0
1	1.4492	0.0112757	0.0112757	0
1	1.47485	0.0102509	0.0102509	0
1	1.5005	0.0109574	0.0109574	0
1	1.52615	0.0102175	0.0102175	0
1	1.5518	0.0106869	0.0106869	0
1	1.57745	0.0100847	0.0100847	0
1	1.6031	0.00997118	0.00997118	0
1	1.62875	0.00935722	0.00935722	0
1	1.6544	0.00979046	0.00979046	0
1	1.68005	0.0105329	0.0105329	0
1	1.7057	0.0109492	0.0109492	0
1	1.73135	0.0121292	0.0121292	0
1	1.757	0.0121826	0.0121826	0
1	1.78265	0.0136288	0.0136288	0
1	1.8083	0.0141948	0.0141948	0
1	1.83395	0.0147549	0.0147549	0
1	1.8596	0.0144616	0.0144616	0
1	1.88525	0.0163598	0.0163598	0
1	1.9109	0.0169765	0.0169765	0
1	1.93655	0.0183213	0.0183213	0
1	1.9622	0.0186776	0.0186776	0
1	1.98785	0.0187371	0.0187371	0
1	2.0135	0.0199286	0.0199286	0
1	2.03915	0.0202007	0.0202007	0
1	2.0648	0.0209189	0.0209189	0
1	2.09045	0.0203378	0.0203378	0
1	2.1161	0.0197341	0.0197341	0
1	2.14174	0.0190766	0.0190766	0
1	2.16739	0.0187835	0.0187835	0
1	2.19304	0.0188924	0.0188924	0
1	2.21869	0.0199151	0.0199151	0
1	2.24434	0.0193721	0.0193721	0
1	2.26999	0.0186043	0.0186043	0
1	2.29564	0.0185038	0.0185038	0
1	2.32129	0.0180516	0.0180516	0
1	2.34694	0.0177235	0.0177235	0
1	2.37259	0.0164468	0.0164468	0
1	2.39824	0.0166749	0.0166749	0
1	2.42389	0.0164181	0.0164181	0
1	2.44954	0.0159405	0.0159405	0
1	2.47519	0.0161402	0.0161402	0
1	2.50084	0.0156322	0.0156322	0
1	2.52649	0.015945	0.015945	0
1	2.55214	0.0158496	0.0158496	0
2	0.0128248	0	0	0
2	0.0384745	0	0	0
2	0.0641241	0	0	0
2	0.0897737	0	0	0
2	0.115423	0	0	0
2	0.141073	0	0	0
2	0.166723	0	0	0
2	0.192372	0	0	0
2	0.218022	0	0	0
2	0.243672	0	0	0
2	0.269321	0	0	0
2	0.294971	0	0	0
2	0.32062	0	0	0
2	0.34627	0	0	0
2	0.37192	0	0	0
2	0.397569	0	0	0
2	0.423219	0	0	0
2	0.448869	0	0	0
2	0.474518	0	0	0
2	0.500168	0	0	0
2	0.525818	0	0	0
2	0.551467	0	0	0
2	0.577117	0	0	0
2	0.602767	0	0	0
2	0.628416	0	0	0
2	0.654066	0	0	0
2	0.679715	0	0	0
2	0.705365	0	0	0
2	0.731015	0	0	0
2	0.756664	0	0	0
2	0.782314	0	0	0
2	0.807964	0	0	0
2	0.833613	0	0	0
2	0.859263	0	0	0
2	0.884913	0	0	0
2	0.910562	0.000346349	0.000264057	5.8189e-05
2	0.936212	0.0018435	0.00200331	0.000113003
2	0.961861	0.0059303	0.00636823	0.000309668
2	0.987511	0.0129416	0.0133858	0.000314094
2	1.01316	0.0212715	0.0218246	0.000391152
2	1.03881	0.0259536	0.0268158	0.000609697
2	1.06446	0.0305991	0.030632	2.32699e-05
2	1.09011	0.0304206	0.0298388	0.000411356
2	1.11576	0.0297011	0.029732	2.18503e-05
2	1.14141	0.0276342	0.0264387	0.000845389
2	1.16706	0.0255509	0.0236362	0.0013539
2	1.19271	0.0227528	0.0218715	0.000623174
2	1.21836	0.0194877	0.0196413	0.000108611
2	1.24401	0.016651	0.0174927	0.000595173
2	1.26966	0.0148642	0.0160149	0.000813628
2	1.29531	0.0146775	0.0148133	9.60754e-05
2	1.32096	0.0140743	0.0138031	0.000191729
2	1.34661	0.0126408	0.0127172	5.40507e-05
2	1.37226	0.0108969	0.0109144	1.23235e-05
2	1.39791	0.0104223	0.010325	6.87647e-05
2	1.42355	0.00978252	0.0106534	0.000615827
2	1.4492	0.00940956	0.0103426	0.000659783
2	1.47485	0.00964292	0.00994689	0.000214943
2	1.5005	0.0109921	0.0109747	1.22692e-05
2	1.52615	0.0110925	0.010655	0.000309355
2	1.5518	0.0101517	0.0104193	0.000189203
2	1.57745	0.0105243	0.0103045	0.000155399
2	1.6031	0.010943	0.0104571	0.000343583
2	1.62875	0.0126201	0.0109887	0.0011536
2	1.6544	0.011639	0.0107147	0.000653546
2	1.68005	0.0107502	0.0106416	7.68412e-05
2	1.7057	0.0109642	0.0109567	5.32515e-06
2	1.73135	0.0107745	0.0114519	0.000478968
2	1.757	0.011803	0.0119928	0.000134206
2	1.78265	0.0117112	0.01267	0.000677961
2	1.8083	0.0131396	0.0136672	0.000373056
2	1.83395	0.0146579	0.0147064	3.4284e-05
2	1.8596	0.0155503	0.0150059	0.00038489
2	1.88525	0.0161902	0.016275	5.99763e-05
2	1.9109	0.0166134	0.016795	0.000128377
