BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.69268	1.69268	0
2	1.66591	1.67929	0.00946345
3	1.69118	1.68326	0.00708979
4	1.64353	1.67332	0.0101118
5	1.65216	1.66909	0.00893183
6	1.64161	1.66451	0.00853741
7	1.68334	1.6672	0.00772976
8	1.59207	1.65781	0.0110864
9	1.69457	1.66189	0.0105805
10	1.65488	1.66119	0.00954561
11	1.68053	1.66295	0.00883822
12	1.71157	1.667	0.0089825
13	1.66919	1.66717	0.00829311
14	1.64395	1.66551	0.00786485
15	1.65665	1.66492	0.00736266
16	1.64789	1.66386	0.00697898
17	1.64266	1.66261	0.0066789
18	1.6813	1.66365	0.00638801
19	1.65532	1.66321	0.00606681
20	1.67874	1.66399	0.00581292
21	1.66084	1.66384	0.00553805
22	1.67581	1.66438	0.005313
23	1.6906	1.66552	0.00520289
24	1.67769	1.66603	0.00501073
25	1.67935	1.66656	0.00483854
26	1.68272	1.66718	0.00469218
27	1.65661	1.66679	0.00453471
28	1.63023	1.66548	0.00455684
29	1.67011	1.66564	0.0044025
30	1.63106	1.66449	0.00440405
31	1.62066	1.66308	0.00448324
32	1.62623	1.66193	0.00448856
33	1.69562	1.66295	0.00446715
34	1.67302	1.66324	0.00434559
35	1.67626	1.66362	0.0042373
36	1.69995	1.66462	0.0042381
37	1.67393	1.66488	0.00413102
38	1.66227	1.66481	0.00402288
39	1.64824	1.66438	0.00394208
40	1.66843	1.66448	0.00384483
41	1.66696	1.66454	0.00375152
42	1.67617	1.66482	0.0036724
43	1.69688	1.66557	0.0036619
44	1.64097	1.66501	0.0036211
45	1.67814	1.6653	0.00355237
46	1.65115	1.66499	0.00348845
47	1.63011	1.66425	0.00349228
48	1.67298	1.66443	0.00342425
49	1.67688	1.66469	0.00336378
50	1.69012	1.66519	0.00333476
51	1.66774	1.66524	0.00326974
52	1.65176	1.66499	0.00321713
53	1.66741	1.66503	0.00315675
54	1.66426	1.66502	0.00309832
55	1.6886	1.66545	0.00307152
56	1.65286	1.66522	0.00302488
57	1.67219	1.66534	0.00297428
58	1.63174	1.66476	0.00297888
59	1.71569	1.66563	0.00305087
60	1.67957	1.66586	0.00300885
61	1.67404	1.66599	0.00296251
62	1.65249	1.66578	0.00292272
63	1.6725	1.66588	0.00287827
64	1.69362	1.66632	0.00286575
65	1.65794	1.66619	0.00282456
66	1.69276	1.66659	0.00281031
67	1.68334	1.66684	0.00277946
68	1.63535	1.66638	0.0027769
69	1.61046	1.66557	0.00285247
70	1.62927	1.66505	0.00285845
71	1.67615	1.6652	0.00282247
72	1.69808	1.66566	0.00281995
73	1.61803	1.66501	0.00285582
74	1.65702	1.6649	0.00281926
75	1.64239	1.6646	0.0027976
76	1.67074	1.66468	0.00276196
77	1.70469	1.6652	0.00277454
78	1.6822	1.66542	0.00274751
79	1.6563	1.6653	0.00271516
80	1.66251	1.66527	0.00268145
81	1.65333	1.66512	0.00265239
82	1.65614	1.66501	0.0026223
83	1.6263	1.66454	0.00263185
84	1.63912	1.66424	0.00261787
85	1.63816	1.66393	0.00260499
86	1.65876	1.66387	0.0025754
87	1.6459	1.66367	0.00255407
88	1.66383	1.66367	0.00252505
89	1.62898	1.66328	0.00252658
90	1.68317	1.6635	0.00250815
91	1.61669	1.66299	0.00253279
92	1.66571	1.66302	0.00250543
93	1.64653	1.66284	0.00248476
94	1.67382	1.66296	0.00246106
95	1.68333	1.66317	0.00244449
96	1.6755	1.6633	0.00242239
97	1.66976	1.66337	0.00239834
98	1.68385	1.66357	0.00238296
99	1.67964	1.66374	0.00236441
100	1.66545	1.66375	0.00234083
101	1.68602	1.66397	0.00232801
