BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-5.41146	-5.41146	0
2	-5.47099	-5.44123	0.0210458
3	-5.35757	-5.41334	0.0267452
4	-5.43628	-5.41908	0.0206648
5	-5.39345	-5.41395	0.0171554
6	-5.40994	-5.41328	0.0143092
7	-5.44071	-5.4172	0.01279
8	-5.44512	-5.42069	0.0116575
9	-5.46734	-5.42587	0.0114567
10	-5.47183	-5.43047	0.011195
11	-5.49133	-5.436	0.0114633
12	-5.49175	-5.44065	0.0114105
13	-5.45177	-5.4415	0.0105648
14	-5.47864	-5.44416	0.0101377
15	-5.47019	-5.44589	0.0096093
16	-5.46294	-5.44696	0.00906758
17	-5.44073	-5.44659	0.00854158
18	-5.46997	-5.44789	0.0081652
19	-5.43042	-5.44697	0.00778705
20	-5.47147	-5.4482	0.00749344
21	-5.48435	-5.44992	0.00733169
22	-5.41907	-5.44851	0.00713124
23	-5.40786	-5.44675	0.00703679
24	-5.44392	-5.44663	0.00674458
25	-5.43182	-5.44604	0.00650076
26	-5.44693	-5.44607	0.00625082
27	-5.41875	-5.44506	0.00610066
28	-5.45262	-5.44533	0.00588875
29	-5.41611	-5.44432	0.00577122
30	-5.4041	-5.44298	0.00573249
31	-5.4237	-5.44236	0.0055812
32	-5.41663	-5.44155	0.00546442
33	-5.50471	-5.44347	0.00562398
34	-5.43629	-5.44326	0.00546254
35	-5.43476	-5.44301	0.00531186
36	-5.40692	-5.44201	0.00525806
37	-5.48478	-5.44317	0.00524144
38	-5.47963	-5.44413	0.00519061
39	-5.47985	-5.44504	0.00513768
40	-5.46179	-5.44546	0.00502626
41	-5.45619	-5.44572	0.00491047
42	-5.49236	-5.44683	0.00491752
43	-5.42709	-5.44637	0.00482455
44	-5.45265	-5.44652	0.00471701
45	-5.37094	-5.44484	0.00490209
46	-5.50252	-5.44609	0.00495332
47	-5.41512	-5.44543	0.00489156
48	-5.41331	-5.44476	0.00483522
49	-5.43882	-5.44464	0.00473807
50	-5.44385	-5.44463	0.00464333
51	-5.40221	-5.44379	0.00462616
52	-5.45011	-5.44392	0.00453879
53	-5.39442	-5.44298	0.00454821
54	-5.47091	-5.4435	0.00449329
55	-5.48843	-5.44432	0.00448524
56	-5.43537	-5.44416	0.00440799
57	-5.45884	-5.44441	0.00433817
58	-5.45876	-5.44466	0.00427042
59	-5.44231	-5.44462	0.00419823
60	-5.45719	-5.44483	0.00413348
61	-5.41605	-5.44436	0.00409256
62	-5.44481	-5.44437	0.00402655
63	-5.43846	-5.44427	0.00396373
64	-5.43401	-5.44411	0.00390504
65	-5.44368	-5.44411	0.00384497
66	-5.48711	-5.44476	0.00384152
67	-5.43502	-5.44461	0.00378693
68	-5.4101	-5.4441	0.0037651
69	-5.38519	-5.44325	0.00380611
70	-5.35793	-5.44203	0.00394208
71	-5.44933	-5.44213	0.00388789
72	-5.47302	-5.44256	0.00385749
73	-5.3379	-5.44113	0.00406235
74	-5.37971	-5.4403	0.00409137
75	-5.42181	-5.44005	0.00404424
76	-5.40041	-5.43953	0.00402452
77	-5.41584	-5.43922	0.003984
78	-5.4542	-5.43942	0.00393755
79	-5.42447	-5.43923	0.00389225
80	-5.40901	-5.43885	0.00386189
81	-5.37441	-5.43805	0.00389528
82	-5.44401	-5.43813	0.00384846
83	-5.46596	-5.43846	0.00381667
84	-5.3916	-5.4379	0.00381178
85	-5.39081	-5.43735	0.00380699
86	-5.44082	-5.43739	0.00376294
87	-5.43777	-5.43739	0.00371969
88	-5.47423	-5.43781	0.0037009
89	-5.47477	-5.43823	0.00368254
90	-5.4201	-5.43803	0.00364713
91	-5.41652	-5.43779	0.0036147
92	-5.42332	-5.43763	0.00357883
93	-5.43333	-5.43759	0.00354065
94	-5.42025	-5.4374	0.00350778
95	-5.46741	-5.43772	0.00348505
96	-5.40282	-5.43735	0.00346766
97	-5.43009	-5.43728	0.00343272
98	-5.39429	-5.43684	0.0034256
99	-5.42238	-5.4367	0.00339411
100	-5.45706	-5.4369	0.00336627
101	-5.46031	-5.43713	0.00334092
102	-5.40529	-5.43682	0.00332272
103	-5.38931	-5.43636	0.00332232
104	-5.37755	-5.43579	0.00333815
105	-5.47854	-5.4362	0.00333109
