BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.884667	0.884667	0
2	0.914277	0.899472	0.0104689
3	0.859668	0.886204	0.0128868
4	0.897142	0.888939	0.00995103
5	0.875003	0.886152	0.00834202
6	0.882596	0.885559	0.0069727
7	0.899414	0.887538	0.00625121
8	0.902238	0.889376	0.00573349
9	0.91013	0.891682	0.00554081
10	0.913159	0.89383	0.00538694
11	0.923118	0.896492	0.00551612
12	0.922782	0.898683	0.00547424
13	0.903734	0.899071	0.00506691
14	0.917081	0.900358	0.00486554
15	0.910886	0.90106	0.00459152
16	0.908659	0.901535	0.00432905
17	0.897536	0.9013	0.00408078
18	0.91203	0.901896	0.00389737
19	0.891801	0.901364	0.00372828
20	0.914667	0.902029	0.00360071
21	0.91945	0.902859	0.00352351
22	0.88992	0.902271	0.00341208
23	0.88351	0.901455	0.00335981
24	0.899231	0.901362	0.0032211
25	0.894652	0.901094	0.00310342
26	0.901832	0.901122	0.00298419
27	0.887952	0.900635	0.00291326
28	0.903741	0.900746	0.00281132
29	0.8861	0.900241	0.00275937
30	0.878964	0.899531	0.00275703
31	0.889696	0.899214	0.00268628
32	0.888418	0.898877	0.00262344
33	0.930009	0.89982	0.00270826
34	0.896081	0.89971	0.00263083
35	0.895671	0.899595	0.0025582
36	0.882477	0.899119	0.00253094
37	0.921122	0.899714	0.00253144
38	0.915737	0.900136	0.00249969
39	0.914368	0.9005	0.00246209
40	0.907696	0.90068	0.00240711
41	0.907352	0.900843	0.00235389
42	0.924596	0.901409	0.00236481
43	0.891811	0.901185	0.00232032
44	0.905444	0.901282	0.0022696
45	0.864581	0.900467	0.00236116
46	0.928662	0.90108	0.00238806
47	0.885592	0.90075	0.00235988
48	0.883957	0.9004	0.00233651
49	0.896713	0.900325	0.00229003
50	0.898825	0.900295	0.00224443
51	0.879321	0.899884	0.00223778
52	0.901801	0.899921	0.00219505
53	0.873588	0.899424	0.00220915
54	0.911709	0.899651	0.00217992
