BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.08822	1.08822	0
2	1.1289	1.10856	0.014383
3	1.05486	1.09066	0.01748
4	1.10578	1.09444	0.0135122
5	1.07551	1.09065	0.0113276
6	1.08751	1.09013	0.00945176
7	1.10875	1.09279	0.00846763
8	1.11226	1.09523	0.00775113
9	1.12505	1.09854	0.00756518
10	1.12861	1.10155	0.00738197
11	1.1417	1.1052	0.00755979
12	1.14154	1.10822	0.00751187
13	1.1152	1.10876	0.00695319
14	1.13284	1.11048	0.00666576
15	1.12551	1.11148	0.00629625
16	1.12214	1.11215	0.00593783
17	1.10688	1.11184	0.00559664
18	1.12771	1.11272	0.00535473
19	1.10047	1.11208	0.0051116
20	1.12794	1.11287	0.00491719
21	1.13794	1.11406	0.00482583
22	1.09593	1.11324	0.00467631
23	1.08818	1.11215	0.00459814
24	1.11058	1.11208	0.00440702
25	1.10291	1.11172	0.00424597
26	1.11218	1.11173	0.0040827
27	1.0927	1.11103	0.00399191
28	1.11552	1.11119	0.00385257
29	1.09154	1.11051	0.00377883
30	1.08228	1.10957	0.00376821
31	1.09662	1.10915	0.00366976
32	1.09483	1.10871	0.00358227
33	1.15054	1.10997	0.00369123
34	1.10531	1.10984	0.00358521
35	1.10431	1.10968	0.00348625
36	1.08481	1.10899	0.00345717
37	1.13799	1.10977	0.00345143
38	1.13228	1.11036	0.00341107
39	1.13132	1.1109	0.00336567
40	1.12057	1.11114	0.00329021
41	1.11799	1.11131	0.00321419
42	1.14343	1.11208	0.00322737
43	1.09895	1.11177	0.00316672
44	1.11664	1.11188	0.00309668
45	1.06181	1.11077	0.00322157
46	1.14863	1.11159	0.00325495
47	1.09168	1.11117	0.00321314
48	1.08937	1.11071	0.00317811
49	1.10656	1.11063	0.00311438
50	1.10982	1.11061	0.00305214
51	1.0826	1.11006	0.00304132
52	1.11381	1.11014	0.00298369
53	1.07537	1.10948	0.00299864
54	1.1268	1.1098	0.00296021
55	1.13965	1.11034	0.00295571
56	1.10493	1.11025	0.00290451
57	1.11927	1.1104	0.00285786
58	1.11957	1.11056	0.00281296
59	1.10962	1.11055	0.00276532
60	1.11756	1.11066	0.00272171
61	1.09114	1.11034	0.00269585
62	1.11028	1.11034	0.00265236
63	1.10744	1.1103	0.00261066
64	1.10299	1.11018	0.00257236
65	1.10906	1.11016	0.00253285
66	1.13784	1.11058	0.00252894
67	1.10286	1.11047	0.00249382
68	1.08837	1.11014	0.00247823
69	1.07225	1.10959	0.00250243
70	1.05409	1.1088	0.00258927
71	1.11386	1.10887	0.00255378
