BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-3.77676	-3.77676	0
2	-3.77759	-3.77718	0.000294783
3	-3.77765	-3.77733	0.00023591
4	-3.7771	-3.77728	0.000184218
5	-3.77671	-3.77716	0.00017863
6	-3.77591	-3.77695	0.000241541
7	-3.77578	-3.77679	0.000258789
8	-3.77566	-3.77665	0.00026212
9	-3.77648	-3.77663	0.000233647
10	-3.77757	-3.77672	0.000228599
11	-3.77843	-3.77688	0.00025524
12	-3.77818	-3.77699	0.000256176
13	-3.77683	-3.77697	0.000236734
14	-3.77767	-3.77702	0.000224985
15	-3.77574	-3.77694	0.000225657
16	-3.77521	-3.77683	0.000236018
17	-3.77932	-3.77698	0.000263742
18	-3.77822	-3.77705	0.000258015
19	-3.77612	-3.777	0.000248965
20	-3.77813	-3.77705	0.000242907
21	-3.77757	-3.77708	0.000232569
22	-3.77581	-3.77702	0.000229088
23	-3.77996	-3.77715	0.000252244
24	-3.77713	-3.77715	0.000241735
25	-3.77766	-3.77717	0.000232932
26	-3.77933	-3.77725	0.000238303
27	-3.77748	-3.77726	0.000229622
28	-3.77852	-3.77731	0.000225813
29	-3.77928	-3.77737	0.000228047
30	-3.77656	-3.77735	0.000222069
31	-3.77679	-3.77733	0.000215623
32	-3.77612	-3.77729	0.000212187
33	-3.77914	-3.77735	0.000213014
34	-3.77916	-3.7774	0.000213317
35	-3.77614	-3.77736	0.000210234
36	-3.77905	-3.77741	0.000209519
37	-3.77698	-3.7774	0.000204181
38	-3.77701	-3.77739	0.000199069
39	-3.77614	-3.77736	0.000196538
40	-3.77871	-3.77739	0.00019451
41	-3.7781	-3.77741	0.000190539
42	-3.77743	-3.77741	0.000186003
43	-3.77851	-3.77743	0.000183437
44	-3.77409	-3.77736	0.000194401
45	-3.77811	-3.77737	0.000190804
46	-3.77827	-3.77739	0.000187643
47	-3.77694	-3.77738	0.000183894
48	-3.77745	-3.77739	0.000180069
49	-3.77624	-3.77736	0.000177899
50	-3.77711	-3.77736	0.000174411
51	-3.77758	-3.77736	0.000171048
52	-3.77882	-3.77739	0.000170046
53	-3.77936	-3.77743	0.000170842
54	-3.77651	-3.77741	0.000168522
55	-3.78046	-3.77747	0.000174372
56	-3.77737	-3.77746	0.000171267
57	-3.77729	-3.77746	0.00016829
58	-3.77638	-3.77744	0.000166421
59	-3.77838	-3.77746	0.000164357
60	-3.77747	-3.77746	0.000161618
61	-3.77748	-3.77746	0.000158969
62	-3.77638	-3.77744	0.000157359
63	-3.77774	-3.77745	0.000154931
64	-3.77687	-3.77744	0.000152767
65	-3.77838	-3.77745	0.000151111
66	-3.77636	-3.77743	0.000149722
67	-3.77972	-3.77747	0.000151326
68	-3.77571	-3.77744	0.000151285
69	-3.77597	-3.77742	0.000150601
70	-3.77645	-3.77741	0.000149086
71	-3.77537	-3.77738	0.000149736
72	-3.77754	-3.77738	0.000147672
73	-3.77895	-3.7774	0.000147204
74	-3.77787	-3.77741	0.000145352
75	-3.77585	-3.77739	0.000144888
76	-3.77663	-3.77738	0.000143328
77	-3.77507	-3.77735	0.00014456
78	-3.77652	-3.77734	0.000143093
79	-3.77609	-3.77732	0.000142151
80	-3.77707	-3.77732	0.00014041
81	-3.77724	-3.77732	0.00013868
82	-3.7759	-3.7773	0.000138065
83	-3.77725	-3.7773	0.000136403
84	-3.77467	-3.77727	0.000138338
85	-3.77506	-3.77724	0.000139139
86	-3.7772	-3.77724	0.000137522
87	-3.77482	-3.77721	0.000138729
88	-3.77854	-3.77723	0.000137971
89	-3.77939	-3.77725	0.000138547
90	-3.77836	-3.77727	0.000137548
91	-3.77885	-3.77728	0.000137134
92	-3.77712	-3.77728	0.000135655
93	-3.77635	-3.77727	0.000134566
94	-3.77817	-3.77728	0.000133476
95	-3.7763	-3.77727	0.000132471
96	-3.78012	-3.7773	0.000134366
97	-3.77865	-3.77731	0.000133695
98	-3.77637	-3.7773	0.000132679
99	-3.77849	-3.77732	0.000131881
100	-3.77731	-3.77732	0.000130562
101	-3.77817	-3.77732	0.000129543
102	-3.77935	-3.77734	0.000129793
103	-3.77696	-3.77734	0.000128587
104	-3.77724	-3.77734	0.000127354
105	-3.776	-3.77733	0.000126784
106	-3.77837	-3.77734	0.000125968
107	-3.77866	-3.77735	0.000125399
108	-3.77748	-3.77735	0.000124244
109	-3.77615	-3.77734	0.000123595
110	-3.77745	-3.77734	0.000122476
111	-3.77792	-3.77735	0.000121484
112	-3.77877	-3.77736	0.000121065
113	-3.77815	-3.77737	0.000120199
114	-3.77756	-3.77737	0.000119157
115	-3.77898	-3.77738	0.000118943
116	-3.77728	-3.77738	0.000117921
117	-3.77771	-3.77738	0.000116946
118	-3.7755	-3.77737	0.000117037
119	-3.77565	-3.77735	0.000116943
120	-3.77689	-3.77735	0.000116033
121	-3.77737	-3.77735	0.000115074
122	-3.77943	-3.77737	0.000115391
123	-3.77694	-3.77736	0.000114503
124	-3.7802	-3.77739	0.000115843
125	-3.77737	-3.77739	0.000114916
126	-3.77749	-3.77739	0.000114007
127	-3.77781	-3.77739	0.000113158
128	-3.77649	-3.77738	0.00011249
129	-3.77817	-3.77739	0.000111782
130	-3.77691	-3.77739	0.000110981
131	-3.77708	-3.77738	0.000110159
132	-3.77767	-3.77739	0.000109346
133	-3.77681	-3.77738	0.00010861
134	-3.77804	-3.77739	0.000107912
135	-3.77842	-3.77739	0.000107384
136	-3.77855	-3.7774	0.000106929
137	-3.77956	-3.77742	0.000107298
138	-3.77724	-3.77742	0.000106529
139	-3.77875	-3.77743	0.000106193
140	-3.77809	-3.77743	0.000105541
141	-3.77557	-3.77742	0.000105615
142	-3.77773	-3.77742	0.000104894
143	-3.77724	-3.77742	0.000104168
144	-3.77941	-3.77743	0.000104358
145	-3.77434	-3.77741	0.000105792
146	-3.77726	-3.77741	0.000105072
147	-3.7758	-3.7774	0.000104923
148	-3.7766	-3.77739	0.000104355
149	-3.77571	-3.77738	0.000104264
150	-3.77491	-3.77737	0.000104867
151	-3.77617	-3.77736	0.000104473
152	-3.77507	-3.77734	0.000104866
153	-3.77709	-3.77734	0.000104194
154	-3.77859	-3.77735	0.000103831
155	-3.77842	-3.77736	0.000103389
156	-3.77976	-3.77737	0.00010387
157	-3.77807	-3.77738	0.000103303
158	-3.77849	-3.77738	0.000102888
159	-3.77759	-3.77738	0.000102249
160	-3.77621	-3.77738	0.000101873
161	-3.77735	-3.77738	0.000101241
162	-3.7766	-3.77737	0.00010073
163	-3.77854	-3.77738	0.000100368
164	-3.77656	-3.77737	9.98796e-05
165	-3.7778	-3.77738	9.93072e-05
166	-3.77778	-3.77738	9.87384e-05
167	-3.77843	-3.77739	9.83487e-05
168	-3.77825	-3.77739	9.78993e-05
169	-3.77966	-3.7774	9.82389e-05
170	-3.77975	-3.77742	9.86261e-05
171	-3.77847	-3.77742	9.82404e-05
172	-3.77547	-3.77741	9.83255e-05
173	-3.77606	-3.7774	9.80671e-05
174	-3.77526	-3.77739	9.82716e-05
175	-3.77375	-3.77737	9.98936e-05
176	-3.77456	-3.77736	0.000100597
177	-3.77859	-3.77736	0.00010027
178	-3.77594	-3.77735	0.000100023
179	-3.77806	-3.77736	9.95423e-05
180	-3.77659	-3.77735	9.90813e-05
181	-3.77736	-3.77735	9.85339e-05
182	-3.77788	-3.77736	9.80343e-05
183	-3.77664	-3.77735	9.75762e-05
184	-3.77985	-3.77737	9.79814e-05
185	-3.77787	-3.77737	9.74894e-05
186	-3.77885	-3.77738	9.72899e-05
187	-3.77671	-3.77737	9.6836e-05
188	-3.77531	-3.77736	9.6939e-05
189	-3.77851	-3.77737	9.66144e-05
190	-3.77857	-3.77738	9.63123e-05
191	-3.77699	-3.77737	9.58294e-05
192	-3.77782	-3.77738	9.53591e-05
193	-3.77677	-3.77737	9.4916e-05
194	-3.77935	-3.77738	9.49729e-05
195	-3.78029	-3.7774	9.56456e-05
196	-3.77624	-3.77739	9.53411e-05
197	-3.77768	-3.77739	9.48685e-05
198	-3.77787	-3.7774	9.44196e-05
199	-3.77618	-3.77739	9.41412e-05
200	-3.77426	-3.77737	9.49647e-05
201	-3.77783	-3.77738	9.45198e-05
202	-3.77669	-3.77737	9.41129e-05
203	-3.77868	-3.77738	9.38699e-05
204	-3.77922	-3.77739	9.38429e-05
205	-3.77782	-3.77739	9.34087e-05
206	-3.77886	-3.7774	9.32278e-05
207	-3.77528	-3.77739	9.33374e-05
