BLOCK:	DISTANCE:	ACTUAL_G:	AVE_GOFR:	ERROR:
1	0.0115332	0	0	0
1	0.0345996	0	0	0
1	0.0576661	0	0	0
1	0.0807325	0	0	0
1	0.103799	0	0	0
1	0.126865	0	0	0
1	0.149932	0	0	0
1	0.172998	0	0	0
1	0.196065	0	0	0
1	0.219131	0	0	0
1	0.242198	0	0	0
1	0.265264	0	0	0
1	0.28833	0	0	0
1	0.311397	0	0	0
1	0.334463	0	0	0
1	0.35753	0	0	0
1	0.380596	0	0	0
1	0.403663	0	0	0
1	0.426729	0	0	0
1	0.449795	0	0	0
1	0.472862	0	0	0
1	0.495928	0	0	0
1	0.518995	0	0	0
1	0.542061	0	0	0
1	0.565128	0	0	0
1	0.588194	0	0	0
1	0.61126	0	0	0
1	0.634327	0	0	0
1	0.657393	0	0	0
1	0.68046	0	0	0
1	0.703526	0	0	0
1	0.726593	0	0	0
1	0.749659	0	0	0
1	0.772725	0	0	0
1	0.795792	0	0	0
1	0.818858	0	0	0
1	0.841925	0	0	0
1	0.864991	0	0	0
1	0.888058	0	0	0
1	0.911124	3.41123e-05	3.41123e-05	0
1	0.93419	0.000662442	0.000662442	0
1	0.957257	0.00274786	0.00274786	0
1	0.980323	0.00927932	0.00927932	0
1	1.00339	0.021777	0.021777	0
1	1.02646	0.0377286	0.0377286	0
1	1.04952	0.0487229	0.0487229	0
1	1.07259	0.0520645	0.0520645	0
1	1.09566	0.047803	0.047803	0
1	1.11872	0.0399346	0.0399346	0
1	1.14179	0.0292589	0.0292589	0
1	1.16485	0.0199031	0.0199031	0
1	1.18792	0.0128926	0.0128926	0
1	1.21099	0.0073538	0.0073538	0
1	1.23405	0.00419112	0.00419112	0
1	1.25712	0.00187018	0.00187018	0
1	1.28019	0.000887711	0.000887711	0
1	1.30325	0.00047387	0.00047387	0
1	1.32632	0.000357855	0.000357855	0
1	1.34939	0.00064487	0.00064487	0
1	1.37245	0.00137318	0.00137318	0
1	1.39552	0.00206186	0.00206186	0
1	1.41859	0.00335518	0.00335518	0
1	1.44165	0.0065509	0.0065509	0
1	1.46472	0.00831629	0.00831629	0
1	1.48778	0.0102006	0.0102006	0
1	1.51085	0.0118203	0.0118203	0
1	1.53392	0.0120699	0.0120699	0
1	1.55698	0.0116871	0.0116871	0
1	1.58005	0.0114626	0.0114626	0
1	1.60312	0.0090237	0.0090237	0
1	1.62618	0.00621569	0.00621569	0
1	1.64925	0.0042694	0.0042694	0
1	1.67232	0.00273981	0.00273981	0
