BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.15553	1.15553	0
2	1.17722	1.16637	0.00766785
3	1.17246	1.1684	0.00537354
4	1.17961	1.1712	0.00470396
5	1.15396	1.16775	0.0048658
6	1.18521	1.17066	0.00484722
7	1.15487	1.16841	0.0046505
8	1.17376	1.16908	0.00411712
9	1.16009	1.16808	0.00377881
10	1.17228	1.1685	0.00342418
11	1.16966	1.1686	0.00311453
12	1.17963	1.16952	0.00298744
13	1.16474	1.16915	0.0027802
14	1.18119	1.17001	0.00271133
15	1.16466	1.16966	0.00255394
16	1.16545	1.16939	0.0024078
17	1.18208	1.17014	0.00237904
18	1.15881	1.16951	0.00232868
19	1.17581	1.16984	0.00222957
20	1.16533	1.16962	0.00212946
21	1.17111	1.16969	0.00202924
22	1.16457	1.16946	0.00195028
23	1.17912	1.16988	0.0019102
24	1.15844	1.1694	0.00188905
25	1.16201	1.1691	0.00183644
26	1.18033	1.16954	0.00181585
27	1.1664	1.16942	0.00175231
28	1.16433	1.16924	0.00169914
29	1.17536	1.16945	0.00165361
30	1.15897	1.1691	0.00163497
31	1.17496	1.16929	0.00159314
32	1.1647	1.16915	0.00154979
33	1.15316	1.16866	0.00157671
34	1.17347	1.1688	0.00153666
35	1.16491	1.16869	0.00149677
36	1.17553	1.16888	0.0014672
37	1.16041	1.16865	0.00144529
38	1.17509	1.16882	0.00141715
39	1.16296	1.16867	0.00138875
40	1.16113	1.16848	0.00136676
41	1.16456	1.16839	0.00133676
42	1.17349	1.16851	0.00131043
43	1.17615	1.16869	0.00129196
44	1.1576	1.16843	0.00128695
45	1.17974	1.16869	0.00128265
46	1.1608	1.16851	0.00126618
47	1.16887	1.16852	0.00123927
48	1.1688	1.16853	0.00121346
49	1.17094	1.16858	0.00118969
50	1.15732	1.16835	0.00118701
51	1.1681	1.16835	0.00116375
52	1.17793	1.16853	0.00115587
53	1.1676	1.16851	0.0011342
54	1.1614	1.16838	0.00112083
55	1.17467	1.1685	0.00110626
56	1.16101	1.16836	0.00109456
57	1.16588	1.16832	0.00107622
58	1.15905	1.16816	0.00106948
59	1.17389	1.16826	0.00105576
60	1.16388	1.16818	0.00104068
61	1.16949	1.1682	0.00102384
62	1.16392	1.16814	0.00100965
63	1.16224	1.16804	0.00099796
64	1.16318	1.16797	0.000985258
65	1.16839	1.16797	0.000970122
66	1.16697	1.16796	0.000955542
67	1.1738	1.16804	0.00094525
68	1.17117	1.16809	0.000932468
69	1.16552	1.16805	0.000919696
70	1.16469	1.16801	0.00090781
71	1.17981	1.16817	0.000910133
72	1.16538	1.16813	0.000898317
73	1.17358	1.16821	0.000889105
74	1.16679	1.16819	0.000877297
75	1.16174	1.1681	0.000869803
76	1.174	1.16818	0.000861809
77	1.16017	1.16808	0.000856864
78	1.1748	1.16816	0.000850202
79	1.16027	1.16806	0.000845286
80	1.17172	1.16811	0.000835954
81	1.16796	1.16811	0.000825635
82	1.1743	1.16818	0.000819013
83	1.16594	1.16815	0.00080959
84	1.16609	1.16813	0.000800325
85	1.15781	1.16801	0.000800066
86	1.18445	1.1682	0.000813284
87	1.1625	1.16813	0.000806569
88	1.16243	1.16807	0.000800001
89	1.156	1.16793	0.000802432
90	1.17481	1.16801	0.000797144
91	1.1564	1.16788	0.000798534
92	1.16875	1.16789	0.00078991
93	1.16629	1.16787	0.000781603
94	1.1676	1.16787	0.000773293
95	1.15547	1.16774	0.000776089
96	1.17326	1.1678	0.00077013
97	1.16479	1.16777	0.000762817
98	1.16461	1.16774	0.000755711
99	1.16488	1.16771	0.000748629
100	1.16963	1.16773	0.000741388
101	1.16477	1.1677	0.000734625
102	1.16172	1.16764	0.00072976
103	1.16762	1.16764	0.000722675
104	1.16896	1.16765	0.000715837
105	1.16359	1.16761	0.000710065
106	1.17576	1.16769	0.000707519
107	1.16281	1.16764	0.000702371
108	1.16591	1.16763	0.000696052
109	1.15982	1.16756	0.000693338
110	1.17127	1.16759	0.000687858
111	1.17077	1.16762	0.000682258
112	1.15902	1.16754	0.000680472
113	1.1883	1.16772	0.000698803
114	1.16239	1.16768	0.000694238
115	1.16927	1.16769	0.000688339
116	1.17088	1.16772	0.000682952
117	1.17155	1.16775	0.000677899
118	1.16372	1.16772	0.000673013
119	1.17547	1.16778	0.000670505
120	1.16528	1.16776	0.000665241
121	1.17443	1.16782	0.000662024
122	1.15903	1.16775	0.000660503
123	1.17285	1.16779	0.000656434
124	1.16591	1.16777	0.000651315
125	1.16116	1.16772	0.00064825
126	1.17098	1.16774	0.000643621
127	1.1646	1.16772	0.000639029
128	1.17289	1.16776	0.000635311
129	1.16968	1.16777	0.000630561
130	1.17311	1.16782	0.000627045
131	1.16188	1.16777	0.000623892
132	1.17254	1.16781	0.000620212
133	1.16367	1.16778	0.000616329
134	1.16427	1.16775	0.000612286
135	1.17591	1.16781	0.000610728
136	1.17438	1.16786	0.000608144
137	1.16124	1.16781	0.000605624
138	1.1768	1.16788	0.000604728
139	1.16523	1.16786	0.000600677
140	1.16905	1.16786	0.000596447
141	1.16767	1.16786	0.000592218
142	1.1641	1.16784	0.00058864
143	1.17635	1.1679	0.000587529
144	1.15812	1.16783	0.000587362
145	1.1766	1.16789	0.00058642
146	1.16157	1.16785	0.000584
147	1.16389	1.16782	0.000580646
148	1.1763	1.16788	0.000579545
149	1.16795	1.16788	0.000575655
150	1.1528	1.16778	0.000580521
151	1.17875	1.16785	0.000581204
152	1.16714	1.16784	0.000577399
153	1.1589	1.16779	0.000576574
154	1.17517	1.16783	0.000574823
155	1.16842	1.16784	0.000571127
156	1.17161	1.16786	0.000567977
157	1.15744	1.1678	0.000568226
158	1.16627	1.16779	0.000564712
159	1.171	1.16781	0.000561523
160	1.16473	1.16779	0.000558342
161	1.16542	1.16777	0.000555067
162	1.15299	1.16768	0.000559085
163	1.1779	1.16774	0.00055916
164	1.17202	1.16777	0.00055636
165	1.14955	1.16766	0.000563841
166	1.16339	1.16763	0.000561032
167	1.16864	1.16764	0.000557705
168	1.16801	1.16764	0.000554389
169	1.16565	1.16763	0.000551234
170	1.16048	1.16759	0.000549596
171	1.17011	1.1676	0.00054658
172	1.17063	1.16762	0.000543685
173	1.17371	1.16766	0.00054168
174	1.16215	1.16762	0.000539491
175	1.17366	1.16766	0.000537509
176	1.1589	1.16761	0.000536752
177	1.15939	1.16756	0.000535724
178	1.16935	1.16757	0.000532809
179	1.17412	1.16761	0.000531087
180	1.15442	1.16754	0.000533167
181	1.17327	1.16757	0.000531162
182	1.16671	1.16756	0.000528265
183	1.17142	1.16758	0.000525798
184	1.17268	1.16761	0.000523669
185	1.16789	1.16761	0.00052084
186	1.16274	1.16759	0.000518699
187	1.16542	1.16757	0.000516054
188	1.17589	1.16762	0.000515203
189	1.14842	1.16752	0.000522394
190	1.16361	1.1675	0.00052005
191	1.17313	1.16753	0.000518164
192	1.16756	1.16753	0.000515466
