BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-7.54008	-7.54008	0
2	-7.56296	-7.55152	0.00808871
3	-7.55751	-7.55352	0.00563375
4	-7.56637	-7.55673	0.00505903
5	-7.53958	-7.5533	0.00507852
6	-7.57039	-7.55615	0.00496697
7	-7.54027	-7.55388	0.00474695
8	-7.55877	-7.55449	0.00419278
9	-7.54589	-7.55353	0.00383433
10	-7.55698	-7.55388	0.00346636
11	-7.55361	-7.55385	0.00315132
12	-7.56262	-7.55458	0.00297213
13	-7.54936	-7.55418	0.00277053
14	-7.56699	-7.5551	0.00271954
15	-7.5499	-7.55475	0.00256025
16	-7.54945	-7.55442	0.00242161
17	-7.56775	-7.5552	0.00240272
18	-7.54376	-7.55457	0.00235182
19	-7.56092	-7.5549	0.00225165
20	-7.55066	-7.55469	0.00214902
21	-7.55583	-7.55474	0.00204737
22	-7.54982	-7.55452	0.0019665
23	-7.56429	-7.55495	0.0019263
24	-7.54352	-7.55447	0.00190392
25	-7.54694	-7.55417	0.00185141
26	-7.56624	-7.55463	0.0018375
27	-7.55224	-7.55454	0.00177158
28	-7.54933	-7.55436	0.00171805
29	-7.56059	-7.55457	0.00167218
30	-7.54418	-7.55423	0.00165195
31	-7.55967	-7.5544	0.00160798
32	-7.54863	-7.55422	0.00156779
33	-7.53665	-7.55369	0.00160819
34	-7.55777	-7.55381	0.00156536
35	-7.54999	-7.5537	0.00152442
36	-7.56107	-7.5539	0.00149575
37	-7.54508	-7.55367	0.00147422
38	-7.56046	-7.55384	0.00144621
39	-7.54773	-7.55369	0.00141761
40	-7.54481	-7.55347	0.00139943
41	-7.5493	-7.55336	0.00136897
42	-7.55764	-7.55347	0.00134016
43	-7.5616	-7.55366	0.00132227
44	-7.54223	-7.5534	0.00131748
45	-7.565	-7.55365	0.00131318
46	-7.54478	-7.55346	0.00129873
47	-7.55422	-7.55348	0.0012712
48	-7.55446	-7.5535	0.00124488
49	-7.55416	-7.55351	0.00121955
50	-7.54233	-7.55329	0.00121547
51	-7.55357	-7.55329	0.00119165
52	-7.56395	-7.5535	0.00118623
53	-7.55254	-7.55348	0.00116399
54	-7.54567	-7.55334	0.00115139
55	-7.5587	-7.55343	0.00113459
56	-7.5438	-7.55326	0.00112729
57	-7.55094	-7.55322	0.00110825
58	-7.54508	-7.55308	0.00109798
59	-7.55846	-7.55317	0.00108315
60	-7.54875	-7.5531	0.0010676
61	-7.55423	-7.55312	0.00105026
62	-7.54733	-7.55302	0.00103746
63	-7.54699	-7.55293	0.00102541
64	-7.54774	-7.55285	0.00101258
65	-7.55261	-7.55284	0.00099701
66	-7.55217	-7.55283	0.000981956
67	-7.55851	-7.55292	0.000970955
68	-7.5549	-7.55295	0.000957114
69	-7.54937	-7.55289	0.000944643
70	-7.54977	-7.55285	0.0009322
71	-7.56581	-7.55303	0.000936773
72	-7.55003	-7.55299	0.000924691
73	-7.55832	-7.55306	0.000914901
74	-7.55095	-7.55303	0.000902984
75	-7.54474	-7.55292	0.000897697
76	-7.5595	-7.55301	0.000890042
77	-7.54532	-7.55291	0.000884068
78	-7.55995	-7.553	0.000877324
79	-7.54585	-7.55291	0.000870875
80	-7.55623	-7.55295	0.000860976
81	-7.55305	-7.55295	0.000850347
82	-7.55949	-7.55303	0.000843703
83	-7.55008	-7.553	0.000834286
84	-7.55048	-7.55297	0.000824893
85	-7.54359	-7.55286	0.000822538
86	-7.57142	-7.55307	0.000840831
87	-7.54792	-7.55301	0.000833247
88	-7.54629	-7.55294	0.000827271
89	-7.54044	-7.5528	0.00082981
90	-7.5594	-7.55287	0.000823829
91	-7.54164	-7.55275	0.000823963
92	-7.5535	-7.55275	0.000815047
93	-7.54953	-7.55272	0.000807019
94	-7.5515	-7.55271	0.000798538
95	-7.54094	-7.55258	0.000799674
96	-7.55801	-7.55264	0.000793337
97	-7.54889	-7.5526	0.000786102
98	-7.54857	-7.55256	0.000779158
99	-7.55068	-7.55254	0.000771519
100	-7.55474	-7.55256	0.000764118
101	-7.54938	-7.55253	0.000757202
102	-7.54577	-7.55247	0.000752674
103	-7.55281	-7.55247	0.000745373
104	-7.55358	-7.55248	0.000738283
105	-7.54736	-7.55243	0.000732859
106	-7.55982	-7.5525	0.000729251
107	-7.5475	-7.55245	0.000723931
108	-7.55133	-7.55244	0.000717303
109	-7.5431	-7.55236	0.00071583
110	-7.5561	-7.55239	0.00071013
111	-7.55456	-7.55241	0.000704002
112	-7.54415	-7.55234	0.000701567
113	-7.57205	-7.55251	0.000716722
114	-7.54786	-7.55247	0.000711598
115	-7.55439	-7.55249	0.000705607
116	-7.55666	-7.55252	0.000700439
117	-7.55755	-7.55257	0.000695769
118	-7.54885	-7.55253	0.000690585
119	-7.55965	-7.55259	0.000687364
120	-7.55122	-7.55258	0.000681731
121	-7.55917	-7.55264	0.000678266
122	-7.54343	-7.55256	0.000676889
123	-7.55642	-7.55259	0.000672113
124	-7.5505	-7.55258	0.000666904
125	-7.54551	-7.55252	0.000663958
126	-7.55553	-7.55254	0.000659119
127	-7.54857	-7.55251	0.000654673
128	-7.55765	-7.55255	0.000650787
129	-7.55502	-7.55257	0.000646023
130	-7.55787	-7.55261	0.000642337
131	-7.54623	-7.55256	0.00063928
132	-7.55851	-7.55261	0.000636024
133	-7.5488	-7.55258	0.000631885
134	-7.54968	-7.55256	0.00062754
135	-7.56154	-7.55263	0.000626411
136	-7.55835	-7.55267	0.000623217
137	-7.54474	-7.55261	0.000621349
138	-7.56093	-7.55267	0.000619762
139	-7.54982	-7.55265	0.000615641
140	-7.55333	-7.55265	0.000611263
141	-7.55263	-7.55265	0.000606928
142	-7.54722	-7.55262	0.000603861
143	-7.56311	-7.55269	0.000604083
144	-7.54263	-7.55262	0.000603917
145	-7.56054	-7.55267	0.00060222
146	-7.54557	-7.55263	0.00060006
147	-7.54868	-7.5526	0.000596578
148	-7.56254	-7.55267	0.000596314
149	-7.55316	-7.55267	0.000592321
150	-7.53688	-7.55256	0.000597647
151	-7.56282	-7.55263	0.000597533
152	-7.55171	-7.55263	0.000593633
153	-7.54266	-7.55256	0.000593315
154	-7.55848	-7.5526	0.000590705
155	-7.55389	-7.55261	0.000586953
156	-7.55841	-7.55264	0.00058437
157	-7.54292	-7.55258	0.000583921
158	-7.55067	-7.55257	0.000580351
159	-7.55453	-7.55258	0.000576831
160	-7.54874	-7.55256	0.000573727
161	-7.5478	-7.55253	0.000570924
162	-7.53872	-7.55244	0.000573731
163	-7.56236	-7.5525	0.000573431
164	-7.55681	-7.55253	0.000570535
165	-7.53187	-7.55241	0.000580661
166	-7.54773	-7.55238	0.000577845
167	-7.55411	-7.55239	0.000574477
168	-7.55285	-7.55239	0.000571064
169	-7.55127	-7.55238	0.000567723
170	-7.54617	-7.55235	0.000565558
171	-7.55591	-7.55237	0.000562634
172	-7.55621	-7.55239	0.000559806
173	-7.55727	-7.55242	0.00055728
174	-7.54601	-7.55238	0.000555294
175	-7.55846	-7.55242	0.000553208
176	-7.54332	-7.55237	0.000552472
177	-7.54392	-7.55232	0.00055141
178	-7.55371	-7.55233	0.000548367
179	-7.55778	-7.55236	0.000546151
180	-7.53808	-7.55228	0.000548845
181	-7.55848	-7.55231	0.000546883
182	-7.55194	-7.55231	0.000543882
183	-7.55667	-7.55233	0.000541431
184	-7.55889	-7.55237	0.00053966
185	-7.55321	-7.55237	0.000536763
186	-7.5478	-7.55235	0.000534439
187	-7.55096	-7.55234	0.000531633
188	-7.56024	-7.55238	0.000530461
189	-7.53354	-7.55228	0.000536944
190	-7.54831	-7.55226	0.000534525
191	-7.5586	-7.5523	0.000532756
192	-7.55384	-7.5523	0.000530043
193	-7.54482	-7.55226	0.000528714
194	-7.55886	-7.5523	0.00052708
195	-7.55202	-7.5523	0.000524379
196	-7.56112	-7.55234	0.000523632
197	-7.54563	-7.55231	0.000522081
198	-7.55478	-7.55232	0.000519593
199	-7.55333	-7.55233	0.000517007
200	-7.53755	-7.55225	0.000519672
201	-7.55315	-7.55226	0.000517106
202	-7.56369	-7.55231	0.000517637
203	-7.54652	-7.55228	0.000515874
204	-7.55066	-7.55228	0.000513407
205	-7.5535	-7.55228	0.000510937
206	-7.54776	-7.55226	0.000508928
207	-7.56279	-7.55231	0.000509006
208	-7.54741	-7.55229	0.000507104
209	-7.56038	-7.55233	0.000506156
