BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.936209	0.936209	0
2	0.936822	0.936516	0.000216726
3	0.937201	0.936744	0.000236047
4	0.945621	0.938963	0.00193
5	0.926185	0.936408	0.00275852
6	0.930422	0.93541	0.00247259
7	0.939151	0.935945	0.00217635
8	0.93352	0.935641	0.00192529
9	0.937136	0.935808	0.00171852
10	0.933794	0.935606	0.00155842
11	0.932291	0.935305	0.0014456
12	0.934841	0.935266	0.00132565
13	0.940388	0.93566	0.00128089
14	0.926928	0.935036	0.00133264
15	0.933289	0.93492	0.00124888
16	0.930053	0.934616	0.00120731
17	0.943581	0.935143	0.00124617
18	0.935924	0.935186	0.00117769
19	0.933215	0.935083	0.00112027
20	0.931196	0.934888	0.00108097
21	0.940686	0.935164	0.00106417
22	0.939923	0.935381	0.00103755
23	0.929285	0.935116	0.00102572
24	0.930651	0.93493	0.00099971
25	0.940024	0.935133	0.000980272
26	0.927018	0.934821	0.000991015
27	0.928858	0.934601	0.00097861
28	0.935182	0.934621	0.00094388
29	0.93826	0.934747	0.000919636
30	0.93637	0.934801	0.000890572
31	0.939798	0.934962	0.000876309
32	0.937387	0.935038	0.000852195
33	0.94172	0.93524	0.000850089
34	0.929377	0.935068	0.000842396
35	0.930335	0.934933	0.00082911
36	0.940139	0.935077	0.000818597
37	0.936738	0.935122	0.000797703
38	0.937619	0.935188	0.000779411
39	0.934482	0.93517	0.000759636
40	0.93687	0.935212	0.000741833
41	0.92937	0.93507	0.000737299
42	0.9374	0.935125	0.000721828
43	0.937691	0.935185	0.000707503
44	0.920233	0.934845	0.000768716
45	0.94077	0.934977	0.000762827
46	0.93741	0.93503	0.000748075
47	0.929771	0.934918	0.000740479
48	0.944543	0.935118	0.000751714
49	0.926226	0.934937	0.00075796
50	0.940771	0.935054	0.00075173
51	0.932338	0.935	0.000738873
52	0.936102	0.935021	0.000724967
53	0.936341	0.935046	0.000711716
54	0.939099	0.935121	0.000702482
55	0.931688	0.935059	0.000692478
56	0.933043	0.935023	0.000681047
57	0.930701	0.934947	0.000673307
58	0.943476	0.935094	0.000677567
59	0.93457	0.935085	0.000666141
60	0.934435	0.935074	0.000655127
61	0.938237	0.935126	0.000646435
62	0.935144	0.935127	0.000636009
63	0.938863	0.935186	0.000628673
64	0.932187	0.935139	0.000620594
65	0.935181	0.93514	0.000611046
66	0.93554	0.935146	0.000601818
67	0.94034	0.935223	0.000597807
68	0.9306	0.935155	0.00059287
69	0.936785	0.935179	0.000584749
70	0.935224	0.93518	0.000576395
71	0.940602	0.935256	0.000573315
72	0.934743	0.935249	0.000565397
73	0.936835	0.935271	0.000558069
74	0.926859	0.935157	0.000561985
75	0.938213	0.935198	0.000555967
76	0.930699	0.935138	0.000551794
77	0.931436	0.93509	0.000546719
78	0.935368	0.935094	0.000539721
79	0.931308	0.935046	0.000535013
80	0.936039	0.935058	0.000528469
81	0.93796	0.935094	0.000523158
82	0.937326	0.935121	0.000517485
83	0.932562	0.935091	0.000512168
84	0.936683	0.93511	0.000506422
85	0.93544	0.935113	0.000500479
86	0.939192	0.935161	0.000496901
87	0.932817	0.935134	0.00049192
88	0.93471	0.935129	0.000486353
89	0.935785	0.935136	0.000480944
90	0.942727	0.935221	0.000482939
91	0.9365	0.935235	0.000477837
92	0.934039	0.935222	0.00047282
93	0.937993	0.935252	0.000468674
94	0.929298	0.935188	0.000467948
95	0.94121	0.935252	0.000467296
96	0.933363	0.935232	0.000462842
97	0.939335	0.935274	0.00046
98	0.925433	0.935174	0.000466138
99	0.94141	0.935237	0.000465666
100	0.934477	0.935229	0.000461071
101	0.938025	0.935257	0.000457337
102	0.937453	0.935279	0.000453359
103	0.937352	0.935299	0.000449405
104	0.93112	0.935258	0.000446876
105	0.934874	0.935255	0.000442635
106	0.936436	0.935266	0.0004386
107	0.93539	0.935267	0.000434502
108	0.936272	0.935276	0.000430579
109	0.931557	0.935242	0.000427978
110	0.941617	0.9353	0.000427994
111	0.934879	0.935296	0.000424155
112	0.931806	0.935265	0.000421511
113	0.937318	0.935283	0.000418172
114	0.927669	0.935217	0.000419804
115	0.940554	0.935263	0.000418711
116	0.930031	0.935218	0.000417524
117	0.938294	0.935244	0.000414782
118	0.934561	0.935238	0.000411307
119	0.938426	0.935265	0.000408722
120	0.937132	0.935281	0.000405612
121	0.938507	0.935307	0.000403136
122	0.938404	0.935333	0.00040063
123	0.935043	0.935331	0.000397379
124	0.930944	0.935295	0.000395746
125	0.938775	0.935323	0.000393558
126	0.925875	0.935248	0.000397513
127	0.935435	0.935249	0.000394386
128	0.934911	0.935247	0.000391314
129	0.931165	0.935215	0.000389557
130	0.930232	0.935177	0.000388442
131	0.937107	0.935192	0.000385756
132	0.933808	0.935181	0.000382976
133	0.933087	0.935165	0.00038042
134	0.941607	0.935213	0.000380606
135	0.934009	0.935205	0.000377892
136	0.933724	0.935194	0.00037527
137	0.93778	0.935213	0.000373005
138	0.939357	0.935243	0.00037151
139	0.93506	0.935241	0.000368839
140	0.932247	0.93522	0.000366824
141	0.933805	0.93521	0.00036436
142	0.931925	0.935187	0.000362528
143	0.938791	0.935212	0.000360868
144	0.928944	0.935168	0.000360977
145	0.93769	0.935186	0.000358906
146	0.931068	0.935158	0.000357554
147	0.939326	0.935186	0.000356245
148	0.935172	0.935186	0.000353838
149	0.932696	0.935169	0.000351857
150	0.936836	0.93518	0.000349687
151	0.93136	0.935155	0.000348285
152	0.929704	0.935119	0.000347835
153	0.937669	0.935136	0.000345961
154	0.932778	0.93512	0.000344053
155	0.937324	0.935135	0.000342127
156	0.940661	0.93517	0.000341763
157	0.93748	0.935185	0.000339903
158	0.92893	0.935145	0.000340049
159	0.936649	0.935155	0.000338041
160	0.928998	0.935116	0.000338112
161	0.938425	0.935137	0.000336636
162	0.933184	0.935125	0.000334773
163	0.937469	0.935139	0.000333028
164	0.937049	0.935151	0.000331201
165	0.941143	0.935187	0.000331179
166	0.934574	0.935183	0.000329205
167	0.928339	0.935142	0.000329775
168	0.935974	0.935147	0.000327849
169	0.935164	0.935147	0.000325909
170	0.935994	0.935152	0.00032403
171	0.937703	0.935167	0.000322478
172	0.937316	0.93518	0.000320845
173	0.927748	0.935137	0.000321854
174	0.937772	0.935152	0.00032036
175	0.927357	0.935107	0.000321611
176	0.930759	0.935083	0.000320732
177	0.938479	0.935102	0.000319493
178	0.93884	0.935123	0.000318388
179	0.936408	0.93513	0.00031669
180	0.923362	0.935065	0.000321609
181	0.942912	0.935108	0.000322741
182	0.935601	0.935111	0.000320979
183	0.934766	0.935109	0.00031923
184	0.932472	0.935095	0.000317817
185	0.934513	0.935091	0.000316114
186	0.934055	0.935086	0.000314464
187	0.929256	0.935055	0.000314324
188	0.943907	0.935102	0.000316159
189	0.933671	0.935094	0.000314577
190	0.932604	0.935081	0.000313194
191	0.936894	0.935091	0.000311698
192	0.928386	0.935056	0.000312025
193	0.94505	0.935107	0.000314676
194	0.938153	0.935123	0.000313446
195	0.926562	0.935079	0.000314898
196	0.938695	0.935098	0.000313831
197	0.931667	0.93508	0.000312721
198	0.945547	0.935133	0.000315578
199	0.93137	0.935114	0.000314558
