BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	0.770352	0.770352	0
2	0.784811	0.777582	0.0051119
3	0.781639	0.778934	0.00358236
4	0.786404	0.780802	0.00313597
5	0.769306	0.778502	0.00324387
6	0.79014	0.780442	0.00323148
7	0.769911	0.778938	0.00310034
8	0.782509	0.779384	0.00274475
9	0.773393	0.778718	0.00251921
10	0.781517	0.778998	0.00228278
11	0.779775	0.779069	0.00207635
12	0.786419	0.779681	0.00199162
13	0.776493	0.779436	0.00185347
14	0.787462	0.780009	0.00180755
15	0.776441	0.779772	0.00170263
16	0.776968	0.779596	0.0016052
17	0.788055	0.780094	0.00158602
18	0.772539	0.779674	0.00155245
19	0.783872	0.779895	0.00148638
20	0.776888	0.779745	0.00141964
21	0.780738	0.779792	0.00135283
22	0.776381	0.779637	0.00130019
23	0.786078	0.779917	0.00127346
24	0.772297	0.7796	0.00125937
25	0.774676	0.779403	0.00122429
26	0.786886	0.77969	0.00121057
27	0.777599	0.779613	0.00116821
28	0.776218	0.779492	0.00113276
29	0.783572	0.779632	0.0011024
30	0.772645	0.7794	0.00108998
31	0.783309	0.779526	0.00106209
32	0.776467	0.77943	0.00103319
33	0.768774	0.779107	0.00105114
34	0.782311	0.779201	0.00102444
35	0.776606	0.779127	0.000997848
36	0.783687	0.779254	0.000978134
37	0.773609	0.779101	0.000963524
38	0.783394	0.779214	0.000944767
39	0.77531	0.779114	0.000925831
40	0.774089	0.778989	0.000911171
41	0.776376	0.778925	0.000891172
42	0.782324	0.779006	0.000873621
43	0.784102	0.779124	0.000861304
44	0.77173	0.778956	0.000857966
45	0.786496	0.779124	0.000855102
46	0.773864	0.779009	0.000844122
47	0.779249	0.779015	0.000826177
48	0.779201	0.779018	0.000808974
49	0.780626	0.779051	0.00079313
50	0.771546	0.778901	0.000791343
51	0.778734	0.778898	0.000775833
52	0.785287	0.779021	0.000770581
53	0.778402	0.779009	0.00075613
54	0.774263	0.778921	0.000747217
55	0.783114	0.778997	0.00073751
56	0.774006	0.778908	0.000729706
57	0.777252	0.778879	0.000717482
58	0.772697	0.778773	0.000712985
59	0.782595	0.778837	0.000703837
60	0.775917	0.778789	0.000693788
61	0.779657	0.778803	0.00068256
62	0.775947	0.778757	0.000673103
63	0.774825	0.778694	0.000665306
64	0.775451	0.778644	0.000656839
65	0.778927	0.778648	0.000646748
66	0.77798	0.778638	0.000637028
67	0.782533	0.778696	0.000630166
68	0.780782	0.778727	0.000621645
69	0.777015	0.778702	0.000613131
70	0.776462	0.77867	0.000605207
71	0.786543	0.778781	0.000606756
72	0.776921	0.778755	0.000598878
73	0.782386	0.778805	0.000592736
74	0.777857	0.778792	0.000584865
75	0.774493	0.778735	0.000579868
76	0.782664	0.778786	0.000574539
77	0.77345	0.778717	0.000571243
78	0.783199	0.778775	0.000566802
79	0.773515	0.778708	0.000563524
80	0.781145	0.778738	0.000557302
81	0.778639	0.778737	0.000550423
82	0.782865	0.778788	0.000546008
83	0.777293	0.77877	0.000539727
84	0.777393	0.778753	0.00053355
85	0.771873	0.778672	0.000533377
86	0.789633	0.7788	0.000542189
87	0.775	0.778756	0.000537713
88	0.774956	0.778713	0.000533334
89	0.770664	0.778622	0.000534955
90	0.783206	0.778673	0.000531429
91	0.770931	0.778588	0.000532356
92	0.779163	0.778594	0.000526606
93	0.77753	0.778583	0.000521069
94	0.778402	0.778581	0.000515529
95	0.770315	0.778494	0.000517393
96	0.782173	0.778532	0.00051342
97	0.776523	0.778512	0.000508545
98	0.77641	0.77849	0.000503808
99	0.776585	0.778471	0.000499086
100	0.77975	0.778484	0.000494259
101	0.776513	0.778464	0.00048975
102	0.774477	0.778425	0.000486506
103	0.778413	0.778425	0.000481783
104	0.779305	0.778433	0.000477225
105	0.775725	0.778408	0.000473377
106	0.783842	0.778459	0.000471679
107	0.77521	0.778429	0.000468247
108	0.777271	0.778418	0.000464035
109	0.773215	0.77837	0.000462226
110	0.780847	0.778393	0.000458572
111	0.780515	0.778412	0.000454839
112	0.77268	0.778361	0.000453648
113	0.792198	0.778483	0.000465869
114	0.774927	0.778452	0.000462825
115	0.779513	0.778461	0.000458893
116	0.780584	0.778479	0.000455301
117	0.781033	0.778501	0.000451933
118	0.775816	0.778478	0.000448675
119	0.783648	0.778522	0.000447003
120	0.776855	0.778508	0.000443494
121	0.782956	0.778545	0.000441349
122	0.772687	0.778497	0.000440335
123	0.781898	0.778524	0.000437623
124	0.777272	0.778514	0.00043421
125	0.774105	0.778479	0.000432166
126	0.780651	0.778496	0.00042908
127	0.7764	0.77848	0.000426019
128	0.781926	0.778507	0.000423541
129	0.779789	0.778517	0.000420374
130	0.782073	0.778544	0.00041803
131	0.774588	0.778514	0.000415928
132	0.781694	0.778538	0.000413475
133	0.775777	0.778517	0.000410886
134	0.776178	0.7785	0.000408191
135	0.783941	0.77854	0.000407152
136	0.782919	0.778572	0.000405429
137	0.774157	0.77854	0.000403749
138	0.784532	0.778583	0.000403152
139	0.77682	0.778571	0.000400451
140	0.779367	0.778576	0.000397631
