BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-6.38455	-6.38455	0
2	-6.38574	-6.38514	0.000420865
3	-6.38505	-6.38511	0.000281713
4	-6.38676	-6.38553	0.000414193
5	-6.38562	-6.38554	0.000331779
6	-6.38518	-6.38548	0.000282075
7	-6.38541	-6.38547	0.000241995
8	-6.38501	-6.38541	0.000218619
9	-6.3858	-6.38546	0.000198449
10	-6.38471	-6.38538	0.00019228
11	-6.38395	-6.38525	0.000214405
12	-6.38299	-6.38506	0.000266827
13	-6.38462	-6.38503	0.00024844
14	-6.3858	-6.38508	0.000236732
15	-6.38523	-6.38509	0.00022116
16	-6.38399	-6.38503	0.000217755
17	-6.38567	-6.38506	0.000208174
18	-6.38495	-6.38506	0.000196698
19	-6.38511	-6.38506	0.000186365
20	-6.38533	-6.38507	0.000177542
21	-6.38472	-6.38506	0.000169885
22	-6.38525	-6.38506	0.000162388
23	-6.38517	-6.38507	0.000155391
24	-6.38508	-6.38507	0.000148917
25	-6.38493	-6.38506	0.000143067
26	-6.38591	-6.3851	0.000141218
27	-6.38584	-6.38512	0.000138675
28	-6.38501	-6.38512	0.000133787
29	-6.38523	-6.38512	0.000129226
30	-6.38521	-6.38513	0.000124951
31	-6.38471	-6.38511	0.000121644
32	-6.38393	-6.38508	0.000123295
33	-6.38349	-6.38503	0.000128627
34	-6.3843	-6.38501	0.000126613
35	-6.38509	-6.38501	0.000123015
36	-6.38554	-6.38502	0.000120472
37	-6.38467	-6.38501	0.000117601
38	-6.38536	-6.38502	0.000114867
39	-6.38476	-6.38502	0.000112117
40	-6.38368	-6.38498	0.000114183
41	-6.38474	-6.38498	0.000111554
42	-6.38416	-6.38496	0.000110599
43	-6.38544	-6.38497	0.000108606
44	-6.38463	-6.38496	0.000106409
45	-6.38525	-6.38497	0.000104241
46	-6.38398	-6.38495	0.000104153
47	-6.38535	-6.38495	0.000102286
48	-6.38566	-6.38497	0.000101208
49	-6.38322	-6.38493	0.000105269
50	-6.38501	-6.38494	0.000103176
51	-6.38547	-6.38495	0.000101692
52	-6.38602	-6.38497	0.000101813
53	-6.38494	-6.38497	9.9894e-05
54	-6.38427	-6.38495	9.88685e-05
55	-6.38403	-6.38494	9.84741e-05
56	-6.38279	-6.3849	0.000103901
57	-6.38506	-6.3849	0.000102119
58	-6.38604	-6.38492	0.000102216
59	-6.38457	-6.38491	0.00010066
60	-6.38487	-6.38491	9.89845e-05
61	-6.38475	-6.38491	9.73996e-05
62	-6.38341	-6.38489	9.87988e-05
63	-6.38475	-6.38488	9.72538e-05
64	-6.38456	-6.38488	9.58636e-05
65	-6.38422	-6.38487	9.49322e-05
66	-6.3852	-6.38487	9.36259e-05
67	-6.38471	-6.38487	9.22588e-05
68	-6.38373	-6.38486	9.24279e-05
69	-6.38385	-6.38484	9.22297e-05
70	-6.38508	-6.38484	9.09758e-05
71	-6.386	-6.38486	9.11285e-05
72	-6.38465	-6.38486	8.99113e-05
73	-6.38474	-6.38486	8.86941e-05
74	-6.38416	-6.38485	8.79892e-05
75	-6.383	-6.38482	9.02074e-05
76	-6.3855	-6.38483	8.94613e-05
77	-6.38515	-6.38483	8.83929e-05
78	-6.38515	-6.38484	8.7351e-05
79	-6.38558	-6.38485	8.67461e-05
80	-6.38451	-6.38484	8.57644e-05
81	-6.38509	-6.38485	8.47581e-05
82	-6.38519	-6.38485	8.38273e-05
83	-6.38414	-6.38484	8.32503e-05
84	-6.38439	-6.38484	8.24349e-05
85	-6.38578	-6.38485	8.22025e-05
86	-6.38697	-6.38487	8.48823e-05
87	-6.38542	-6.38488	8.41406e-05
88	-6.38386	-6.38487	8.39788e-05
89	-6.38444	-6.38486	8.31711e-05
90	-6.38459	-6.38486	8.23009e-05
91	-6.38525	-6.38486	8.15059e-05
92	-6.38475	-6.38486	8.06291e-05
93	-6.38324	-6.38485	8.16322e-05
94	-6.3839	-6.38484	8.13841e-05
95	-6.38547	-6.38484	8.08025e-05
96	-6.38475	-6.38484	7.99669e-05
97	-6.3841	-6.38483	7.95063e-05
98	-6.38395	-6.38482	7.92038e-05
99	-6.3858	-6.38483	7.90198e-05
100	-6.38512	-6.38484	7.8281e-05
101	-6.38461	-6.38484	7.75384e-05
102	-6.38406	-6.38483	7.71532e-05
103	-6.38519	-6.38483	7.64834e-05
104	-6.38462	-6.38483	7.57742e-05
105	-6.38377	-6.38482	7.57158e-05
106	-6.38405	-6.38481	7.53447e-05
107	-6.38469	-6.38481	7.46497e-05
108	-6.38542	-6.38482	7.41713e-05
109	-6.38327	-6.3848	7.48298e-05
110	-6.38483	-6.3848	7.41499e-05
111	-6.38379	-6.38479	7.40381e-05
112	-6.38513	-6.3848	7.34393e-05
113	-6.38375	-6.38479	7.33668e-05
114	-6.38546	-6.38479	7.29638e-05
115	-6.38512	-6.3848	7.23863e-05
116	-6.38578	-6.3848	7.22587e-05
117	-6.386	-6.38481	7.23639e-05
118	-6.38513	-6.38482	7.1799e-05
119	-6.38418	-6.38481	7.13972e-05
120	-6.38594	-6.38482	7.14204e-05
121	-6.38473	-6.38482	7.08337e-05
122	-6.3844	-6.38482	7.03358e-05
123	-6.38358	-6.38481	7.04841e-05
