BLOCK:	DISTANCE:	ACTUAL_G:	AVE_GOFR:	ERROR:
1	0.0323165	0	0	0
1	0.0969496	0	0	0
1	0.161583	0	0	0
1	0.226216	0	0	0
1	0.290849	0	0	0
1	0.355482	0	0	0
1	0.420115	0	0	0
1	0.484748	0	0	0
1	0.549381	0	0	0
1	0.614014	0	0	0
1	0.678647	0	0	0
1	0.74328	0	0	0
1	0.807913	0	0	0
1	0.872546	4.70429e-05	4.70429e-05	0
1	0.937179	0.00419822	0.00419822	0
1	1.00181	0.0313425	0.0313425	0
1	1.06645	0.0617187	0.0617187	0
1	1.13108	0.0686083	0.0686083	0
1	1.19571	0.065715	0.065715	0
1	1.26034	0.0611084	0.0611084	0
1	1.32498	0.056417	0.056417	0
1	1.38961	0.0526247	0.0526247	0
1	1.45424	0.0486519	0.0486519	0
1	1.51888	0.0454485	0.0454485	0
1	1.58351	0.0441061	0.0441061	0
1	1.64814	0.0448038	0.0448038	0
1	1.71278	0.043213	0.043213	0
1	1.77741	0.0445108	0.0445108	0
1	1.84204	0.0431476	0.0431476	0
1	1.90667	0.0438369	0.0438369	0
1	1.97131	0.0437015	0.0437015	0
1	2.03594	0.0445243	0.0445243	0
1	2.10057	0.044691	0.044691	0
1	2.16521	0.0455114	0.0455114	0
1	2.22984	0.0459198	0.0459198	0
1	2.29447	0.0459627	0.0459627	0
1	2.35911	0.0459615	0.0459615	0
1	2.42374	0.046051	0.046051	0
1	2.48837	0.0456717	0.0456717	0
1	2.55301	0.0459099	0.0459099	0
1	2.61764	0.0467425	0.0467425	0
1	2.68227	0.0476287	0.0476287	0
1	2.7469	0.0469871	0.0469871	0
1	2.81154	0.0476042	0.0476042	0
1	2.87617	0.0481839	0.0481839	0
1	2.9408	0.048689	0.048689	0
1	3.00544	0.0476097	0.0476097	0
1	3.07007	0.0484894	0.0484894	0
1	3.1347	0.0472093	0.0472093	0
1	3.19934	0.0482819	0.0482819	0
1	3.26397	0.0488682	0.0488682	0
1	3.3286	0.0483827	0.0483827	0
1	3.39323	0.0491664	0.0491664	0
1	3.45787	0.0499739	0.0499739	0
1	3.5225	0.0499269	0.0499269	0
1	3.58713	0.0502733	0.0502733	0
1	3.65177	0.0504648	0.0504648	0
1	3.7164	0.0502119	0.0502119	0
1	3.78103	0.0499038	0.0499038	0
1	3.84567	0.0505851	0.0505851	0
1	3.9103	0.0505038	0.0505038	0
1	3.97493	0.0509099	0.0509099	0
1	4.03957	0.0508027	0.0508027	0
1	4.1042	0.0508273	0.0508273	0
1	4.16883	0.0506369	0.0506369	0
1	4.23346	0.0523788	0.0523788	0
1	4.2981	0.0515095	0.0515095	0
