BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.8	1.8	0
2	1.8	1.8	5.16191e-09
3	1.8	1.8	1.68587e-08
4	1.8	1.8	3.65002e-09
5	1.8	1.8	9.97376e-09
6	1.8	1.8	1.1151e-08
7	1.8	1.8	1.03238e-08
8	1.8	1.8	9.65706e-09
9	1.8	1.8	9.10476e-09
10	1.8	1.8	7.05252e-09
11	1.8	1.8	6.72431e-09
12	1.8	1.8	1.20445e-08
13	1.8	1.8	1.15719e-08
14	1.8	1.8	1.1151e-08
15	1.8	1.8	1.4105e-08
16	1.8	1.8	1.36571e-08
17	1.8	1.8	1.32494e-08
18	1.8	1.8	1.28761e-08
19	1.8	1.8	1.49168e-08
20	1.8	1.8	1.45391e-08
21	1.8	1.8	1.41887e-08
22	1.8	1.8	1.38625e-08
23	1.8	1.8	1.35578e-08
24	1.8	1.8	1.32724e-08
25	1.8	1.8	1.30042e-08
26	1.8	1.8	1.45062e-08
27	1.8	1.8	1.4235e-08
28	1.8	1.8	1.39785e-08
29	1.8	1.8	1.37354e-08
30	1.8	1.8	1.35045e-08
31	1.8	1.8	1.32849e-08
32	1.8	1.8	1.30757e-08
33	1.8	1.8	1.28761e-08
34	1.8	1.8	1.26853e-08
35	1.8	1.8	1.25028e-08
36	1.8	1.8	1.23279e-08
37	1.8	1.8	1.21602e-08
38	1.8	1.8	1.19991e-08
39	1.8	1.8	1.18443e-08
40	1.8	1.8	1.16953e-08
41	1.8	1.8	1.15518e-08
42	1.8	1.8	1.14134e-08
43	1.8	1.8	1.24962e-08
44	1.8	1.8	1.23533e-08
45	1.8	1.8	1.22153e-08
46	1.8	1.8	1.20818e-08
47	1.8	1.8	1.19526e-08
48	1.8	1.8	1.18274e-08
49	1.8	1.8	1.17061e-08
50	1.8	1.8	1.15885e-08
51	1.8	1.8	1.14743e-08
52	1.8	1.8	1.13634e-08
53	1.8	1.8	1.12557e-08
54	1.8	1.8	1.1151e-08
55	1.8	1.8	1.10492e-08
56	1.8	1.8	1.09501e-08
57	1.8	1.8	1.08536e-08
58	1.8	1.8	1.07596e-08
59	1.8	1.8	1.0668e-08
60	1.8	1.8	1.05788e-08
61	1.8	1.8	1.04917e-08
62	1.8	1.8	1.04068e-08
63	1.8	1.8	1.03238e-08
64	1.8	1.8	1.02429e-08
65	1.8	1.8	1.01638e-08
66	1.8	1.8	1.00865e-08
67	1.8	1.8	1.00109e-08
68	1.8	1.8	9.93703e-09
69	1.8	1.8	9.86476e-09
70	1.8	1.8	9.79404e-09
71	1.8	1.8	9.72483e-09
72	1.8	1.8	9.06402e-09
73	1.8	1.8	8.37144e-09
74	1.8	1.8	8.31468e-09
75	1.8	1.8	7.58643e-09
76	1.8	1.8	6.80285e-09
77	1.8	1.8	5.94108e-09
78	1.8	1.8	4.95941e-09
79	1.8	1.8	4.92792e-09
80	1.8	1.8	2.90477e-09
81	1.8	1.8	1.239e-09
82	1.8	1.8	1.23142e-09
83	1.8	1.8	3.33601e-09
84	1.8	1.8	4.52909e-09
85	1.8	1.8	4.50237e-09
86	1.8	1.8	4.91597e-09
87	1.8	1.8	5.75126e-09
88	1.8	1.8	5.71849e-09
89	1.8	1.8	6.4277e-09
90	1.8	1.8	6.39189e-09
91	1.8	1.8	7.01366e-09
92	1.8	1.8	6.97544e-09
93	1.8	1.8	7.53185e-09
94	1.8	1.8	7.49168e-09
95	1.8	1.8	7.9968e-09
96	1.8	1.8	7.95504e-09
97	1.8	1.8	8.4185e-09
98	1.8	1.8	8.37544e-09
99	1.8	1.8	8.80419e-09
100	1.8	1.8	8.76006e-09
101	1.8	1.8	9.15933e-09
102	1.8	1.8	9.11432e-09
