BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-0.411468	-0.411468	0
2	-0.413212	-0.41234	0.000616843
3	-0.415124	-0.413268	0.000862015
4	-0.414645	-0.413612	0.000711996
5	-0.414386	-0.413767	0.00058617
6	-0.415501	-0.414056	0.000555204
7	-0.419322	-0.414808	0.000843499
8	-0.413949	-0.414701	0.000744869
9	-0.416538	-0.414905	0.000689521
10	-0.415107	-0.414925	0.000620863
11	-0.412206	-0.414678	0.000611643
12	-0.415523	-0.414748	0.000564708
13	-0.414139	-0.414702	0.000523214
14	-0.413995	-0.414651	0.00048827
15	-0.415978	-0.414739	0.00046366
16	-0.4122	-0.414581	0.000461053
17	-0.415572	-0.414639	0.000437601
18	-0.411604	-0.41447	0.000444586
19	-0.411587	-0.414319	0.000446332
20	-0.416282	-0.414417	0.000434674
21	-0.419566	-0.414662	0.000478154
22	-0.410304	-0.414464	0.000495751
23	-0.41315	-0.414407	0.000477478
24	-0.413585	-0.414373	0.00045881
25	-0.407954	-0.414116	0.000507239
26	-0.414364	-0.414125	0.00048782
27	-0.410696	-0.413998	0.000486006
28	-0.413781	-0.413991	0.000468711
29	-0.409626	-0.41384	0.000476101
30	-0.408064	-0.413648	0.000497637
31	-0.409336	-0.413508	0.000500645
32	-0.413467	-0.413507	0.000485002
33	-0.420697	-0.413725	0.00051693
34	-0.423425	-0.41401	0.000575094
35	-0.416096	-0.41407	0.000561741
36	-0.415733	-0.414116	0.000548033
37	-0.413	-0.414086	0.00053405
38	-0.41626	-0.414143	0.000523052
39	-0.419537	-0.414281	0.000527611
40	-0.413337	-0.414258	0.000514949
41	-0.413526	-0.41424	0.000502699
42	-0.416762	-0.4143	0.000494302
43	-0.415442	-0.414327	0.000483519
44	-0.412215	-0.414279	0.000474906
45	-0.409834	-0.41418	0.000474511
46	-0.409751	-0.414084	0.000473861
47	-0.415174	-0.414107	0.000464346
48	-0.422855	-0.414289	0.000489136
49	-0.420938	-0.414425	0.000497622
50	-0.416763	-0.414472	0.000489861
51	-0.413654	-0.414455	0.000480518
52	-0.417011	-0.414505	0.000473785
53	-0.411343	-0.414445	0.000468586
54	-0.413905	-0.414435	0.000460015
55	-0.416436	-0.414471	0.000453088
56	-0.414081	-0.414464	0.000445051
57	-0.412567	-0.414431	0.000438486
58	-0.41285	-0.414404	0.000431773
59	-0.411672	-0.414358	0.000426931
60	-0.413664	-0.414346	0.000419972
61	-0.422159	-0.414474	0.000432178
62	-0.41619	-0.414502	0.000426092
63	-0.416919	-0.41454	0.000421053
64	-0.41089	-0.414483	0.000418318
65	-0.416412	-0.414513	0.000412934
66	-0.4122	-0.414478	0.000408162
67	-0.409067	-0.414397	0.00040998
68	-0.411936	-0.414361	0.000405545
69	-0.41485	-0.414368	0.00039973
70	-0.415664	-0.414386	0.000394448
71	-0.419107	-0.414453	0.000394455
72	-0.419224	-0.414519	0.000394503
73	-0.41304	-0.414499	0.000389619
74	-0.416641	-0.414528	0.000385428
75	-0.42175	-0.414624	0.000392132
76	-0.420577	-0.414702	0.000394717
77	-0.412235	-0.41467	0.000390889
78	-0.417033	-0.414701	0.000387049
79	-0.408016	-0.414616	0.000391289
80	-0.415216	-0.414624	0.00038647
81	-0.418482	-0.414671	0.000384623
82	-0.414137	-0.414665	0.000379988
83	-0.412103	-0.414634	0.000376661
84	-0.413271	-0.414618	0.000372526
85	-0.412997	-0.414599	0.000368631
86	-0.411657	-0.414564	0.000365928
