BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.0598991	0.0598991	0
2	0.0599034	0.0599012	1.55476e-06
3	0.0599043	0.0599023	1.32458e-06
4	0.0599008	0.0599019	1.04255e-06
5	0.0599006	0.0599016	8.64153e-07
6	0.0599065	0.0599024	1.02711e-06
7	0.0599052	0.0599028	9.51621e-07
8	0.0598991	0.0599024	9.38881e-07
9	0.0598996	0.0599021	8.8457e-07
10	0.0599004	0.0599019	8.1073e-07
11	0.0599029	0.059902	7.41658e-07
12	0.0599049	0.0599022	7.19219e-07
13	0.0599049	0.0599024	6.92829e-07
14	0.0599019	0.0599024	6.44534e-07
15	0.0598998	0.0599022	6.24574e-07
16	0.0599032	0.0599023	5.88633e-07
17	0.0598988	0.0599021	5.89106e-07
18	0.0599105	0.0599025	7.16923e-07
19	0.0598993	0.0599024	6.99423e-07
20	0.0599061	0.0599026	6.89374e-07
21	0.059903	0.0599026	6.56843e-07
22	0.0599001	0.0599025	6.3658e-07
23	0.0599027	0.0599025	6.08981e-07
24	0.0598993	0.0599023	5.98043e-07
25	0.0599017	0.0599023	5.74666e-07
26	0.0598968	0.0599021	5.89996e-07
27	0.0599073	0.0599023	5.98202e-07
28	0.0599027	0.0599023	5.77038e-07
29	0.0599022	0.0599023	5.57165e-07
30	0.0599011	0.0599023	5.40115e-07
31	0.0599037	0.0599023	5.24714e-07
32	0.0599035	0.0599023	5.09543e-07
33	0.0599	0.0599023	4.99254e-07
34	0.0598967	0.0599021	5.10716e-07
35	0.0599063	0.0599022	5.10257e-07
36	0.0599006	0.0599022	4.98035e-07
37	0.0598957	0.059902	5.14881e-07
38	0.0599061	0.0599021	5.12463e-07
39	0.0599018	0.0599021	4.99372e-07
40	0.0599075	0.0599022	5.05043e-07
41	0.0599027	0.0599023	4.92833e-07
42	0.0599036	0.0599023	4.82072e-07
43	0.059905	0.0599024	4.74886e-07
44	0.0599002	0.0599023	4.66559e-07
45	0.059899	0.0599022	4.61961e-07
46	0.0599018	0.0599022	4.5202e-07
47	0.0599	0.0599022	4.44773e-07
48	0.0599024	0.0599022	4.35539e-07
49	0.0598989	0.0599021	4.31854e-07
50	0.0599041	0.0599022	4.25079e-07
51	0.0599012	0.0599021	4.17159e-07
52	0.0599027	0.0599021	4.09278e-07
53	0.0599055	0.0599022	4.0645e-07
54	0.0599039	0.0599022	4.00125e-07
55	0.0598972	0.0599021	4.03015e-07
56	0.0599028	0.0599022	3.96009e-07
57	0.0599	0.0599021	3.90899e-07
58	0.0599036	0.0599021	3.8497e-07
59	0.0599017	0.0599021	3.7851e-07
60	0.0599047	0.0599022	3.74628e-07
61	0.0599008	0.0599022	3.69139e-07
62	0.0599056	0.0599022	3.67437e-07
63	0.0599063	0.0599023	3.6718e-07
64	0.0598997	0.0599022	3.63661e-07
65	0.0599029	0.0599023	3.58189e-07
66	0.0599036	0.0599023	3.53377e-07
67	0.0599032	0.0599023	3.48383e-07
68	0.0599007	0.0599023	3.4402e-07
69	0.0599077	0.0599023	3.47947e-07
70	0.0599009	0.0599023	3.43573e-07
71	0.0599032	0.0599023	3.38981e-07
72	0.0599039	0.0599024	3.34982e-07
73	0.0599054	0.0599024	3.32929e-07
74	0.0598987	0.0599023	3.32168e-07
75	0.0599023	0.0599023	3.27739e-07
76	0.0599021	0.0599023	3.2345e-07
77	0.0599034	0.0599024	3.19527e-07
78	0.0599035	0.0599024	3.15765e-07
79	0.0599002	0.0599023	3.12944e-07
80	0.0599003	0.0599023	3.10072e-07
81	0.0599024	0.0599023	3.06248e-07
82	0.0598996	0.0599023	3.04343e-07
83	0.0599016	0.0599023	3.00778e-07
84	0.059898	0.0599022	3.01507e-07
85	0.0599064	0.0599023	3.01927e-07
86	0.0599045	0.0599023	2.99546e-07
87	0.059905	0.0599023	2.97713e-07
88	0.0599023	0.0599023	2.9433e-07
89	0.059903	0.0599023	2.91115e-07
90	0.0599049	0.0599024	2.89311e-07
91	0.0599048	0.0599024	2.87405e-07
92	0.059896	0.0599023	2.92514e-07
93	0.0598993	0.0599023	2.91133e-07
94	0.0599026	0.0599023	2.88051e-07
95	0.0599046	0.0599023	2.8605e-07
96	0.0599016	0.0599023	2.83158e-07
97	0.0599009	0.0599023	2.80594e-07
98	0.0598999	0.0599023	2.78839e-07
99	0.0599027	0.0599023	2.76048e-07
100	0.0599032	0.0599023	2.73444e-07
