BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	1.3807	1.3807	0
2	1.38774	1.38422	0.00248896
3	1.3904	1.38628	0.00236271
4	1.3867	1.38639	0.00177434
5	1.39047	1.3872	0.00159601
6	1.38887	1.38748	0.001354
7	1.38869	1.38765	0.00117154
8	1.38378	1.38717	0.00112079
9	1.3849	1.38692	0.00102419
10	1.38525	1.38675	0.000935289
11	1.39026	1.38707	0.000902921
12	1.38712	1.38707	0.000827687
13	1.38797	1.38714	0.000766867
14	1.38089	1.38669	0.00083197
15	1.3878	1.38677	0.000779767
16	1.38918	1.38692	0.000745465
17	1.3823	1.38665	0.000749425
18	1.39081	1.38688	0.000742546
19	1.38392	1.38672	0.000719617
20	1.38355	1.38656	0.000700897
21	1.38656	1.38656	0.00066752
22	1.38642	1.38656	0.000637212
23	1.38893	1.38666	0.000617821
24	1.3898	1.38679	0.000605742
25	1.3899	1.38692	0.000594142
26	1.383	1.38677	0.00059005
27	1.39044	1.3869	0.000583656
28	1.38639	1.38688	0.0005631
29	1.38371	1.38677	0.000554199
30	1.38418	1.38669	0.000542448
31	1.38895	1.38676	0.000529829
32	1.38355	1.38666	0.000522707
33	1.38386	1.38657	0.000513687
34	1.38142	1.38642	0.000520504
35	1.38454	1.38637	0.000508412
36	1.38242	1.38626	0.000505969
37	1.38574	1.38625	0.000492492
38	1.39063	1.38636	0.000492884
39	1.38645	1.38636	0.000480252
40	1.38575	1.38635	0.00046849
41	1.3845	1.3863	0.000459222
42	1.38405	1.38625	0.000451418
43	1.38257	1.38616	0.000448939
44	1.38439	1.38612	0.000440549
45	1.38454	1.38609	0.000432159
46	1.38811	1.38613	0.000424986
47	1.38508	1.38611	0.000416533
48	1.37789	1.38594	0.000441635
49	1.38374	1.38589	0.000434893
50	1.38639	1.3859	0.000426307
51	1.37863	1.38576	0.000441163
52	1.38663	1.38578	0.000432996
53	1.37968	1.38566	0.000439851
54	1.38308	1.38561	0.000434299
55	1.38712	1.38564	0.000427261
56	1.38457	1.38562	0.00042006
57	1.38139	1.38555	0.000419194
58	1.38796	1.38559	0.000414023
59	1.38932	1.38565	0.0004118
60	1.38671	1.38567	0.00040531
61	1.38754	1.3857	0.000399826
62	1.38276	1.38565	0.000396174
63	1.38806	1.38569	0.00039172
64	1.38913	1.38575	0.00038927
65	1.38234	1.38569	0.000386792
66	1.39001	1.38576	0.000386432
67	1.38569	1.38576	0.000380665
68	1.38435	1.38574	0.000375631
69	1.38998	1.3858	0.000375176
70	1.3803	1.38572	0.000377937
71	1.38018	1.38564	0.000380594
72	1.39273	1.38574	0.00038784
73	1.38716	1.38576	0.000383015
74	1.38773	1.38579	0.00037876
75	1.3799	1.38571	0.000381759
76	1.3883	1.38574	0.00037826
77	1.38926	1.38579	0.000376099
78	1.38856	1.38582	0.000372955
79	1.39095	1.38589	0.000373833
80	1.38298	1.38585	0.00037093
81	1.38718	1.38587	0.000366714
82	1.38347	1.38584	0.000363407
83	1.38236	1.3858	0.000361438
84	1.38709	1.38581	0.000357463
85	1.38692	1.38583	0.000353493
86	1.38961	1.38587	0.000352114
87	1.38425	1.38585	0.000348556
88	1.38313	1.38582	0.000345966
89	1.38035	1.38576	0.0003475
90	1.38285	1.38573	0.000345143
91	1.3812	1.38568	0.000344911
92	1.3764	1.38558	0.000355585
93	1.37963	1.38551	0.000357454
94	1.38878	1.38555	0.000355343
95	1.38415	1.38553	0.000351908
96	1.38225	1.3855	0.000349894
97	1.38801	1.38552	0.000347246
98	1.38257	1.38549	0.000345008
99	1.39228	1.38556	0.000348267
100	1.39007	1.38561	0.000347684
