BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.8	1.8	0
2	1.8	1.8	4.21468e-09
3	1.8	1.8	3.44128e-09
4	1.8	1.8	2.98023e-09
5	1.8	1.8	1.5543e-08
6	1.8	1.8	2.43335e-09
7	1.8	1.8	2.25284e-09
8	1.8	1.8	2.10734e-09
9	1.8	1.8	1.98682e-09
10	1.8	1.8	1.09906e-08
11	1.8	1.8	8.33303e-09
12	1.8	1.8	1.14134e-08
13	1.8	1.8	1.09657e-08
14	1.8	1.8	1.05668e-08
15	1.8	1.8	1.255e-08
16	1.8	1.8	1.21515e-08
17	1.8	1.8	1.17887e-08
18	1.8	1.8	1.14566e-08
19	1.8	1.8	1.29003e-08
20	1.8	1.8	1.34276e-08
21	1.8	1.8	1.3104e-08
22	1.8	1.8	1.19885e-08
23	1.8	1.8	1.1725e-08
24	1.8	1.8	1.14781e-08
25	1.8	1.8	1.12462e-08
26	1.8	1.8	1.23433e-08
27	1.8	1.8	1.21126e-08
28	1.8	1.8	1.18943e-08
29	1.8	1.8	1.16874e-08
30	1.8	1.8	1.1491e-08
31	1.8	1.8	1.13041e-08
32	1.8	1.8	1.11261e-08
33	1.8	1.8	1.09562e-08
34	1.8	1.8	1.07939e-08
35	1.8	1.8	1.06386e-08
36	1.8	1.8	1.04898e-08
37	1.8	1.8	1.03471e-08
38	1.8	1.8	1.021e-08
39	1.8	1.8	1.00783e-08
40	1.8	1.8	1.04945e-08
41	1.8	1.8	1.03657e-08
42	1.8	1.8	1.07454e-08
43	1.8	1.8	1.19036e-08
44	1.8	1.8	1.17675e-08
45	1.8	1.8	1.20527e-08
46	1.8	1.8	1.23192e-08
47	1.8	1.8	1.21874e-08
48	1.8	1.8	1.24375e-08
49	1.8	1.8	1.23099e-08
50	1.8	1.8	1.25453e-08
51	1.8	1.8	1.24217e-08
52	1.8	1.8	1.26441e-08
53	1.8	1.8	1.25242e-08
54	1.8	1.8	1.24077e-08
55	1.8	1.8	1.26185e-08
56	1.8	1.8	1.25053e-08
57	1.8	1.8	1.27055e-08
58	1.8	1.8	1.25955e-08
59	1.8	1.8	1.24883e-08
60	1.8	1.8	1.26791e-08
61	1.8	1.8	1.25748e-08
62	1.8	1.8	1.24729e-08
63	1.8	1.8	1.26552e-08
64	1.8	1.8	1.25559e-08
65	1.8	1.8	1.2459e-08
66	1.8	1.8	1.26334e-08
67	1.8	1.8	1.25388e-08
68	1.8	1.8	1.24462e-08
69	1.8	1.8	1.23557e-08
70	1.8	1.8	1.25231e-08
71	1.8	1.8	1.24346e-08
72	1.8	1.8	1.18898e-08
73	1.8	1.8	1.1335e-08
74	1.8	1.8	1.15216e-08
75	1.8	1.8	1.0969e-08
76	1.8	1.8	1.04028e-08
77	1.8	1.8	9.81992e-09
78	1.8	1.8	9.21663e-09
79	1.8	1.8	9.46004e-09
80	1.8	1.8	8.53409e-09
81	1.8	1.8	7.878e-09
82	1.8	1.8	7.82981e-09
83	1.8	1.8	7.50246e-09
84	1.8	1.8	6.78975e-09
85	1.8	1.8	6.74969e-09
86	1.8	1.8	5.97777e-09
87	1.8	1.8	5.11223e-09
88	1.8	1.8	5.0831e-09
89	1.8	1.8	4.64282e-09
90	1.8	1.8	4.61696e-09
91	1.8	1.8	3.50683e-09
92	1.8	1.8	3.48772e-09
