BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.0598386	0.0598386	0
2	0.059805	0.0598218	1.18782e-05
3	0.0598373	0.0598269	8.97504e-06
4	0.0598018	0.0598207	8.65476e-06
5	0.0597948	0.0598155	8.32985e-06
6	0.0598912	0.0598281	1.34477e-05
7	0.0599381	0.0598438	1.85574e-05
8	0.0599131	0.0598525	1.81482e-05
9	0.0599075	0.0598586	1.713e-05
10	0.0599996	0.0598727	2.04116e-05
11	0.0599536	0.05988	1.98361e-05
12	0.0598259	0.0598755	1.86899e-05
13	0.0598401	0.0598728	1.74502e-05
14	0.0598522	0.0598713	1.62658e-05
15	0.0598981	0.0598731	1.52787e-05
16	0.0597858	0.0598676	1.52664e-05
17	0.0599329	0.0598715	1.48428e-05
18	0.059988	0.059878	1.53657e-05
19	0.059908	0.0598795	1.46381e-05
20	0.0599324	0.0598822	1.41431e-05
21	0.0598603	0.0598811	1.35078e-05
22	0.0599426	0.0598839	1.31796e-05
23	0.0599045	0.0598848	1.26368e-05
24	0.0599068	0.0598857	1.21432e-05
25	0.0598151	0.0598829	1.19815e-05
26	0.0598934	0.0598833	1.15275e-05
27	0.0598517	0.0598822	1.11599e-05
28	0.0598574	0.0598813	1.07962e-05
29	0.0599534	0.0598838	1.07067e-05
30	0.0598804	0.0598836	1.03504e-05
31	0.0599615	0.0598862	1.0317e-05
32	0.0599221	0.0598873	1.00557e-05
33	0.0599144	0.0598881	9.78462e-06
34	0.0598493	0.059887	9.5632e-06
35	0.0600299	0.059891	1.0124e-05
36	0.0599792	0.0598935	1.01343e-05
37	0.0598764	0.059893	9.87092e-06
38	0.0600153	0.0598963	1.01216e-05
39	0.0599648	0.059898	1.00137e-05
40	0.0599026	0.0598981	9.76402e-06
41	0.0598718	0.0598975	9.54688e-06
42	0.0599307	0.0598983	9.35224e-06
43	0.0598428	0.059897	9.22338e-06
44	0.0599746	0.0598987	9.18072e-06
45	0.0599138	0.0598991	8.98281e-06
46	0.0598613	0.0598983	8.82504e-06
47	0.0598667	0.0598976	8.66279e-06
48	0.0599978	0.0598997	8.73017e-06
49	0.0600512	0.0599028	9.08334e-06
50	0.0599046	0.0599028	8.90175e-06
51	0.0599547	0.0599038	8.78511e-06
52	0.0599238	0.0599042	8.62457e-06
53	0.0600003	0.059906	8.65022e-06
54	0.0598377	0.0599048	8.58199e-06
55	0.0598999	0.0599047	8.4264e-06
56	0.0598557	0.0599038	8.32115e-06
57	0.0598534	0.0599029	8.22191e-06
58	0.0599465	0.0599037	8.1145e-06
59	0.0599042	0.0599037	7.97697e-06
60	0.0598593	0.0599029	7.87817e-06
61	0.0599496	0.0599037	7.78603e-06
62	0.0598033	0.0599021	7.8269e-06
63	0.0597964	0.0599004	7.88023e-06
64	0.0598996	0.0599004	7.75711e-06
65	0.0599599	0.0599013	7.69164e-06
66	0.059819	0.0599001	7.67541e-06
67	0.0598576	0.0598994	7.58692e-06
68	0.0598748	0.0598991	7.48398e-06
69	0.0601523	0.0599027	8.22635e-06
70	0.060087	0.0599054	8.51958e-06
71	0.0598633	0.0599048	8.42018e-06
72	0.0598606	0.0599042	8.32558e-06
73	0.0598837	0.0599039	8.21624e-06
74	0.0598248	0.0599028	8.17447e-06
75	0.0597731	0.0599011	8.24626e-06
76	0.0598074	0.0598998	8.22943e-06
77	0.0597898	0.0598984	8.24583e-06
78	0.0599323	0.0598989	8.15153e-06
79	0.0598489	0.0598982	8.07284e-06
80	0.0599293	0.0598986	7.98125e-06
81	0.0599134	0.0598988	7.88481e-06
82	0.0598872	0.0598986	7.78992e-06
83	0.0598602	0.0598982	7.70982e-06
84	0.059937	0.0598986	7.63188e-06
85	0.05995	0.0598993	7.566e-06
86	0.05995	0.0598998	7.50101e-06
87	0.0598975	0.0598998	7.41484e-06
88	0.0599699	0.0599006	7.37324e-06
89	0.059995	0.0599017	7.36635e-06
90	0.0598876	0.0599015	7.28615e-06
91	0.0598731	0.0599012	7.21278e-06
92	0.0600225	0.0599025	7.25393e-06
93	0.0598058	0.0599015	7.25014e-06
94	0.0600155	0.0599027	7.27379e-06
95	0.0598835	0.0599025	7.20004e-06
96	0.0598226	0.0599017	7.17302e-06
97	0.0598792	0.0599014	7.10281e-06
98	0.0599561	0.059902	7.05221e-06
99	0.0600762	0.0599037	7.19726e-06
100	0.0600312	0.059905	7.2373e-06
101	0.0599594	0.0599056	7.18561e-06
102	0.0598415	0.0599049	7.14259e-06
103	0.06004	0.0599062	7.19254e-06
104	0.0599102	0.0599063	7.12348e-06
105	0.0598822	0.0599061	7.05934e-06
106	0.0598862	0.0599059	6.99521e-06
107	0.0599415	0.0599062	6.93777e-06
108	0.0600465	0.0599075	6.99417e-06
109	0.0599449	0.0599078	6.93842e-06
110	0.0599233	0.059908	6.87676e-06
111	0.059998	0.0599088	6.86251e-06
112	0.059907	0.0599088	6.80125e-06
113	0.0598759	0.0599085	6.74727e-06
114	0.0599741	0.0599091	6.71258e-06
115	0.0598024	0.0599081	6.71796e-06
116	0.0598042	0.0599072	6.71953e-06
117	0.0597908	0.0599062	6.73539e-06
118	0.059
