BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.2	1.2	0
2	1.2	1.2	4.21468e-09
3	1.2	1.2	3.44128e-09
4	1.2	1.2	2.98023e-09
5	1.2	1.2	2.6656e-09
6	1.2	1.2	2.43335e-09
7	1.2	1.2	2.25284e-09
8	1.2	1.2	2.10734e-09
9	1.2	1.2	1.98682e-09
10	1.2	1.2	1.88486e-09
11	1.2	1.2	1.79715e-09
12	1.2	1.2	1.72064e-09
13	1.2	1.2	1.65314e-09
14	1.2	1.2	1.593e-09
15	1.2	1.2	1.53899e-09
16	1.2	1.2	1.49012e-09
17	1.2	1.2	1.44562e-09
18	1.2	1.2	1.40489e-09
19	1.2	1.2	1.36742e-09
20	1.2	1.2	1.3328e-09
21	1.2	1.2	1.30068e-09
22	1.2	1.2	1.27078e-09
23	1.2	1.2	1.24284e-09
24	1.2	1.2	1.21667e-09
25	1.2	1.2	1.19209e-09
26	1.2	1.2	1.16894e-09
27	1.2	1.2	1.14709e-09
28	1.2	1.2	1.12642e-09
29	1.2	1.2	4.14138e-09
30	1.2	1.2	4.07177e-09
31	1.2	1.2	5.76499e-09
32	1.2	1.2	5.67419e-09
33	1.2	1.2	5.58756e-09
34	1.2	1.2	6.78058e-09
35	1.2	1.2	6.68301e-09
36	1.2	1.2	6.58954e-09
37	1.2	1.2	7.52671e-09
38	1.2	1.2	7.42702e-09
39	1.2	1.2	7.33118e-09
40	1.2	1.2	8.10711e-09
41	1.2	1.2	8.00763e-09
42	1.2	1.2	7.91173e-09
43	1.2	1.2	7.81919e-09
44	1.2	1.2	8.47713e-09
45	1.2	1.2	8.38241e-09
46	1.2	1.2	8.2908e-09
47	1.2	1.2	8.20212e-09
48	1.2	1.2	8.11623e-09
49	1.2	1.2	8.68358e-09
50	1.2	1.2	8.5963e-09
51	1.2	1.2	8.51161e-09
52	1.2	1.2	8.42937e-09
53	1.2	1.2	8.34947e-09
54	1.2	1.2	8.2718e-09
55	1.2	1.2	7.58217e-09
56	1.2	1.2	7.51417e-09
57	1.2	1.2	6.79139e-09
58	1.2	1.2	6.73259e-09
59	1.2	1.2	6.67529e-09
60	1.2	1.2	5.91059e-09
61	1.2	1.2	5.86194e-09
62	1.2	1.2	5.81447e-09
63	1.2	1.2	4.98123e-09
64	1.2	1.2	4.94216e-09
65	1.2	1.2	4.90399e-09
66	1.2	1.2	3.951e-09
67	1.2	1.2	3.92141e-09
68	1.2	1.2	3.89246e-09
