BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	1.51367	1.51367	0
2	1.43347	1.47357	0.0283573
3	1.39269	1.44661	0.0290167
4	1.43728	1.44428	0.0218561
5	1.35414	1.42625	0.0237843
6	1.32276	1.409	0.0253137
7	1.34467	1.39981	0.0233062
8	1.41019	1.40111	0.020429
9	1.40046	1.40104	0.0181593
10	1.40256	1.40119	0.016344
11	1.31562	1.39341	0.0166065
12	1.31893	1.3872	0.0163413
13	1.44874	1.39194	0.0157549
14	1.43678	1.39514	0.0149516
15	1.39668	1.39524	0.0139552
16	1.38228	1.39443	0.0131065
17	1.35109	1.39188	0.0125811
18	1.3913	1.39185	0.0118822
19	1.39695	1.39212	0.0112598
20	1.45701	1.39536	0.0111546
21	1.44645	1.3978	0.0108855
22	1.39629	1.39773	0.0103909
23	1.4352	1.39936	0.010066
24	1.35272	1.39741	0.00983241
25	1.36232	1.39601	0.00953878
26	1.35989	1.39462	0.00927251
27	1.32733	1.39213	0.00925798
28	1.34064	1.39029	0.00910811
29	1.42954	1.39164	0.00889404
30	1.39867	1.39188	0.00860066
31	1.39273	1.3919	0.00832326
32	1.41786	1.39272	0.00810258
33	1.40252	1.39301	0.0078625
34	1.41332	1.39361	0.0076539
35	1.38815	1.39345	0.00743681
36	1.38037	1.39309	0.0072391
37	1.33436	1.3915	0.00721539
38	1.40377	1.39183	0.00703273
39	1.37716	1.39145	0.00686245
40	1.43249	1.39248	0.00676715
41	1.47821	1.39457	0.00691761
42	1.45442	1.39599	0.0068981
43	1.41211	1.39637	0.00674785
44	1.389	1.3962	0.00659657
45	1.39096	1.39608	0.00645101
46	1.41761	1.39655	0.00632773
47	1.31376	1.39479	0.00643362
48	1.31905	1.39321	0.00649022
49	1.37581	1.39286	0.00636747
50	1.30002	1.391	0.0065052
51	1.33105	1.38982	0.00648298
52	1.3245	1.38857	0.00647889
53	1.3461	1.38777	0.00640599
54	1.2993	1.38613	0.00649345
55	1.38925	1.38619	0.00637563
56	1.3739	1.38597	0.00626556
57	1.35395	1.3854	0.00618077
58	1.35851	1.38494	0.00609158
59	1.35392	1.38441	0.00601098
60	1.32312	1.38339	0.00599698
61	1.31634	1.38229	0.00599858
62	1.2735	1.38054	0.00615314
63	1.26628	1.37873	0.00631709
64	1.28737	1.3773	0.00637762
65	1.3395	1.37672	0.00630596
66	1.35286	1.37636	0.00622077
67	1.36175	1.37614	0.00613174
68	1.42887	1.37691	0.00609041
69	1.53593	1.37922	0.00642339
70	1.47032	1.38052	0.00646214
71	1.43241	1.38125	0.00641232
72	1.35688	1.38091	0.00633219
73	1.42185	1.38147	0.00627023
74	1.4405	1.38227	0.00623602
75	1.39144	1.38239	0.00615408
76	1.40838	1.38273	0.00608259
77	1.35735	1.3824	0.00601252
78	1.39578	1.38258	0.00593789
79	1.37356	1.38246	0.00586382
80	1.44966	1.3833	0.00585037
81	1.45543	1.38419	0.00584551
82	1.41788	1.3846	0.00578864
83	1.36732	1.38439	0.00572264
84	1.32209	1.38365	0.00570239
85	1.3835	1.38365	0.0056353
86	1.34787	1.38324	0.00558511
87	1.31611	1.38246	0.00557395
88	1.40904	1.38277	0.00551879
89	1.40404	1.383	0.00546195
90	1.40305	1.38323	0.0054058
91	1.42532	1.38369	0.00536616
92	1.46015	1.38452	0.0053718
93	1.41303	1.38483	0.00532277
94	1.42356	1.38524	0.00528207
95	1.42039	1.38561	0.00523942
96	1.37016	1.38545	0.00518731
97	1.41522	1.38576	0.0051429
98	1.39147	1.38581	0.00509076
99	1.38582	1.38581	0.00503933
100	1.38093	1.38577	0.00498918
101	1.33738	1.38529	0.00496273
102	1.35816	1.38502	0.0049212
103	1.35661	1.38474	0.00488114
104	1.40704	1.38496	0.00483891
105	1.3805	1.38492	0.00479301
106	1.43173	1.38536	0.0047681
107	1.40031	1.3855	0.00472559
108	1.39356	1.38557	0.00468242
109	1.44658	1.38613	0.0046728
110	1.4303	1.38653	0.00464754
111	1.43718	1.38699	0.00462801
112	1.43753	1.38744	0.00460864
113	1.47258	1.38819	0.00462904
114	1.53799	1.38951	0.00477128
115	1.47936	1.39029	0.00479334
116	1.47206	1.39099	0.00480356
117	1.41586	1.39121	0.00476721
118	1.38393	1.39115	0.0047272
119	1.35633	1.39085	0.00469652
120	1.38579	1.39081	0.00465758
121	1.33501	1.39035	0.00464186
122	1.35628	1.39007	0.0046122
123	1.38894	1.39006	0.00457471
124	1.49085	1.39087	0.00460946
125	1.45052	1.39135	0.00459721
126	1.3638	1.39113	0.00456592
127	1.36105	1.3909	0.00453611
128	1.39467	1.39093	0.00450077
129	1.42957	1.39122	0.00447584
130	1.39367	1.39124	0.00444145
131	1.45722	1.39175	0.004436
132	1.42793	1.39202	0.00441086
133	1.39721	1.39206	0.00437787
134	1.36668	1.39187	0.00434929
135	1.45215	1.39232	0.00433993
136	1.36778	1.39214	0.00431177
137	1.37581	1.39202	0.00428194
138	1.4
