BLOCK:	DISTANCE:	ACTUAL_G:	AVE_GOFR:	ERROR:
1	0.0128248	0	0	0
1	0.0384745	0	0	0
1	0.0641241	0	0	0
1	0.0897737	0	0	0
1	0.115423	0	0	0
1	0.141073	0	0	0
1	0.166723	0	0	0
1	0.192372	0	0	0
1	0.218022	0	0	0
1	0.243672	0	0	0
1	0.269321	0	0	0
1	0.294971	0	0	0
1	0.32062	0	0	0
1	0.34627	0	0	0
1	0.37192	0	0	0
1	0.397569	0	0	0
1	0.423219	0	0	0
1	0.448869	0	0	0
1	0.474518	0	0	0
1	0.500168	0	0	0
1	0.525818	0	0	0
1	0.551467	0	0	0
1	0.577117	0	0	0
1	0.602767	0	0	0
1	0.628416	0	0	0
1	0.654066	0	0	0
1	0.679715	0	0	0
1	0.705365	0	0	0
1	0.731015	0	0	0
1	0.756664	0	0	0
1	0.782314	0	0	0
1	0.807964	0	0	0
1	0.833613	0	0	0
1	0.859263	0	0	0
1	0.884913	2.15506e-05	2.15506e-05	0
1	0.910562	0.000263153	0.000263153	0
1	0.936212	0.0015885	0.0015885	0
1	0.961861	0.00616994	0.00616994	0
1	0.987511	0.0133153	0.0133153	0
1	1.01316	0.0207404	0.0207404	0
1	1.03881	0.0262308	0.0262308	0
1	1.06446	0.0294787	0.0294787	0
1	1.09011	0.0303876	0.0303876	0
1	1.11576	0.0292928	0.0292928	0
1	1.14141	0.0272309	0.0272309	0
1	1.16706	0.0249264	0.0249264	0
1	1.19271	0.0222424	0.0222424	0
1	1.21836	0.0202043	0.0202043	0
1	1.24401	0.0183548	0.0183548	0
1	1.26966	0.0164344	0.0164344	0
1	1.29531	0.0150238	0.0150238	0
1	1.32096	0.0136902	0.0136902	0
1	1.34661	0.0126675	0.0126675	0
1	1.37226	0.011772	0.011772	0
1	1.39791	0.0111648	0.0111648	0
1	1.42355	0.0104115	0.0104115	0
1	1.4492	0.0102203	0.0102203	0
1	1.47485	0.00987664	0.00987664	0
1	1.5005	0.00964961	0.00964961	0
1	1.52615	0.00956786	0.00956786	0
1	1.5518	0.00954837	0.00954837	0
1	1.57745	0.00973419	0.00973419	0
1	1.6031	0.00978832	0.00978832	0
1	1.62875	0.0100201	0.0100201	0
1	1.6544	0.0103932	0.0103932	0
1	1.68005	0.0106439	0.0106439	0
1	1.7057	0.011424	0.011424	0
1	1.73135	0.0118315	0.0118315	0
1	1.757	0.0125035	0.0125035	0
1	1.78265	0.0133814	0.0133814	0
1	1.8083	0.0141339	0.0141339	0
1	1.83395	0.0148047	0.0148047	0
1	1.8596	0.0155292	0.0155292	0
1	1.88525	0.0164853	0.0164853	0
1	1.9109	0.0169724	0.0169724	0
1	1.93655	0.0179567	0.0179567	0
1	1.9622	0.0186313	0.0186313	0
1	1.98785	0.0192206	0.0192206	0
1	2.0135	0.0196143	0.0196143	0
1	2.03915	0.019946	0.019946	0
1	2.0648	0.0201509	0.0201509	0
1	2.09045	0.020585	0.020585	0
1	2.1161	0.0203818	0.0203818	0
1	2.14174	0.020469	0.020469	0
1	2.16739	0.0200802	0.0200802	0
1	2.19304	0.019786	0.019786	0
1	2.21869	0.0191728	0.0191728	0
1	2.24434	0.0188333	0.0188333	0
1	2.26999	0.0181764	0.0181764	0
1	2.29564	0.017878	0.017878	0
1	2.32129	0.0174204	0.0174204	0
1	2.34694	0.0173145	0.0173145	0
1	2.37259	0.0168124	0.0168124	0
1	2.39824	0.0165397	0.0165397	0
1	2.42389	0.0162894	0.0162894	0
1	2.44954	0.0161442	0.0161442	0
1	2.47519	0.0158657	0.0158657	0
1	2.50084	0.0158266	0.0158266	0
1	2.52649	0.0156239	0.0156239	0
1	2.55214	0.0154873	0.0154873	0
2	0.0128248	0	0	0
2	0.0384745	0	0	0
2	0.0641241	0	0	0
2	0.0897737	0	0	0
2	0.115423	0	0	0
2	0.141073	0	0	0
2	0.166723	0	0	0
2	0.192372	0	0	0
2	0.218022	0	0	0
2	0.243672	0	0	0
2	0.269321	0	0	0
2	0.294971	0	0	0
2	0.32062	0	0	0
2	0.34627	0	0	0
2	0.37192	0	0	0
2	0.397569	0	0	0
2	0.423219	0	0	0
2	0.448869	0	0	0
2	0.474518	0	0	0
2	0.500168	0	0	0
2	0.525818	0	0	0
2	0.551467	0	0	0
2	0.577117	0	0	0
2	0.602767	0	0	0
2	0.628416	0	0	0
2	0.654066	0	0	0
2	0.679715	0	0	0
2	0.705365	0	0	0
2	0.731015	0	0	0
2	0.756664	0	0	0
2	0.782314	0	0	0
2	0.807964	0	0	0
2	0.833613	0	0	0
2	0.859263	0	0	0
2	0.884913	5.6219e-06	1.35863e-05	5.63166e-06
2	0.910562	0.000255014	0.000259083	2.87748e-06
2	0.936212	0.00169941	0.00164395	3.92115e-05
2	0.961861	0.00617078	0.00617036	2.98332e-07
2	0.987511	0.0131244	0.0132198	6.74912e-05
2	1.01316	0.020899	0.0208197	5.60781e-05
2	1.03881	0.0265012	0.026366	9.55858e-05
2	1.06446	0.0296991	0.0295889	7.79149e-05
2	1.09011	0.0299993	0.0301935	0.000137288
2	1.11576	0.0289734	0.0291331	0.000112934
2	1.14141	0.0270235	0.0271272	7.33257e-05
2	1.16706	0.0243293	0.0246278	0.000211099
2	1.19271	0.0224484	0.0223454	7.2853e-05
2	1.21836	0.0200061	0.0201052	7.00858e-05
2	1.24401	0.0182848	0.0183198	2.47372e-05
2	1.26966	0.0162351	0.0163348	7.04733e-05
2	1.29531	0.0150436	0.0150337	6.99093e-06
2	1.32096	0.0139963	0.0138433	0.0001082
2	1.34661	0.0128621	0.0127648	6.87918e-05
2	1.37226	0.0117428	0.0117574	1.03002e-05
2	1.39791	0.0113324	0.0112486	5.92738e-05
2	1.42355	0.0109995	0.0107055	0.000207892
2	1.4492	0.0104601	0.0103402	8.4788e-05
2	1.47485	0.0102078	0.0100422	0.000117076
2	1.5005	0.0100537	0.00985167	0.000142872
2	1.52615	0.0100305	0.00979919	0.000163572
2	1.5518	0.00967521	0.00961179	4.48435e-05
2	1.57745	0.00995332	0.00984376	7.74747e-05
2	1.6031	0.00985823	0.00982328	2.47192e-05
2	1.62875	0.0101525	0.0100863	4.68408e-05
2	1.6544	0.010538	0.0104656	5.11847e-05
2	1.68005	0.0109109	0.0107774	9.44166e-05
2	1.7057	0.0110512	0.0112376	0.000131797
2	1.73135	0.0116777	0.0117546	5.43898e-05
2	1.757	0.0122855	0.0123945	7.70891e-05
2	1.78265	0.0129571	0.0131693	0.000150022
2	1.8083	0.0136373	0.0138856	0.000175577
2	1.83395	0.0145545	0.0146796	8.84479e-05
