BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.65	1.65	0
2	1.65	1.65	6.14391e-09
3	1.65	1.65	1.10844e-08
4	1.65	1.65	9.5994e-09
5	1.65	1.65	8.58597e-09
6	1.65	1.65	7.83788e-09
7	1.65	1.65	7.21262e-09
8	1.65	1.65	6.74679e-09
9	1.65	1.65	6.36093e-09
10	1.65	1.65	6.03451e-09
11	1.65	1.65	5.75368e-09
12	1.65	1.65	5.54222e-09
13	1.65	1.65	5.32479e-09
14	1.65	1.65	5.1311e-09
15	1.65	1.65	8.56871e-09
16	1.65	1.65	8.29662e-09
17	1.65	1.65	8.0489e-09
18	1.65	1.65	7.82212e-09
19	1.65	1.65	9.82502e-09
20	1.65	1.65	9.57624e-09
21	1.65	1.65	7.24188e-09
22	1.65	1.65	7.07538e-09
23	1.65	1.65	4.00323e-09
24	1.65	1.65	3.91894e-09
25	1.65	1.65	3.81656e-09
26	1.65	1.65	3.74244e-09
27	1.65	1.65	6.37385e-09
28	1.65	1.65	6.25899e-09
29	1.65	1.65	6.15013e-09
30	1.65	1.65	6.04676e-09
31	1.65	1.65	7.68251e-09
32	1.65	1.65	7.56151e-09
33	1.65	1.65	7.44606e-09
34	1.65	1.65	7.33575e-09
35	1.65	1.65	8.55636e-09
36	1.65	1.65	8.43668e-09
37	1.65	1.65	8.32189e-09
38	1.65	1.65	8.21166e-09
39	1.65	1.65	8.1057e-09
40	1.65	1.65	6.76322e-09
41	1.65	1.65	5.17239e-09
42	1.65	1.65	5.11045e-09
43	1.65	1.65	2.9101e-09
44	1.65	1.65	2.87684e-09
45	1.65	1.65	2.86199e-09
46	1.65	1.65	2.83071e-09
47	1.65	1.65	4.84074e-09
48	1.65	1.65	4.79005e-09
49	1.65	1.65	4.74092e-09
50	1.65	1.65	6.05655e-09
51	1.65	1.65	5.99688e-09
52	1.65	1.65	7.02583e-09
53	1.65	1.65	6.95923e-09
54	1.65	1.65	6.89449e-09
55	1.65	1.65	7.74548e-09
56	1.65	1.65	7.67601e-09
57	1.65	1.65	7.60838e-09
58	1.65	1.65	7.5425e-09
59	1.65	1.65	8.26708e-09
60	1.65	1.65	8.1979e-09
61	1.65	1.65	8.13042e-09
62	1.65	1.65	8.76676e-09
63	1.65	1.65	8.6969e-09
64	1.65	1.65	8.62869e-09
65	1.65	1.65	8.56206e-09
66	1.65	1.65	8.49695e-09
67	1.65	1.65	9.05854e-09
68	1.65	1.65	8.99168e-09
69	1.65	1.65	8.92629e-09
70	1.65	1.65	8.8623e-09
71	1.65	1.65	8.79967e-09
72	1.65	1.65	9.30246e-09
73	1.65	1.65	9.23852e-09
74	1.65	1.65	9.17589e-09
75	1.65	1.65	9.11451e-09
76	1.65	1.65	9.05435e-09
77	1.65	1.65	9.50961e-09
78	1.65	1.65	8.93751e-09
79	1.65	1.65	8.34222e-09
80	1.65	1.65	8.28992e-09
81	1.65	1.65	7.66995e-09
82	1.65	1.65	7.01247e-09
83	1.65	1.65	6.9701e-09
84	1.65	1.65	6.26744e-09
