BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-5.47987	-5.47987	0
2	-5.47932	-5.47959	0.00019584
3	-5.43332	-5.46417	0.0125956
4	-5.49108	-5.4709	0.0110993
5	-5.44848	-5.46641	0.00974283
6	-5.46421	-5.46605	0.00812592
7	-5.45405	-5.46433	0.00714366
8	-5.4644	-5.46434	0.00625071
9	-5.47267	-5.46527	0.00562425
10	-5.46138	-5.46488	0.00507521
11	-5.45	-5.46353	0.00479061
12	-5.45719	-5.463	0.00442041
13	-5.47033	-5.46356	0.00411619
14	-5.48467	-5.46507	0.00408911
15	-5.50465	-5.46771	0.00458971
16	-5.46596	-5.4676	0.00430414
17	-5.46103	-5.46721	0.00406829
18	-5.46582	-5.46714	0.00384301
19	-5.446	-5.46602	0.00379836
20	-5.45262	-5.46535	0.00366711
21	-5.45886	-5.46504	0.00350551
22	-5.46105	-5.46486	0.00335087
23	-5.49024	-5.46597	0.00338203
24	-5.47648	-5.4664	0.00326935
25	-5.48056	-5.46697	0.00318723
26	-5.44828	-5.46625	0.00314462
27	-5.45858	-5.46597	0.00304094
28	-5.44588	-5.46525	0.00301577
29	-5.47405	-5.46555	0.00292702
30	-5.44842	-5.46498	0.00288461
31	-5.47977	-5.46546	0.00283075
32	-5.45374	-5.46509	0.00276588
33	-5.47722	-5.46546	0.00270637
34	-5.45818	-5.46525	0.00263524
35	-5.47596	-5.46555	0.00257766
36	-5.44747	-5.46505	0.00255451
37	-5.49301	-5.46581	0.00259482
38	-5.4596	-5.46564	0.00253167
39	-5.47839	-5.46597	0.00248777
40	-5.48322	-5.4664	0.00246267
41	-5.4647	-5.46636	0.00240296
42	-5.46669	-5.46637	0.00234576
43	-5.50194	-5.46719	0.00243273
44	-5.48049	-5.4675	0.00239613
45	-5.46319	-5.4674	0.00234479
46	-5.50448	-5.46821	0.00242844
47	-5.46688	-5.46818	0.00237693
48	-5.49269	-5.46869	0.00238165
49	-5.45767	-5.46846	0.00234364
50	-5.42734	-5.46764	0.00243683
51	-5.4668	-5.46763	0.0023891
52	-5.45977	-5.46747	0.00234793
53	-5.47036	-5.46753	0.00230426
54	-5.48167	-5.46779	0.00227643
55	-5.49005	-5.4682	0.00227074
56	-5.46323	-5.46811	0.00223193
57	-5.44245	-5.46766	0.0022377
58	-5.4575	-5.46748	0.00220597
59	-5.49498	-5.46795	0.00221726
60	-5.46273	-5.46786	0.00218202
61	-5.45158	-5.46759	0.00216251
62	-5.46528	-5.46756	0.00212795
63	-5.46439	-5.46751	0.00209477
64	-5.47269	-5.46759	0.0020636
65	-5.47162	-5.46765	0.00203279
66	-5.46459	-5.4676	0.00200252
67	-5.44118	-5.46721	0.00201107
68	-5.45572	-5.46704	0.00198858
69	-5.49057	-5.46738	0.00198878
70	-5.41556	-5.46664	0.00209362
71	-5.48384	-5.46688	0.00207811
72	-5.43403	-5.46643	0.00209875
73	-5.42958	-5.46592	0.00212983
74	-5.48861	-5.46623	0.002123
75	-5.43248	-5.46578	0.00214185
76	-5.46454	-5.46576	0.00211373
77	-5.46622	-5.46577	0.00208629
78	-5.45545	-5.46564	0.00206373
79	-5.48591	-5.46589	0.0020535
80	-5.45309	-5.46573	0.00203406
81	-5.42267	-5.4652	0.00207726
82	-5.45514	-5.46508	0.00205554
83	-5.44981	-5.46489	0.002039
84	-5.43529	-5.46454	0.00204495
85	-5.48503	-5.46478	0.00203505
86	-5.462	-5.46475	0.00201164
87	-5.47636	-5.46488	0.00199294
88	-5.46379	-5.46487	0.00197033
89	-5.49699	-5.46523	0.00198096
90	-5.45968	-5.46517	0.00195991
91	-5.48263	-5.46536	0.00194775
92	-5.46297	-5.46534	0.00192675
93	-5.48589	-5.46556	0.00191866
94	-5.46806	-5.46558	0.00189843
95	-5.43656	-5.46528	0.00190288
96	-5.46825	-5.46531	0.00188331
97	-5.46048	-5.46526	0.00186455
98	-5.46048	-5.46521	0.00184617
99	-5.48521	-5.46541	0.00183854
100	-5.43796	-5.46514	0.00184053
101	-5.46311	-5.46512	0.00182242
102	-5.46911	-5.46516	0.00180497
103	-5.45537	-5.46506	0.00178994
104	-5.43212	-5.46475	0.00180055
105	-5.42496	-5.46437	0.00182284
106	-5.4469	-5.4642	0.00181308
107	-5.48282	-5.46438	0.00180446
108	-5.48166	-5.46454	0.00179484
109	-5.45498	-5.46445	0.00178051
110	-5.46184	-5.46442	0.00176448
111	-5.46693	-5.46445	0.00174873
112	-5.44732	-5.46429	0.00173979
113	-5.44237	-5.4641	0.00173517
114	-5.44674	-5.46395	0.00172662
115	-5.47317	-5.46403	0.00171347
116	-5.46708	-5.46405	0.0016989
117	-5.4704	-5.46411	0.00168524
118	-5.47312	-5.46418	0.00167269
119	-5.4797	-5.46432	0.00166371
120	-5.46536	-5.46432	0.00164987
121	-5.45512	-5.46425	0.00163799
122	-5.45024	-5.46413	0.00162858
123	-5.44654	-5.46399	0.00162161
124	-5.4406	-5.4638	0.00161946
125	-5.48184	-5.46395	0.00161292
126	-5.44154	-5.46377	0.00160989
127	-5.46441	-5.46377	0.00159722
128	-5.44527	-5.46363	0.00159127
129	-5.43027	-5.46337	0.00159981
130	-5.45421	-5.4633	0.00158906
131	-5.47471	-5.46339	0.00157931
132	-5.46862	-5.46343	0.00156784
133	-5.46469	-5.46344	0.00155609
134	-5.43449	-5.46322	0.0015594
135	-5.46759	-5.46325	0.00154818
136	-5.45216	-5.46317	0.00153894
137	-5.47782	-5.46328	0.00153142
138	-5.48231	-5.46342	0.00152652
139	-5.45704	-5.46337	0.00151623
140	-5.47722	-5.46347	0.00150862
141	-5.46371	-5.46347	0.00149792
142	-5.4693	-5.46351	0.00148794
143	-5.47936	-5.46362	0.00148166
144	-5.49451	-5.46384	0.00148681
145	-5.46753	-5.46386	0.00147677
146	-5.48774	-5.46403	0.00147569
147	-5.44965	-5.46393	0.00146888
148	-5.45331	-5.46386	0.00146071
149	-5.48025	-5.46397	0.00145504
150	-5.47006	-5.46401	0.00144591
151	-5.50613	-5.46429	0.001463
152	-5.45637	-5.46423	0.0014543
153	-5.4551	-5.46417	0.00144602
154	-5.46009	-5.46415	0.00143687
155	-5.46744	-5.46417	0.00142776
156	-5.47269	-5.46422	0.00141965
157	-5.45247	-5.46415	0.00141258
158	-5.47206	-5.4642	0.00140453
159	-5.45126	-5.46412	0.00139805
160	-5.47418	-5.46418	0.00139073
161	-5.45228	-5.46411	0.00138405
162	-5.46467	-5.46411	0.00137551
163	-5.46194	-5.4641	0.00136714
164	-5.46693	-5.46411	0.00135891
165	-5.45249	-5.46404	0.0013525
166	-5.46479	-5.46405	0.00134436
167	-5.47081	-5.46409	0.00133692
168	-5.45872	-5.46406	0.00132934
169	-5.46484	-5.46406	0.00132149
170	-5.47147	-5.4641	0.00131443
171	-5.4565	-5.46406	0.0013075
172	-5.46733	-5.46408	0.00130003
173	-5.44996	-5.464	0.00129508
174	-5.46071	-5.46398	0.00128777
175	-5.4837	-5.46409	0.00128533
176	-5.49244	-5.46425	0.00128808
177	-5.43297	-5.46408	0.00129287
178	-5.45235	-5.46401	0.00128729
179	-5.45019	-5.46393	0.00128241
180	-5.46916	-5.46396	0.00127561
181	-5.49629	-5.46414	0.00128101
182	-5.47427	-5.4642	0.00127518
183	-5.49502	-5.46436	0.00127929
184	-5.49061	-5.46451	0.00128027
185	-5.48122	-5.4646	0.00127653
186	-5.46869	-5.46462	0.00126986
187	-5.46716	-5.46463	0.00126314
188	-5.42189	-5.46441	0.00127672
