BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.890538	0.890538	0
2	0.890488	0.890513	1.77968e-05
3	0.892252	0.891093	0.000473636
4	0.889859	0.890784	0.000444465
5	0.891678	0.890963	0.000389833
6	0.891121	0.890989	0.000325756
7	0.891745	0.891097	0.000296583
8	0.891201	0.89111	0.000259793
9	0.891022	0.8911	0.000231113
10	0.891212	0.891112	0.000208271
11	0.891947	0.891187	0.000202707
12	0.891336	0.8912	0.000186192
13	0.89079	0.891168	0.000174514
14	0.890433	0.891116	0.00016977
15	0.888999	0.890975	0.000209026
16	0.890976	0.890975	0.000195961
17	0.89119	0.890987	0.000184843
18	0.891452	0.891013	0.000176363
19	0.892061	0.891068	0.000175492
20	0.891279	0.891079	0.000167033
21	0.8917	0.891108	0.000161675
22	0.891516	0.891127	0.000155386
23	0.890057	0.89108	0.000155442
24	0.890794	0.891069	0.000149424
25	0.890868	0.89106	0.000143663
26	0.891644	0.891083	0.000139877
27	0.891259	0.891089	0.000134849
28	0.892515	0.89114	0.000139317
29	0.89088	0.891131	0.000134802
30	0.89135	0.891139	0.000130507
31	0.89056	0.89112	0.000127625
32	0.891465	0.891131	0.00012409
33	0.890299	0.891106	0.000122863
34	0.891309	0.891112	0.000119395
35	0.89062	0.891098	0.000116806
36	0.891435	0.891107	0.000113937
37	0.889866	0.891073	0.000115691
38	0.891842	0.891094	0.000114402
39	0.891023	0.891092	0.000111483
40	0.890267	0.891071	0.000110587
41	0.890907	0.891067	0.000107962
42	0.891136	0.891069	0.000105403
43	0.889328	0.891028	0.000110457
44	0.890474	0.891016	0.000108662
45	0.891719	0.891031	0.000107364
46	0.889308	0.890994	0.000111373
47	0.891366	0.891002	0.000109284
48	0.889831	0.890977	0.000109697
49	0.891573	0.89099	0.000108129
50	0.892844	0.891027	0.000112145
51	0.890524	0.891017	0.000110378
52	0.891574	0.891028	0.000108775
53	0.891031	0.891028	0.000106722
54	0.890428	0.891016	0.000105321
55	0.88993	0.890997	0.000105244
56	0.891672	0.891009	0.000104054
57	0.892033	0.891027	0.000103768
58	0.891465	0.891034	0.000102254
59	0.889823	0.891014	0.000102562
60	0.891384	0.89102	0.000101038
61	0.891911	0.891035	0.000100432
62	0.89117	0.891037	9.88354e-05
63	0.890996	0.891036	9.72687e-05
64	0.890684	0.891031	9.59042e-05
65	0.89059	0.891024	9.46683e-05
66	0.891126	0.891025	9.32465e-05
67	0.892219	0.891043	9.35411e-05
68	0.891288	0.891047	9.22348e-05
69	0.890008	0.891032	9.21184e-05
70	0.893371	0.891065	9.66724e-05
71	0.890483	0.891057	9.56582e-05
72	0.89245	0.891076	9.62658e-05
73	0.892371	0.891094	9.65677e-05
74	0.889899	0.891078	9.66044e-05
75	0.892712	0.8911	9.7742e-05
76	0.891259	0.891102	9.64783e-05
77	0.89086	0.891099	9.52766e-05
78	0.891204	0.8911	9.40648e-05
79	0.890181	0.891088	9.3591e-05
80	0.89209	0.891101	9.32554e-05
81	0.892893	0.891123	9.46937e-05
82	0.891256	0.891125	9.35528e-05
83	0.891215	0.891126	9.2432e-05
84	0.892644	0.891144	9.30814e-05
85	0.890017	0.891131	9.29257e-05
86	0.891775	0.891138	9.21471e-05
87	0.890575	0.891132	9.13151e-05
88	0.890938	0.891129	9.03038e-05
89	0.889457	0.891111	9.12221e-05
90	0.891134	0.891111	9.02089e-05
91	0.890686	0.891106	8.93385e-05
92	0.890736	0.891102	8.8458e-05
93	0.889616	0.891086	8.89387e-05
94	0.890683	0.891082	8.80959e-05
95	0.89199	0.891091	8.7686e-05
96	0.891189	0.891092	8.67784e-05
97	0.891471	0.891096	8.59716e-05
98	0.890864	0.891094	8.51271e-05
99	0.890097	0.891084	8.48607e-05
100	0.892773	0.891101	8.56769e-05
101	0.89106	0.8911	8.48295e-05
102	0.891276	0.891102	8.40153e-05
103	0.8915	0.891106	8.32884e-05
104	0.892238	0.891117	8.31961e-05
105	0.892797	0.891133	8.39292e-05
106	0.89195	0.891141	8.34905e-05
107	0.889879	0.891129	8.35385e-05
108	0.890396	0.891122	8.304e-05
109	0.891697	0.891127	8.24459e-05
110	0.891241	0.891128	8.17028e-05
111	0.890902	0.891126	8.09923e-05
112	0.892063	0.891135	8.06997e-05
113	0.892351	0.891145	8.07004e-05
114	0.891863	0.891152	8.02375e-05
115	0.890495	0.891146	7.97428e-05
116	0.890997	0.891145	7.90657e-05
117	0.890805	0.891142	7.84432e-05
118	0.890763	0.891139	7.78442e-05
119	0.890347	0.891132	7.74739e-05
120	0.8909	0.89113	7.68523e-05
121	0.891662	0.891134	7.63428e-05
122	0.891484	0.891137	7.57707e-05
123	0.892662	0.89115	7.6162e-05
