BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-3.82987	-3.82987	0
2	-3.82932	-3.82959	0.00019584
3	-3.78332	-3.81417	0.0125956
4	-3.84108	-3.8209	0.0110993
5	-3.79848	-3.81641	0.00974283
6	-3.81421	-3.81605	0.00812592
7	-3.80405	-3.81433	0.00714366
8	-3.8144	-3.81434	0.00625071
9	-3.82267	-3.81527	0.00562425
10	-3.81138	-3.81488	0.00507521
11	-3.8	-3.81353	0.00479061
12	-3.80719	-3.813	0.00442041
13	-3.82033	-3.81356	0.00411619
14	-3.83467	-3.81507	0.00408911
15	-3.85465	-3.81771	0.00458971
16	-3.81596	-3.8176	0.00430414
17	-3.81103	-3.81721	0.00406829
18	-3.81582	-3.81714	0.00384301
19	-3.796	-3.81602	0.00379836
20	-3.80262	-3.81535	0.00366711
21	-3.80886	-3.81504	0.00350551
22	-3.81105	-3.81486	0.00335087
23	-3.84024	-3.81597	0.00338203
24	-3.82648	-3.8164	0.00326935
25	-3.83056	-3.81697	0.00318723
26	-3.79828	-3.81625	0.00314462
27	-3.80858	-3.81597	0.00304094
28	-3.79588	-3.81525	0.00301577
29	-3.82405	-3.81555	0.00292702
30	-3.79842	-3.81498	0.00288461
31	-3.82977	-3.81546	0.00283075
32	-3.80374	-3.81509	0.00276588
33	-3.82722	-3.81546	0.00270637
34	-3.80818	-3.81525	0.00263524
35	-3.82596	-3.81555	0.00257766
36	-3.79747	-3.81505	0.00255451
37	-3.84301	-3.81581	0.00259482
38	-3.8096	-3.81564	0.00253167
39	-3.82839	-3.81597	0.00248777
40	-3.83322	-3.8164	0.00246267
41	-3.8147	-3.81636	0.00240296
42	-3.81669	-3.81637	0.00234576
43	-3.85194	-3.81719	0.00243273
44	-3.83049	-3.8175	0.00239613
45	-3.81319	-3.8174	0.00234479
46	-3.85448	-3.81821	0.00242844
47	-3.81688	-3.81818	0.00237693
48	-3.84269	-3.81869	0.00238165
49	-3.80767	-3.81846	0.00234364
50	-3.77734	-3.81764	0.00243683
51	-3.8168	-3.81763	0.0023891
52	-3.80977	-3.81747	0.00234793
53	-3.82036	-3.81753	0.00230426
54	-3.83167	-3.81779	0.00227643
55	-3.84005	-3.8182	0.00227074
56	-3.81323	-3.81811	0.00223193
57	-3.79245	-3.81766	0.0022377
58	-3.8075	-3.81748	0.00220597
59	-3.84498	-3.81795	0.00221726
60	-3.81273	-3.81786	0.00218202
61	-3.80158	-3.81759	0.00216251
62	-3.81528	-3.81756	0.00212795
63	-3.81439	-3.81751	0.00209477
64	-3.82269	-3.81759	0.0020636
65	-3.82162	-3.81765	0.00203279
66	-3.81459	-3.8176	0.00200252
67	-3.79118	-3.81721	0.00201107
68	-3.80572	-3.81704	0.00198858
69	-3.84057	-3.81738	0.00198878
70	-3.76556	-3.81664	0.00209362
71	-3.83384	-3.81688	0.00207811
72	-3.78403	-3.81643	0.00209875
73	-3.77958	-3.81592	0.00212983
74	-3.83861	-3.81623	0.002123
75	-3.78248	-3.81578	0.00214185
76	-3.81454	-3.81576	0.00211373
77	-3.81622	-3.81577	0.00208629
78	-3.80545	-3.81564	0.00206373
79	-3.83591	-3.81589	0.0020535
80	-3.80309	-3.81573	0.00203406
81	-3.77267	-3.8152	0.00207726
82	-3.80514	-3.81508	0.00205554
83	-3.79981	-3.81489	0.002039
84	-3.78529	-3.81454	0.00204495
85	-3.83503	-3.81478	0.00203505
86	-3.812	-3.81475	0.00201164
87	-3.82636	-3.81488	0.00199294
88	-3.81379	-3.81487	0.00197033
89	-3.84699	-3.81523	0.00198096
90	-3.80968	-3.81517	0.00195991
91	-3.83263	-3.81536	0.00194775
92	-3.81297	-3.81534	0.00192675
93	-3.83589	-3.81556	0.00191866
94	-3.81806	-3.81558	0.00189843
95	-3.78656	-3.81528	0.00190288
96	-3.81825	-3.81531	0.00188331
97	-3.81048	-3.81526	0.00186455
98	-3.81048	-3.81521	0.00184617
99	-3.83521	-3.81541	0.00183854
100	-3.78796	-3.81514	0.00184053
101	-3.81311	-3.81512	0.00182242
102	-3.81911	-3.81516	0.00180497
103	-3.80537	-3.81506	0.00178994
104	-3.78212	-3.81475	0.00180055
105	-3.77496	-3.81437	0.00182284
106	-3.7969	-3.8142	0.00181308
107	-3.83282	-3.81438	0.00180446
108	-3.83166	-3.81454	0.00179484
109	-3.80498	-3.81445	0.00178051
110	-3.81184	-3.81442	0.00176448
111	-3.81693	-3.81445	0.00174873
112	-3.79732	-3.81429	0.00173979
113	-3.79237	-3.8141	0.00173517
114	-3.79674	-3.81395	0.00172662
115	-3.82317	-3.81403	0.00171347
116	-3.81708	-3.81405	0.0016989
117	-3.8204	-3.81411	0.00168524
118	-3.82312	-3.81418	0.00167269
119	-3.8297	-3.81432	0.00166371
120	-3.81536	-3.81432	0.00164987
121	-3.80512	-3.81425	0.00163799
122	-3.80024	-3.81413	0.00162858
123	-3.79654	-3.81399	0.00162161
124	-3.7906	-3.8138	0.00161946
125	-3.83184	-3.81395	0.00161292
126	-3.79154	-3.81377	0.00160989
127	-3.81441	-3.81377	0.00159722
128	-3.79527	-3.81363	0.00159127
129	-3.78027	-3.81337	0.00159981
130	-3.80421	-3.8133	0.00158906
131	-3.82471	-3.81339	0.00157931
132	-3.81862	-3.81343	0.00156784
133	-3.81469	-3.81344	0.00155609
134	-3.78449	-3.81322	0.0015594
135	-3.81759	-3.81325	0.00154818
136	-3.80216	-3.81317	0.00153894
137	-3.82782	-3.81328	0.00153142
138	-3.83231	-3.81342	0.00152652
139	-3.80704	-3.81337	0.00151623
140	-3.82722	-3.81347	0.00150862
141	-3.81371	-3.81347	0.00149792
142	-3.8193	-3.81351	0.00148794
143	-3.82936	-3.81362	0.00148166
144	-3.84451	-3.81384	0.00148681
145	-3.81753	-3.81386	0.00147677
146	-3.83774	-3.81403	0.00147569
147	-3.79965	-3.81393	0.00146888
148	-3.80331	-3.81386	0.00146071
149	-3.83025	-3.81397	0.00145504
150	-3.82006	-3.81401	0.00144591
151	-3.85613	-3.81429	0.001463
152	-3.80637	-3.81423	0.0014543
153	-3.8051	-3.81417	0.00144602
154	-3.81009	-3.81415	0.00143687
155	-3.81744	-3.81417	0.00142776
156	-3.82269	-3.81422	0.00141965
157	-3.80247	-3.81415	0.00141258
158	-3.82206	-3.8142	0.00140453
