BLOCK:	DISTANCE:	ACTUAL_G:	AVE_GOFR:	ERROR:
1	0.0128248	0	0	0
1	0.0384745	0	0	0
1	0.0641241	0	0	0
1	0.0897737	0	0	0
1	0.115423	0	0	0
1	0.141073	0	0	0
1	0.166723	0	0	0
1	0.192372	0	0	0
1	0.218022	0	0	0
1	0.243672	0	0	0
1	0.269321	0	0	0
1	0.294971	0	0	0
1	0.32062	0	0	0
1	0.34627	0	0	0
1	0.37192	0	0	0
1	0.397569	0	0	0
1	0.423219	0	0	0
1	0.448869	0	0	0
1	0.474518	0	0	0
1	0.500168	0	0	0
1	0.525818	0	0	0
1	0.551467	0	0	0
1	0.577117	0	0	0
1	0.602767	0	0	0
1	0.628416	0	0	0
1	0.654066	0	0	0
1	0.679715	0	0	0
1	0.705365	0	0	0
1	0.731015	0	0	0
1	0.756664	0	0	0
1	0.782314	0	0	0
1	0.807964	0	0	0
1	0.833613	0	0	0
1	0.859263	0	0	0
1	0.884913	0	0	0
1	0.910562	0	0	0
1	0.936212	0	0	0
1	0.961861	0	0	0
1	0.987511	0	0	0
1	1.01316	0.000789118	0.000789118	0
1	1.03881	0.00534605	0.00534605	0
1	1.06446	0.00665567	0.00665567	0
1	1.09011	0.0107465	0.0107465	0
1	1.11576	0.0187489	0.0187489	0
1	1.14141	0.0323215	0.0323215	0
1	1.16706	0.0398487	0.0398487	0
1	1.19271	0.0424799	0.0424799	0
1	1.21836	0.130513	0.130513	0
1	1.24401	0.0376747	0.0376747	0
1	1.26966	0.0296378	0.0296378	0
1	1.29531	0.0175135	0.0175135	0
1	1.32096	0.012637	0.012637	0
1	1.34661	0.0112253	0.0112253	0
1	1.37226	0.00156072	0.00156072	0
1	1.39791	0.0025325	0.0025325	0
1	1.42355	0.00197318	0.00197318	0
1	1.4492	0	0	0
1	1.47485	0	0	0
1	1.5005	0.000456614	0.000456614	0
1	1.52615	0.000890572	0.000890572	0
1	1.5518	0.00130312	0.00130312	0
1	1.57745	0.00211926	0.00211926	0
1	1.6031	0.00455078	0.00455078	0
1	1.62875	0.00888625	0.00888625	0
1	1.6544	0.0114398	0.0114398	0
1	1.68005	0.0123313	0.0123313	0
1	1.7057	0.0335125	0.0335125	0
1	1.73135	0.0132492	0.0132492	0
1	1.757	0.0115137	0.0115137	0
1	1.78265	0.00844432	0.00844432	0
1	1.8083	0.00688298	0.00688298	0
1	1.83395	0.0050505	0.0050505	0
1	1.8596	0.000988469	0.000988469	0
1	1.88525	0.00129003	0.00129003	0
1	1.9109	0.0022102	0.0022102	0
1	1.93655	0.00401945	0.00401945	0
1	1.9622	0.00847937	0.00847937	0
1	1.98785	0.0139437	0.0139437	0
1	2.0135	0.0174419	0.0174419	0
1	2.03915	0.0327637	0.0327637	0
1	2.0648	0.0340716	0.0340716	0
1	2.09045	0.121573	0.121573	0
1	2.1161	0.0367858	0.0367858	0
1	2.14174	0.025019	0.025019	0
1	2.16739	0.0232517	0.0232517	0
1	2.19304	0.0147023	0.0147023	0
1	2.21869	0.0101991	0.0101991	0
1	2.24434	0.0073248	0.0073248	0
1	2.26999	0.00503343	0.00503343	0
1	2.29564	0.0032947	0.0032947	0
1	2.32129	0.00623975	0.00623975	0
1	2.34694	0.01203	0.01203	0
1	2.37259	0.0104795	0.0104795	0
1	2.39824	0.0142389	0.0142389	0
1	2.42389	0.0452035	0.0452035	0
1	2.44954	0.0154429	0.0154429	0
1	2.47519	0.0103967	0.0103967	0
1	2.50084	0.0085853	0.0085853	0
1	2.52649	0.00723523	0.00723523	0
1	2.55214	0.0051384	0.0051384	0
2	0.0128248	0	0	0
2	0.0384745	0	0	0
2	0.0641241	0	0	0
2	0.0897737	0	0	0
2	0.115423	0	0	0
2	0.141073	0	0	0
2	0.166723	0	0	0
2	0.192372	0	0	0
2	0.218022	0	0	0
2	0.243672	0	0	0
2	0.269321	0	0	0
2	0.294971	0	0	0
2	0.32062	0	0	0
2	0.34627	0	0	0
2	0.37192	0	0	0
2	0.397569	0	0	0
2	0.423219	0	0	0
2	0.448869	0	0	0
2	0.474518	0	0	0
2	0.500168	0	0	0
2	0.525818	0	0	0
2	0.551467	0	0	0
2	0.577117	0	0	0
2	0.602767	0	0	0
2	0.628416	0	0	0
2	0.654066	0	0	0
2	0.679715	0	0	0
2	0.705365	0	0	0
2	0.731015	0	0	0
2	0.756664	0	0	0
2	0.782314	0	0	0
2	0.807964	0	0	0
2	0.833613	0	0	0
2	0.859263	0	0	0
2	0.884913	0	0	0
2	0.910562	0	0	0
2	0.936212	0	0	0
2	0.961861	0	0	0
2	0.987511	0.00326314	0.00163157	0.0011537
2	1.01316	0.00315647	0.0019728	0.000836986
2	1.03881	0.0068735	0.00610978	0.000540033
2	1.06446	0.0110928	0.00887423	0.00156876
2	1.09011	0.0207766	0.0157616	0.00354618
2	1.11576	0.0263874	0.0225682	0.0027006
2	1.14141	0.0323215	0.0323215	0
2	1.16706	0.0496476	0.0447482	0.00346442
2	1.19271	0.0500883	0.0462841	0.00268996
2	1.21836	0.054791	0.0926522	0.0267719
2	1.24401	0.0370767	0.0373757	0.000211429
2	1.26966	0.034868	0.0322529	0.00184915
2	1.29531	0.0214682	0.0194909	0.00139819
2	1.32096	0.0197796	0.0162083	0.0025253
2	1.34661	0.0117599	0.0114926	0.000188988
2	1.37226	0.00728335	0.00442203	0.00202326
2	1.39791	0.006078	0.00430525	0.00125352
2	1.42355	0.00295977	0.00246647	0.000348812
2	1.4492	0.00336416	0.00168208	0.00118941
2	1.47485	0.00140513	0.000702563	0.000496787
2	1.5005	0.000913227	0.00068492	0.000161437
2	1.52615	0.00133586	0.00111322	0.000157432
2	1.5518	0.00347498	0.00238905	0.000767869
2	1.57745	0.00211926	0.00211926	0
2	1.6031	0.0053782	0.00496449	0.000292535
2	1.62875	0.0117137	0.0103	0.000999652
2	1.6544	0.0126232	0.0120315	0.000418403
2	1.68005	0.0127167	0.012524	0.000136243
2	1.7057	0.0210865	0.0272995	0.00439324
2	1.73135	0.011409	0.0123291	0.000650595
2	1.757	0.00755588	0.0095348	0.00139931
2	1.78265	0.00774062	0.00809247	0.000248793
2	1.8083	0.00963618	0.00825958	0.000973401
2	1.83395	0.00572391	0.0053872	0.000238083
2	1.8596	0.00658979	0.00378913	0.00198037
2	1.88525	0.0048376	0.00306381	0.00125426
2	1.9109	0.00947228	0.00584124	0.00256753
2	1.93655	0.00989402	0.00695673	0.00207698
2	1.9622	0.0139304	0.0112049	0.00192723
2	1.98785	0.0180971	0.0160204	0.00146846
2	2.0135	0.024128	0.020785	0.00236389
