BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.65	1.65	0
2	1.65	1.65	2.58096e-09
3	1.65	1.65	2.10734e-09
4	1.65	1.65	1.82501e-09
5	1.65	1.65	1.19952e-08
6	1.65	1.65	1.49012e-09
7	1.65	1.65	7.84462e-09
8	1.65	1.65	7.33797e-09
9	1.65	1.65	6.91831e-09
10	1.65	1.65	1.26791e-08
11	1.65	1.65	1.20891e-08
12	1.65	1.65	1.25707e-08
13	1.65	1.65	1.20775e-08
14	1.65	1.65	1.16382e-08
15	1.65	1.65	1.2069e-08
16	1.65	1.65	1.16858e-08
17	1.65	1.65	1.13369e-08
18	1.65	1.65	1.10175e-08
19	1.65	1.65	1.141e-08
20	1.65	1.65	1.11211e-08
21	1.65	1.65	9.10476e-09
22	1.65	1.65	8.89543e-09
23	1.65	1.65	6.6204e-09
24	1.65	1.65	6.48101e-09
25	1.65	1.65	3.31865e-09
26	1.65	1.65	5.26024e-09
27	1.65	1.65	7.02447e-10
28	1.65	1.65	3.92231e-09
29	1.65	1.65	3.85409e-09
30	1.65	1.65	3.78931e-09
31	1.65	1.65	2.14106e-09
32	1.65	1.65	2.10734e-09
33	1.65	1.65	2.07517e-09
34	1.65	1.65	4.15224e-09
35	1.65	1.65	2.04625e-09
36	1.65	1.65	2.01763e-09
37	1.65	1.65	1.99017e-09
38	1.65	1.65	2.79821e-09
39	1.65	1.65	2.76211e-09
40	1.65	1.65	5.07515e-09
41	1.65	1.65	6.5575e-09
42	1.65	1.65	6.47897e-09
43	1.65	1.65	8.26856e-09
44	1.65	1.65	8.17406e-09
45	1.65	1.65	9.03403e-09
46	1.65	1.65	8.9353e-09
47	1.65	1.65	9.68149e-09
48	1.65	1.65	9.58011e-09
49	1.65	1.65	9.48185e-09
50	1.65	1.65	1.05662e-08
51	1.65	1.65	1.04621e-08
52	1.65	1.65	1.102e-08
53	1.65	1.65	1.09156e-08
54	1.65	1.65	1.0814e-08
55	1.65	1.65	1.13199e-08
56	1.65	1.65	1.12184e-08
57	1.65	1.65	1.11195e-08
58	1.65	1.65	1.10232e-08
59	1.65	1.65	1.18067e-08
60	1.65	1.65	1.17079e-08
61	1.65	1.65	1.16116e-08
62	1.65	1.65	1.20197e-08
63	1.65	1.65	1.19239e-08
64	1.65	1.65	1.18304e-08
65	1.65	1.65	1.1739e-08
66	1.65	1.65	1.16497e-08
67	1.65	1.65	1.20261e-08
68	1.65	1.65	1.19374e-08
69	1.65	1.65	1.18505e-08
70	1.65	1.65	1.17656e-08
71	1.65	1.65	1.16824e-08
72	1.65	1.65	1.22853e-08
73	1.65	1.65	1.22009e-08
74	1.65	1.65	1.21181e-08
75	1.65	1.65	1.20371e-08
76	1.65	1.65	1.19576e-08
77	1.65	1.65	1.22737e-08
78	1.65	1.65	1.18033e-08
79	1.65	1.65	1.17284e-08
80	1.65	1.65	1.16549e-08
81	1.65	1.65	1.15827e-08
82	1.65	1.65	1.18936e-08
83	1.65	1.65	1.18218e-08
84	1.65	1.65	1.17512e-08
85	1.65	1.65	1.16819e-08
86	1.65	1.65	1.16137e-08
87	1.65	1.65	1.15468e-08
88	1.65	1.65	1.1481e-08
89	1.65	1.65	1.14163e-08
90	1.65	1.65	1.17058e-08
91	1.65	1.65	1.16413e-08
92	1.65	1.65	1.17845e-08
93	1.65	1.65	1.1721e-08
94	1.65	1.65	1.16585e-08
95	1.65	1.65	1.15969e-08
96	1.65	1.65	1.13341e-08
97	1.65	1.65	1.10707e-08
98	1.65	1.65	1.13484e-08
99	1.65	1.65	1.10905e-08
100	1.65	1.65	1.10349e-08
101	1.65	1.65	1.07781e-08
102	1.65	1.65	1.05202e-08
103	1.65	1.65	1.0469e-08
104	1.65	1.65	1.02115e-08
105	1.65	1.65	1.01628e-08
106	1.65	1.65	9.90548e-09
107	1.65	1.65	9.85909e-09
108	1.65	1.65	9.94858e-09
109	1.65	1.65	9.90284e-09
110	1.65	1.65	9.65078e-09
111	1.65	1.65	9.60721e-09
112	1.65	1.65	9.35464e-09
113	1.65	1.65	9.31316e-09
114	1.65	1.65	9.27222e-09
115	1.65	1.65	9.02025e-09
116	1.65	1.65	8.98128e-09
117	1.65	1.65	8.72802e-09
118	1.65	1.65	8.69096e-09
119	1.65	1.65	8.43601e-09
120	1.65	1.65	8.40078e-09
121	1.65	1.65	8.72042e-09
122	1.65	1.65	8.47244e-09
123	1.65	1.65	8.43793e-09
124	1.65	1.65	8.18799e-09
125	1.65	1.65	8.15517e-09
126	1.65	1.65	8.12274e-09
127	1.65	1.65	7.87164e-09
128	1.65	1.65	7.84083e-09
129	1.65	1.65	7.81038e-09
130	1.65	1.65	7.55756e-09
131	1.65	1.65	7.52866e-09
132	1.65	1.65	7.50009e-09
133	1.65	1.65	7.24495e-09
134	1.65	1.65	7.21787e-09
135	1.65	1.65	7.19109e-09
136	1.65	1.65	6.93297e-09
137	1.65	1.65	7.28449e-09
138	1.65	1.65	7.25805e-09
139	1.65	1.65	7.00752e-09
140	1.65	1.65	6.98245e-09
141	1.65	1.65	6.95765e-09
142	1.65	1.65	6.93311e-09
143	1.65	1.65	6.68029e-09
144	1.65	1.65	6.65706e-09
145	1.65	1.65	6.63406e-09
146	1.65	1.65	6.37712e-09
147	1.65	1.65	6.35539e-09
148	1.65	1.65	6.33388e-09
149	1.65	1.65	6.31259e-09
150	1.65	1.65	6.05166e-09
151	1.65	1.65	6.03159e-09
152	1.65	1.65	6.01171e-09
153	1.65	1.65	5.99203e-09
154	1.65	1.65	5.72605e-09
155	1.65	1.65	5.70755e-09
156	1.65	1.65	5.68922e-09
157	1.65	1.65	5.67108e-09
158	1.65	1.65	4.95068e-09
159	1.65	1.65	4.44372e-09
160	1.65	1.65	3.8786e-09
161	1.65	1.65	3.86653e-09
162	1.65	
