BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.833359	0.833359	0
2	0.842377	0.837868	0.00318807
3	0.849189	0.841642	0.00374321
4	0.852775	0.844425	0.00370018
5	0.856896	0.846919	0.00370666
6	0.858052	0.848775	0.00352283
7	0.861089	0.850534	0.0034308
8	0.857858	0.851449	0.00312171
9	0.859177	0.852308	0.00289052
10	0.862076	0.853285	0.00276159
11	0.867569	0.854583	0.00279922
12	0.867461	0.855656	0.00276402
13	0.867639	0.856578	0.00270071
14	0.865665	0.857227	0.00258462
15	0.864744	0.857728	0.00246041
16	0.863593	0.858095	0.00233378
17	0.863916	0.858437	0.00222148
18	0.863259	0.858705	0.00211415
19	0.864489	0.85901	0.00202468
20	0.863508	0.859235	0.0019359
21	0.863997	0.859461	0.00185695
22	0.86864	0.859879	0.0018188
23	0.872514	0.860428	0.0018208
24	0.870492	0.860847	0.00179257
25	0.870436	0.861231	0.00176142
26	0.87001	0.861568	0.00172573
27	0.873416	0.862007	0.0017167
28	0.875936	0.862505	0.00172595
29	0.87432	0.862912	0.00171385
30	0.87351	0.863265	0.00169274
31	0.870463	0.863498	0.00165398
32	0.874468	0.86384	0.00163744
33	0.877606	0.864258	0.00164009
34	0.876693	0.864623	0.00163212
35	0.877179	0.864982	0.00162444
36	0.876851	0.865312	0.00161243
37	0.873559	0.865535	0.00158418
38	0.874864	0.86578	0.0015614
39	0.872308	0.865947	0.00153031
40	0.875075	0.866176	0.00150897
41	0.875706	0.866408	0.00148996
42	0.878297	0.866691	0.00148113
43	0.876283	0.866914	0.00146338
44	0.873414	0.867062	0.00143756
45	0.875795	0.867256	0.00141866
46	0.881485	0.867565	0.00142114
47	0.883827	0.867911	0.0014324
48	0.886495	0.868299	0.00145394
49	0.884005	0.868619	0.00145917
50	0.879972	0.868846	0.00144755
51	0.879849	0.869062	0.00143515
52	0.882244	0.869315	0.00142977
53	0.885743	0.869625	0.001436
54	0.884484	0.869901	0.00143553
55	0.882066	0.870122	0.00142637
56	0.883307	0.870357	0.0014202
57	0.880185	0.87053	0.00140571
58	0.883798	0.870758	0.00139996
59	0.88401	0.870983	0.00139414
60	0.886687	0.871245	0.00139525
61	0.883792	0.87145	0.00138746
62	0.880711	0.8716	0.0013731
63	0.876587	0.871679	0.00135358
64	0.877411	0.871768	0.00133539
65	0.879052	0.871881	0.00131954
66	0.877078	0.871959	0.0013019
67	0.881185	0.872097	0.00128973
68	0.883517	0.872265	0.00128165
69	0.883802	0.872432	0.00127393
70	0.880807	0.872552	0.00126134
71	0.881485	0.872678	0.00124983
72	0.886203	0.872865	0.00124651
73	0.887504	0.873066	0.00124546
74	0.886614	0.873249	0.00124201
75	0.882633	0.873374	0.00123174
76	0.881338	0.873479	0.00121998
77	0.885744	0.873638	0.00121449
78	0.885965	0.873796	0.00120916
79	0.887321	0.873967	0.00120592
80	0.887455	0.874136	0.00120257
81	0.886282	0.874286	0.00119703
82	0.885176	0.874419	0.00118978
83	0.886661	0.874566	0.00118455
84	0.884057	0.874679	0.00117583
85	0.88176	0.874763	0.00116494
86	0.882933	0.874858	0.00115526
87	0.886508	0.874992	0.00114972
88	0.887996	0.875139	0.00114611
89	0.890492	0.875312	0.00114614
90	0.888384	0.875457	0.00114257
91	0.887887	0.875594	0.00113815
92	0.885924	0.875706	0.00113131
93	0.885801	0.875814	0.00112434
94	0.884065	0.875902	0.0011158
95	0.881789	0.875964	0.00110577
96	0.877705	0.875982	0.0010944
97	0.880434	0.876028	0.00108408
98	0.882402	0.876093	0.00107497
99	0.884744	0.876181	0.00106765
100	0.887968	0.876299	0.00106346
101	0.887492	0.876409	0.00105869
102	0.889616	0.876539	0.0010562
103	0.890351	0.876673	0.00105443
104	0.890865	0.876809	0.00105308
105	0.887512	0.876911	0.00104797
106	0.88926	0.877028	0.00104454
107	0.886059	0.877112	0.00103818
108	0.883198	0.877169	0.0010301
109	0.884512	0.877236	0.00102285
110	0.884614	0.877303	0.00101575
111	0.881896	0.877344	0.00100744
112	0.883578	0.8774	0.00099998
113	0.883662	0.877455	0.000992665
114	0.885348	0.877525	0.000986369
115	0.884383	0.877584	0.000979593
116	0.884371	0.877643	0.000972894
117	0.883586	0.877694	0.000965903
118	0.887591	0.877778	0.000961353
119	0.883722	0.877827	0.000954571
120	0.886077	0.877896	0.000949089
121	0.88917	0.877989	0.000945808
122	0.888627	0.878077	0.000942066
123	0.893363	0.878201	0.000942569
124	0.890406	0.878299	0.000940093
125	0.891902	0.878408	0.000938849
126	0.888146	0.878485	0.000934573
127	0.886157	0.878546	0.000929164
128	0.889
