BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.1	1.1	0
2	1.1	1.1	5.16191e-09
3	1.1	1.1	4.21468e-09
4	1.1	1.1	3.65002e-09
5	1.1	1.1	3.26468e-09
6	1.1	1.1	2.98023e-09
7	1.1	1.1	2.75916e-09
8	1.1	1.1	2.58096e-09
9	1.1	1.1	2.43335e-09
10	1.1	1.1	6.59703e-09
11	1.1	1.1	6.29002e-09
12	1.1	1.1	6.02223e-09
13	1.1	1.1	5.78597e-09
14	1.1	1.1	5.5755e-09
15	1.1	1.1	5.38645e-09
16	1.1	1.1	5.21541e-09
17	1.1	1.1	5.05969e-09
18	1.1	1.1	1.72064e-09
19	1.1	1.1	1.67475e-09
20	1.1	1.1	1.63234e-09
21	1.1	1.1	1.593e-09
22	1.1	1.1	4.96254e-09
23	1.1	1.1	4.85346e-09
24	1.1	1.1	4.75127e-09
25	1.1	1.1	4.65527e-09
26	1.1	1.1	4.56487e-09
27	1.1	1.1	4.47954e-09
28	1.1	1.1	6.06597e-09
29	1.1	1.1	5.96046e-09
30	1.1	1.1	5.86028e-09
31	1.1	1.1	5.76499e-09
32	1.1	1.1	5.67419e-09
33	1.1	1.1	5.58756e-09
34	1.1	1.1	5.50478e-09
35	1.1	1.1	5.42557e-09
36	1.1	1.1	5.34968e-09
37	1.1	1.1	5.27689e-09
38	1.1	1.1	5.207e-09
39	1.1	1.1	6.24045e-09
40	1.1	1.1	6.16195e-09
41	1.1	1.1	6.08634e-09
42	1.1	1.1	6.01345e-09
43	1.1	1.1	5.94311e-09
44	1.1	1.1	5.87519e-09
45	1.1	1.1	5.80954e-09
46	1.1	1.1	5.74605e-09
47	1.1	1.1	5.68459e-09
48	1.1	1.1	5.62506e-09
49	1.1	1.1	5.56737e-09
50	1.1	1.1	5.51142e-09
51	1.1	1.1	5.45711e-09
52	1.1	1.1	5.40439e-09
53	1.1	1.1	5.35316e-09
54	1.1	1.1	5.30336e-09
55	1.1	1.1	5.62596e-09
56	1.1	1.1	5.5755e-09
57	1.1	1.1	5.86825e-09
58	1.1	1.1	5.81744e-09
59	1.1	1.1	6.08544e-09
60	1.1	1.1	6.03451e-09
61	1.1	1.1	5.60805e-09
62	1.1	1.1	5.56264e-09
63	1.1	1.1	5.12078e-09
64	1.1	1.1	5.08062e-09
65	1.1	1.1	5.04139e-09
66	1.1	1.1	4.58185e-09
67	1.1	1.1	4.54752e-09
68	1.1	1.1	4.05678e-09
69	1.1	1.1	4.02727e-09
70	1.1	1.1	3.9984e-09
71	1.1	1.1	3.46543e-09
72	1.1	1.1	3.44128e-09
73	1.1	1.1	3.41762e-09
74	1.1	1.1	2.81453e-09
75	1.1	1.1	2.79571e-09
76	1.1	1.1	2.77725e-09
77	1.1	1.1	1.12642e-09
78	1.1	1.1	2.02467e-09
79	1.1	1.1	2.01181e-09
80	1.1	1.1	1.45239e-09
81	1.1	1.1	1.44339e-09
82	1.1	1.1	8.06155e-10
83	1.1	1.1	8.01284e-10
84	1.1	1.1	2.27619e-09
85	1.1	1.1	2.26276e-09
86	1.1	1.1	1.57437e-09
87	1.1	1.1	1.56529e-09
88	1.1	1.1	2.82372e-09
89	1.1	1.1	2.80782e-09
90	1.1	1.1	2.30848e-09
91	1.1	1.1	2.29576e-09
92	1.1	1.1	3.24391e-09
93	1.1	1.1	3.22643e-09
94	1.1	1.1	3.20922e-09
95	1.1	1.1	3.19228e-09
96	1.1	1.1	2.78775e-09
97	1.1	1.1	3.56756e-09
98	1.1	1.1	3.54931e-09
99	1.1	1.1	3.53134e-09
100	1.1	1.1	3.51364e-09
101	1.1	1.1	3.16623e-09
102	1.1	1.1	3.15067e-09
103	1.1	1.1	3.81746e-09
104	1.1	1.1	3.79907e-09
105	1.1	1.1	3.78093e-09
106	1.1	1.1	3.76305e-09
107	1.1	1.1	3.74543e-09
108	1.1	1.1	3.99429e-09
109	1.1	1.1	4.5044e-09
110	1.1	1.1	4.48387e-09
111	1.1	1.1	4.68235e-09
112	1.1	1.1	4.6614e-09
113	1.1	1.1	4.84782e-09
114	1.1	1.1	4.82651e-09
115	1.1	1.1	4.80548e-09
116	1.1	1.1	5.38692e-09
117	1.1	1.1	5.36385e-09
118	1.1	1.1	5.51442e-09
119	1.1	1.1	5.4912e-09
120	1.1	1.1	5.46827e-09
121	1.1	1.1	5.61159e-09
122	1.1	1.1	5.58855e-09
123	1.1	1.1	5.56578e-09
124	1.1	1.1	6.03807e-09
125	1.1	1.1	6.01387e-09
126	1.1	1.1	5.98996e-09
127	1.1	1.1	6.11109e-09
128	1.1	1.1	6.08717e-09
129	1.1	1.1	6.06353e-09
130	1.1	1.1	6.17994e-09
131	1.1	1.1	6.15631e-09
132	1.1	1.1	6.13294e-09
133	1.1	1.1	6.53243e-09
134	1.1	1.1	6.50801e-09
135	1.1	1.1	6.48386e-09
136	1.1	1.1	6.45998e-09
137	1.1	1.1	6.56106e-09
138	1.1	1.1	6.53724e-09
139	1.1	1.1	6.51368e-09
140	1.1	1.1	6.49038e-09
141	1.1	1.1	6.58795e-09
142	1.1	1.1	6.56471e-09
143	1.1	1.1	6.54172e-09
144	1.1	1.1	6.77416e-09
145	1.1	1.1	6.86324e-09
146	1.1	1.1	6.8397e-09
147	1.1	1.1	6.81639e-09
148	1.1	1.1	6.79333e-09
149	1.1	1.1	6.87966e-09
150	1.1	1.1	6.85669e-09
151	1.1	1.1	6.83395e-09
152	1.1	1.1	6.81143e-09
153	1.1	1.1	6.89519e-09
154	1.1	1.1	6.87277e-09
155	1.1	1.1	6.85056e-09
156	1.1	1.1	7.05413e-09
157	1.1	1.1	7.03163e-09
158	1.1	1.1	7.10888e-09
159	1.1	1.1	7.08649e-09
160	1.1	1.1	7.06431e-09
161	1.1	1.1	7.04234e-09
162	1.1	1.1	7.02057e-09
163	1.1	1.1	7.09565e-09
164	1.1	1.1	7.07399e-09
165	1.1	1.1	7.05252e-09
166	1.1	1.1	7.03124e-09
167	1.1	1.1	7.01016e-09
168	1.1	1.1	7.08318e-09
