BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-4.95522	-4.95522	0
2	-4.79184	-4.87353	0.057765
3	-4.65684	-4.8013	0.0704338
4	-4.58177	-4.74642	0.0710609
5	-4.49398	-4.69593	0.0726008
6	-4.46597	-4.6576	0.0698887
7	-4.40439	-4.62143	0.0686303
8	-4.46652	-4.60207	0.0627237
9	-4.44545	-4.58466	0.0581182
10	-4.38092	-4.56429	0.0557634
11	-4.24748	-4.53549	0.0576541
12	-4.27194	-4.51353	0.0568792
13	-4.26137	-4.49413	0.055713
14	-4.30896	-4.4809	0.0532804
15	-4.35727	-4.47266	0.0503619
16	-4.37047	-4.46627	0.0476176
17	-4.3699	-4.46061	0.0451527
18	-4.38197	-4.45624	0.042855
19	-4.35812	-4.45107	0.0409094
20	-4.40918	-4.44898	0.0389176
21	-4.40592	-4.44693	0.0371183
22	-4.28574	-4.4396	0.036147
23	-4.19928	-4.42915	0.0360539
24	-4.23806	-4.42119	0.0354199
25	-4.2381	-4.41387	0.034752
26	-4.26019	-4.40796	0.0339143
27	-4.19758	-4.40016	0.0335413
28	-4.13865	-4.39082	0.0336186
29	-4.16432	-4.38301	0.0333543
30	-4.17889	-4.37621	0.0329292
31	-4.26627	-4.37266	0.0320574
32	-4.16106	-4.36605	0.0317302
33	-4.08831	-4.35763	0.0318654
34	-4.0957	-4.34993	0.0318459
35	-4.08895	-4.34247	0.031797
36	-4.07987	-4.33518	0.0317395
37	-4.15131	-4.33021	0.0312682
38	-4.12987	-4.32494	0.0308866
39	-4.20649	-4.3219	0.0302436
40	-4.14684	-4.31752	0.0298025
41	-4.14826	-4.3134	0.0293602
42	-4.09966	-4.30831	0.0290988
43	-4.12219	-4.30398	0.0287422
44	-4.19346	-4.30147	0.0281985
45	-4.15279	-4.29816	0.0277648
46	-4.04253	-4.29261	0.0277118
47	-3.98172	-4.28599	0.0279004
48	-3.89513	-4.27785	0.0284826
49	-3.98135	-4.2718	0.0285369
50	-4.09765	-4.26831	0.0281779
51	-4.08931	-4.2648	0.0278431
52	-4.03617	-4.26041	0.0276526
53	-3.95772	-4.2547	0.0277143
54	-3.98828	-4.24976	0.0276368
55	-4.04099	-4.24597	0.0273937
56	-4.00403	-4.24165	0.0272431
57	-4.06614	-4.23857	0.0269386
58	-3.95463	-4.23367	0.0269153
59	-3.94655	-4.22881	0.0268954
60	-3.87793	-4.22296	0.0270755
61	-3.95471	-4.21856	0.0269864
62	-4.02076	-4.21537	0.026739
63	-4.12827	-4.21399	0.0263503
64	-4.10654	-4.21231	0.025992
65	-4.04569	-4.20975	0.0257182
66	-4.09532	-4.20801	0.0253869
67	-4.01895	-4.20519	0.0251643
68	-3.95699	-4.20154	0.0250576
69	-3.93049	-4.19761	0.0250005
70	-4.01272	-4.19497	0.0247824
71	-3.99168	-4.19211	0.0245982
72	-3.8891	-4.1879	0.024614
73	-3.86788	-4.18351	0.0246641
74	-3.88881	-4.17953	0.0246502
75	-3.97137	-4.17676	0.0244773
76	-3.98929	-4.17429	0.0242792
77	-3.90946	-4.17085	0.0242063
78	-3.92059	-4.16764	0.0241076
79	-3.9012	-4.16427	0.0240373
80	-3.87821	-4.16069	0.0240013
81	-3.89501	-4.15741	0.023928
82	-3.92851	-4.15462	0.0237985
83	-3.90904	-4.15166	0.023695
84	-3.97657	-4.14958	0.0235044
85	-4.02156	-4.14807	0.0232761
86	-3.9988	-4.14634	0.0230701
87	-3.88866	-4.14338	0.0229942
88	-3.85396	-4.14009	0.0229669
89	-3.7633	-4.13585	0.0230958
90	-3.83329	-4.13249	0.0230825
91	-3.84702	-4.12935	0.023041
92	-3.89714	-4.12683	0.0229284
93	-3.91839	-4.12459	0.0227912
94	-3.95835	-4.12282	0.0226172
95	-4.0132	-4.12167	0.0224086
96	-4.1375	-4.12183	0.0221758
97	-4.08079	-4.12141	0.0219512
98	-4.03031	-4.12048	0.0217469
99	-3.98274	-4.11909	0.0215717
100	-3.9027	-4.11692	0.0214642
101	-3.91781	-4.11495	0.021342
102	-3.87719	-4.11262	0.0212597
103	-3.83608	-4.10994	0.0212222
104	-3.84283	-4.10737	0.0211729
105	-3.9437	-4.10581	0.0210286
106	-3.90896	-4.10395	0.020912
107	-3.97799	-4.10277	0.0207497
108	-4.03678	-4.10216	0.0205666
109	-4.02083	-4.10142	0.0203914
110	-4.01928	-4.10067	0.0202197
111	-4.08921	-4.10057	0.0200378
112	-4.03531	-4.09998	0.0198674
113	-4.03496	-4.09941	0.0196999
114	-3.99145	-4.09846	0.0195498
115	-4.00955	-4.09769	0.0193951
116	-4.01193	-4.09695	0.019242
117	-4.01798	-4.09627	0.0190894
118	-3.9057	-4.09466	0.0189958
119	-4.00596	-4.09391	0.0188508
120	-3.93379	-4.09258	0.0187409
121	-3.85319	-4.0906	0.0186901
122	-3.86145	-4.08872	0.0186311
123	-3.74946	-4.08597	0.0186827
124	-3.82781	-4.08388	0.0186476
125	-3.76224	-4.08131	0.0186751
126	-3.87395	-4.07966	0.0185993
127	-3.91022	-4.07833	0.0185006
128	-3.82212	-4.07633	0.0184641
129	-3.83365	-4.07445	0.0184165
130	-3.8138	-4.07244	0.0183837
131	-3.81991	-4.07051	0.0183441
132	-3.79743	-4.06845	0.01
