BLOCK:	DISTANCE:	ACTUAL_G:	AVE_GOFR:	ERROR:
1	0.0115332	0	0	0
1	0.0345996	0	0	0
1	0.0576661	0	0	0
1	0.0807325	0	0	0
1	0.103799	0	0	0
1	0.126865	0	0	0
1	0.149932	0	0	0
1	0.172998	0	0	0
1	0.196065	0	0	0
1	0.219131	0	0	0
1	0.242198	0	0	0
1	0.265264	0	0	0
1	0.28833	0	0	0
1	0.311397	0	0	0
1	0.334463	0	0	0
1	0.35753	0	0	0
1	0.380596	0	0	0
1	0.403663	0	0	0
1	0.426729	0	0	0
1	0.449795	0	0	0
1	0.472862	0	0	0
1	0.495928	0	0	0
1	0.518995	0	0	0
1	0.542061	0	0	0
1	0.565128	0	0	0
1	0.588194	0	0	0
1	0.61126	0	0	0
1	0.634327	0	0	0
1	0.657393	0	0	0
1	0.68046	0	0	0
1	0.703526	0	0	0
1	0.726593	0	0	0
1	0.749659	0	0	0
1	0.772725	0	0	0
1	0.795792	0	0	0
1	0.818858	0	0	0
1	0.841925	0	0	0
1	0.864991	0	0	0
1	0.888058	0	0	0
1	0.911124	2.88643e-05	2.88643e-05	0
1	0.93419	0.000441204	0.000441204	0
1	0.957257	0.0027719	0.0027719	0
1	0.980323	0.0100004	0.0100004	0
1	1.00339	0.0224269	0.0224269	0
1	1.02646	0.0368071	0.0368071	0
1	1.04952	0.0480795	0.0480795	0
1	1.07259	0.0515	0.0515	0
1	1.09566	0.048327	0.048327	0
1	1.11872	0.0396879	0.0396879	0
1	1.14179	0.0294294	0.0294294	0
1	1.16485	0.0203816	0.0203816	0
1	1.18792	0.0127264	0.0127264	0
1	1.21099	0.00747147	0.00747147	0
1	1.23405	0.00397021	0.00397021	0
1	1.25712	0.0020495	0.0020495	0
1	1.28019	0.00100452	0.00100452	0
1	1.30325	0.000576373	0.000576373	0
1	1.32632	0.000469734	0.000469734	0
1	1.34939	0.00072964	0.00072964	0
1	1.37245	0.00130782	0.00130782	0
1	1.39552	0.00241626	0.00241626	0
1	1.41859	0.00384025	0.00384025	0
1	1.44165	0.00569968	0.00569968	0
1	1.46472	0.00796129	0.00796129	0
1	1.48778	0.0102566	0.0102566	0
1	1.51085	0.0118095	0.0118095	0
1	1.53392	0.0126712	0.0126712	0
1	1.55698	0.0119753	0.0119753	0
1	1.58005	0.010556	0.010556	0
1	1.60312	0.00837069	0.00837069	0
1	1.62618	0.00620187	0.00620187	0
1	1.64925	0.00431316	0.00431316	0
1	1.67232	0.00306822	0.00306822	0
