BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-7.55414	-7.55414	0
2	-7.54526	-7.5497	0.00313958
3	-7.53754	-7.54564	0.0039156
4	-7.56471	-7.55041	0.0050657
5	-7.55787	-7.5519	0.00426648
6	-7.53356	-7.54884	0.00451958
7	-7.53736	-7.5472	0.0041609
8	-7.5535	-7.54799	0.00371442
9	-7.53369	-7.5464	0.00362562
10	-7.53958	-7.54572	0.00332668
11	-7.56758	-7.54771	0.00356896
12	-7.56334	-7.54901	0.00350115
13	-7.54321	-7.54856	0.00326016
14	-7.53884	-7.54787	0.00310033
15	-7.54157	-7.54745	0.00292196
16	-7.53365	-7.54659	0.00286372
17	-7.51344	-7.54464	0.00329283
18	-7.562	-7.5456	0.00324812
19	-7.55871	-7.54629	0.00314961
20	-7.54876	-7.54642	0.00299454
21	-7.52994	-7.54563	0.00295288
22	-7.55373	-7.546	0.00284152
23	-7.54284	-7.54586	0.00272129
24	-7.53935	-7.54559	0.00262141
25	-7.565	-7.54637	0.00262897
26	-7.54756	-7.54641	0.00252826
27	-7.52895	-7.54577	0.002516
28	-7.52423	-7.545	0.00254099
29	-7.54194	-7.54489	0.00245556
30	-7.56427	-7.54554	0.00245724
31	-7.54393	-7.54549	0.00237852
32	-7.54347	-7.54542	0.00230502
33	-7.57427	-7.5463	0.00239525
34	-7.56722	-7.54691	0.00240257
35	-7.53996	-7.54671	0.00234213
36	-7.54095	-7.54655	0.00228254
37	-7.53629	-7.54628	0.00223764
38	-7.5629	-7.54671	0.00222109
39	-7.5535	-7.54689	0.00217095
40	-7.53642	-7.54663	0.00213239
41	-7.53719	-7.5464	0.00209276
42	-7.54751	-7.54642	0.0020431
43	-7.53546	-7.54617	0.00201144
44	-7.54885	-7.54623	0.00196665
45	-7.55009	-7.54631	0.00192482
46	-7.53764	-7.54613	0.00189219
47	-7.56751	-7.54658	0.00190586
48	-7.54949	-7.54664	0.00186712
49	-7.53738	-7.54645	0.00183855
50	-7.54776	-7.54648	0.00180197
51	-7.55645	-7.54667	0.0017772
52	-7.53505	-7.54645	0.00175704
53	-7.54201	-7.54637	0.00172589
54	-7.55118	-7.54646	0.00169623
55	-7.54395	-7.54641	0.001666
56	-7.54447	-7.54637	0.00163661
57	-7.52633	-7.54602	0.00164524
58	-7.53503	-7.54583	0.00162776
59	-7.56142	-7.5461	0.00162148
60	-7.55333	-7.54622	0.00159893
61	-7.57603	-7.54671	0.00164573
62	-7.52599	-7.54637	0.00165276
63	-7.55859	-7.54657	0.00163786
