BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.959159	0.959159	0
2	0.959456	0.959307	0.000104939
3	0.959587	0.9594	0.000103351
4	0.958992	0.959298	0.000117619
5	0.959087	0.959256	0.000101382
6	0.959873	0.959359	0.000126283
7	0.960322	0.959496	0.00016722
8	0.960353	0.959604	0.000177306
9	0.960719	0.959727	0.000196208
10	0.959869	0.959742	0.0001771
11	0.959015	0.959676	0.000172867
12	0.959112	0.959629	0.000164726
13	0.95986	0.959646	0.000153017
14	0.959898	0.959664	0.000143135
15	0.960346	0.95971	0.000140618
16	0.960538	0.959762	0.00014103
17	0.960391	0.959799	0.000137503
18	0.958903	0.959749	0.000138565
19	0.958943	0.959706	0.00013761
20	0.959744	0.959708	0.000130742
21	0.960298	0.959736	0.0001275
22	0.959898	0.959744	0.000121915
23	0.959884	0.95975	0.000116766
24	0.960289	0.959772	0.000114043
25	0.958817	0.959734	0.000115712
26	0.959475	0.959724	0.000111689
27	0.960047	0.959736	0.000108191
28	0.960388	0.959759	0.000106806
29	0.960118	0.959772	0.000103837
30	0.958879	0.959742	0.000104558
31	0.959332	0.959729	0.000102019
32	0.959946	0.959736	9.90564e-05
33	0.958601	0.959701	0.000101843
34	0.958877	0.959677	0.00010169
35	0.95915	0.959662	9.98914e-05
36	0.960118	0.959675	9.79168e-05
37	0.959661	0.959674	9.52711e-05
38	0.959933	0.959681	9.30075e-05
39	0.959069	0.959665	9.19372e-05
40	0.959281	0.959656	9.01405e-05
41	0.959564	0.959653	8.79694e-05
42	0.960105	0.959664	8.65297e-05
43	0.960278	0.959679	8.56847e-05
44	0.959673	0.959678	8.37375e-05
45	0.959186	0.959667	8.25888e-05
46	0.960799	0.959692	8.43779e-05
47	0.959364	0.959685	8.28711e-05
48	0.959347	0.959678	8.14434e-05
49	0.959607	0.959677	7.97944e-05
50	0.95916	0.959666	7.88642e-05
51	0.960581	0.959684	7.93319e-05
52	0.959682	0.959684	7.78063e-05
53	0.959604	0.959683	7.63529e-05
54	0.959143	0.959673	7.55894e-05
55	0.960207	0.959682	7.48366e-05
56	0.959684	0.959682	7.35002e-05
57	0.960583	0.959698	7.38889e-05
58	0.95987	0.959701	7.26745e-05
59	0.959724	0.959702	7.14438e-05
60	0.95955	0.959699	7.02978e-05
61	0.958678	0.959682	7.11082e-05
62	0.960501	0.959695	7.11768e-05
63	0.95852	0.959677	7.24501e-05
64	0.959484	0.959674	7.13804e-05
65	0.958793	0.95966	7.15568e-05
66	0.959058	0.959651	7.10521e-05
67	0.95974	0.959652	7.00039e-05
68	0.959322	0.959648	6.91434e-05
69	0.959878	0.959651	6.82215e-05
70	0.960219	0.959659	6.77274e-05
71	0.961084	0.959679	6.96847e-05
72	0.959629	0.959678	6.87204e-05
73	0.960137	0.959685	6.80661e-05
74	0.960047	0.95969	6.73217e-05
75	0.960131	0.959695	6.66804e-05
76	0.960013	0.9597	6.59342e-05
77	0.959335	0.959695	6.5248e-05
78	0.96016	0.959701	6.46831e-05
79	0.958732	0.959689	6.50174e-05
80	0.96098	0.959705	6.61794e-05
81	0.960195	0.959711	6.56388e-05
82	0.959487	0.959708	6.48952e-05
83	0.960687	0.95972	6.51756e-05
84	0.959239	0.959714	6.4651e-05
85	0.959824	0.959715	6.39034e-05
86	0.960032	0.959719	6.32662e-05
87	0.959227	0.959713	6.27911e-05
88	0.961105	0.959729	6.40384e-05
89	0.960788	0.959741	6.44133e-05
90	0.959101	0.959734	6.40894e-05
91	0.959327	0.95973	6.35407e-05
92	0.959353	0.959725	6.29819e-05
93	0.958917	0.959717	6.29015e-05
94	0.958509	0.959704	6.35316e-05
95	0.960326	0.959711	6.31999e-05
96	0.959233	0.959706	6.27368e-05
97	0.959326	0.959702	6.22122e-05
98	0.958682	0.959691	6.24405e-05
99	0.958523	0.959679	6.29151e-05
100	0.959483	0.959677	6.23165e-05
