BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-6.35414	-6.35414	0
2	-6.34526	-6.3497	0.00313958
3	-6.33754	-6.34564	0.0039156
4	-6.36471	-6.35041	0.0050657
5	-6.35787	-6.3519	0.00426648
6	-6.33356	-6.34884	0.00451958
7	-6.33736	-6.3472	0.0041609
8	-6.3535	-6.34799	0.00371442
9	-6.33369	-6.3464	0.00362562
10	-6.33958	-6.34572	0.00332668
11	-6.36758	-6.34771	0.00356896
12	-6.36334	-6.34901	0.00350115
13	-6.34321	-6.34856	0.00326016
14	-6.33884	-6.34787	0.00310033
15	-6.34157	-6.34745	0.00292196
16	-6.33365	-6.34659	0.00286372
17	-6.31344	-6.34464	0.00329283
18	-6.362	-6.3456	0.00324812
19	-6.35871	-6.34629	0.00314961
20	-6.34876	-6.34642	0.00299454
21	-6.32994	-6.34563	0.00295288
22	-6.35373	-6.346	0.00284152
23	-6.34284	-6.34586	0.00272129
24	-6.33935	-6.34559	0.00262141
25	-6.365	-6.34637	0.00262897
26	-6.34756	-6.34641	0.00252826
27	-6.32895	-6.34577	0.002516
28	-6.32423	-6.345	0.00254099
29	-6.34194	-6.34489	0.00245556
30	-6.36427	-6.34554	0.00245724
31	-6.34393	-6.34549	0.00237852
32	-6.34347	-6.34542	0.00230502
33	-6.37427	-6.3463	0.00239525
34	-6.36722	-6.34691	0.00240257
35	-6.33996	-6.34671	0.00234213
36	-6.34095	-6.34655	0.00228254
37	-6.33629	-6.34628	0.00223764
38	-6.3629	-6.34671	0.00222109
39	-6.3535	-6.34689	0.00217095
40	-6.33642	-6.34663	0.00213239
41	-6.33719	-6.3464	0.00209276
42	-6.34751	-6.34642	0.0020431
43	-6.33546	-6.34617	0.00201144
44	-6.34885	-6.34623	0.00196665
45	-6.35009	-6.34631	0.00192482
46	-6.33764	-6.34613	0.00189219
47	-6.36751	-6.34658	0.00190586
48	-6.34949	-6.34664	0.00186712
49	-6.33738	-6.34645	0.00183855
50	-6.34776	-6.34648	0.00180197
51	-6.35645	-6.34667	0.0017772
52	-6.33505	-6.34645	0.00175704
53	-6.34201	-6.34637	0.00172589
54	-6.35118	-6.34646	0.00169623
55	-6.34395	-6.34641	0.001666
56	-6.34447	-6.34637	0.00163661
57	-6.32633	-6.34602	0.00164524
58	-6.33503	-6.34583	0.00162776
59	-6.36142	-6.3461	0.00162148
60	-6.35333	-6.34622	0.00159893
61	-6.37603	-6.34671	0.00164573
62	-6.32599	-6.34637	0.00165276
63	-6.35859	-6.34657	0.00163786
64	-6.35735	-6.34674	0.0016209
65	-6.35173	-6.34681	0.00159778
66	-6.36306	-6.34706	0.00159244
67	-6.34063	-6.34696	0.00157156
68	-6.33371	-6.34677	0.00156048
69	-6.35489	-6.34689	0.0015423
70	-6.34721	-6.34689	0.00152027
71	-6.33165	-6.34668	0.00151394
72	-6.35012	-6.34672	0.00149367
73	-6.33672	-6.34659	0.00147948
74	-6.33839	-6.34648	0.00146363
75	-6.33107	-6.34627	0.00145845
76	-6.34783	-6.34629	0.00143941
77	-6.34531	-6.34628	0.00142077
78	-6.31705	-6.3459	0.00145112
79	-6.35546	-6.34602	0.00143778
80	-6.32413	-6.34575	0.00144563
81	-6.35113	-6.34582	0.00142931
82	-6.3501	-6.34587	0.00141283
83	-6.33936	-6.34579	0.00139799
84	-6.36767	-6.34605	0.00140539
85	-6.34282	-6.34601	0.00138937
86	-6.33902	-6.34593	0.00137559
87	-6.35734	-6.34606	0.00136601
88	-6.31871	-6.34575	0.00138539
89	-6.33338	-6.34561	0.00137679
90	-6.36143	-6.34579	0.00137266
91	-6.34287	-6.34576	0.00135795
92	-6.36022	-6.34591	0.00135226
93	-6.35942	-6.34606	0.00134549
94	-6.36934	-6.34631	0.00135378
95	-6.33926	-6.34623	0.00134157
96	-6.3434	-6.3462	0.00132791
97	-6.3531	-6.34627	0.00131613
98	-6.36194	-6.34643	0.00131236
99	-6.35952	-6.34657	0.00130575
100	-6.35762	-6.34668	0.00129736
101	-6.34274	-6.34664	0.0012851
102	-6.35472	-6.34672	0.00127494
103	-6.37071	-6.34695	0.00128367
104	-6.36474	-6.34712	0.00128267
105	-6.33889	-6.34704	0.00127285
106	-6.35594	-6.34713	0.0012636
107	-6.35691	-6.34722	0.0012551
108	-6.34952	-6.34724	0.00124366
109	-6.34258	-6.3472	0.00123298
110	-6.35207	-6.34724	0.00122257
111	-6.35415	-6.3473	0.00121314
112	-6.33659	-6.34721	0.00120607
113	-6.35264	-6.34726	0.00119636
114	-6.32906	-6.3471	0.00119646
115	-6.33972	-6.34703	0.00118777
116	-6.35207	-6.34708	0.00117833
117	-6.33318	-6.34696	0.00117423
118	-6.34624	-6.34695	0.00116429
119	-6.3631	-6.34709	0.00116239
120	-6.36005	-6.34719	0.00115771
121	-6.33849	-6.34712	0.00115038
122	-6.31998	-6.3469	0.00116227
123	-6.33849	-6.34683	0.00115483
124	-6.34826	-6.34684	0.00114558
125	-6.3631	-6.34697	0.00114377
126	-6.34902	-6.34699	0.00113481
127	-6.35047	-6.34702	0.00112621
128	-6.35635	-6.34709	0.00111977
129	-6.35897	-6.34718	0.00111487
130	-6.35687	-6.34726	0.00110878
131	-6.34813	-6.34726	0.00110033
132	-6.36948	-6.34743	0.00110479
133	-6.34684	-6.34743	0.0010965
134	-6.3538	-6.34747	0.00108934
135	-6.34839	-6.34748	0.0010813
136	-6.34405	-6.34746	0.00107364
137	-6.36332	-6.34757	0.00107203
138	-6.35794	-6.34765	0.00106689
139	-6.34046	-6.34759	0.00106047
140	-6.32705	-6.34745	0.001063
141	-6.34962	-6.34746	0.00105557
142	-6.34986	-6.34748	0.00104827
143	-6.35896	-6.34756	0.00104401
144	-6.33511	-6.34747	0.00104034
145	-6.33542	-6.34739	0.00103648
146	-6.3487	-6.3474	0.00102942
147	-6.36573	-6.34752	0.00102994
148	-6.35171	-6.34755	0.00102337
149	-6.35514	-6.3476	0.00101776
150	-6.34563	-6.34759	0.00101106
151	-6.36011	-6.34767	0.00100776
152	-6.34421	-6.34765	0.00100139
153	-6.35159	-6.34768	0.000995174
154	-6.33512	-6.3476	0.000992046
155	-6.34625	-6.34759	0.000985683
156	-6.34477	-6.34757	0.00097953
157	-6.33834	-6.34751	0.000975054
158	-6.32848	-6.34739	0.000976296
159	-6.35089	-6.34741	0.000970403
160	-6.35781	-6.34748	0.000966514
161	-6.35436	-6.34752	0.000961457
162	-6.33847	-6.34746	0.000957145
163	-6.36971	-6.3476	0.000960955
164	-6.34376	-6.34758	0.00095538
165	-6.32867	-6.34746	0.000956438
166	-6.34937	-6.34747	0.000950745
167	-6.34573	-6.34746	0.000945109
168	-6.36312	-6.34756	0.000944069
169	-6.33588	-6.34749	0.000941005
170	-6.34631	-6.34748	0.000935495
171	-6.33951	-6.34743	0.000931185
172	-6.33171	-6.34734	0.00093025
173	-6.33831	-6.34729	0.000926338
174	-6.36117	-6.34737	0.000924443
175	-6.36184	-6.34745	0.000922852
176	-6.34593	-6.34744	0.000917649
177	-6.3368	-6.34738	0.000914434
178	-6.3569	-6.34744	0.00091086
179	-6.34024	-6.3474	0.000906658
180	-6.3373	-6.34734	0.000903355
181	-6.33427	-6.34727	0.000901245
182	-6.34133	-6.34724	0.000896885
183	-6.34759	-6.34724	0.000891986
184	-6.35319	-6.34727	0.000887725
185	-6.34172	-6.34724	0.000883433
186	-6.35359	-6.34727	0.000879342
187	-6.35585	-6.34732	0.000875836
188	-6.34068	-6.34728	0.000871888
189	-6.34399	-6.34727	0.00086745
190	-6.3568	-6.34732	0.000864334
191	-6.32582	-6.3472	0.000867104
192	-6.37455	-6.34735	0.000874209
193	-6.37073	-6.34747	0.000878035
194	-6.36638	-6.34757	0.000878901
195	-6.33901	-6.34752	0.000875487
196	-6.34894	-6.34753	0.000871051
197	-6.34559	-6.34752	0.000866685
198	-6.3359	-6.34746	0.000864291
199	-6.3386	-6.34742	0.000861094
200	-6.3646	-6.3475	0.000861065
201	-6.36058	-6.34757	0.000859235
202	-6.36597	-6.34766	0.000859798
203	-6.36046	-6.34772	0.000857872
204	-6.32594	-6.34761	0.000860285
205	-6.35207	-6.34764	0.000856363
206	-6.33868	-6.34759	0.000853308
207	-6.32267	-6.34747	0.000857639
208	-6.33496	-6.34741	0.000855621
209	-6.36868	-6.34751	0.000857557
210	-6.34713	-6.34751	0.000853475
211	-6.32729	-6.34742	0.000854794
212	-6.35719	-6.34746	0.000852004
213	-6.33545	-6.34741	0.000849869
214	-6.33788	-6.34736	0.000847063
215	-6.34508	-6.34735	0.000843189
216	-6.32996	-6.34727	0.00084312
217	-6.32863	-6.34718	0.000843598
218	-6.37754	-6.34732	0.000851145
219	-6.33836	-6.34728	0.000848242
220	-6.3441	-6.34727	0.00084451
221	-6.34993	-6.34728	0.000840775
222	-6.34537	-6.34727	0.000837032
223	-6.35657	-6.34731	0.000834317
224	-6.32409	-6.34721	0.00083701
225	-6.33815	-6.34717	0.000834257
226	-6.3564	-6.34721	0.000831564
227	-6.35606	-6.34725	0.000828814
228	-6.37185	-6.34736	0.000832172
229	-6.36132	-6.34742	0.00083077
230	-6.30554	-6.34724	0.000846874
231	-6.33944	-6.3472	0.000843881
232	-6.35465	-6.34723	0.000840854
233	-6.34639	-6.34723	0.000837253
234	-6.35544	-6.34727	0.00083441
235	-6.35703	-6.34731	0.000831894
236	-6.34735	-6.34731	0.000828369
237	-6.33708	-6.34726	0.000825996
238	-6.35255	-6.34729	0.000822825
239	-6.32909	-6.34721	0.000822897
240	-6.33157	-6.34715	0.000822043
241	-6.34848	-6.34715	0.000818651
242	-6.36675	-6.34723	0.000819263
243	-6.35235	-6.34725	0.000816162
244	-6.34582	-6.34725	0.000812838
245	-6.33267	-6.34719	0.000811694
246	-6.34949	-6.3472	0.000808449
247	-6.34739	-6.3472	0.000805176
248	-6.34414	-6.34719	0.000802024
249	-6.36045	-6.34724	0.000800569
250	-6.34137	-6.34722	0.000797711
251	-6.34654	-6.34721	0.000794538
252	-6.3546	-6.34724	0.000791925
253	-6.34103	-6.34722	0.000789175
254	-6.36255	-6.34728	0.000788373
255	-6.34169	-6.34726	0.000785586
256	-6.36385	-6.34732	0.000785186
257	-6.32724	-6.34724	0.00078601
258	-6.34294	-6.34723	0.00078314
259	-6.3329	-6.34717	0.000782067
260	-6.3744	-6.34728	0.000786039
261	-6.34417	-6.34726	0.000783117
262	-6.32228	-6.34717	0.000785912
263	-6.3307	-6.34711	0.000785414
264	-6.341	-6.34708	0.00078278
265	-6.37455	-6.34719	0.00078666
266	-6.32325	-6.3471	0.000788834
267	-6.33799	-6.34706	0.000786616
268	-6.35534	-6.34709	0.000784287
269	-6.32952	-6.34703	0.000784088
270	-6.34502	-6.34702	0.000781219
271	-6.33142	-6.34696	0.000780455
272	-6.32356	-6.34688	0.000782312
273	-6.35144	-6.34689	0.000779625
274	-6.35226	-6.34691	0.000777026
275	-6.33924	-6.34688	0.000774701
276	-6.34785	-6.34689	0.000771902
277	-6.34451	-6.34688	0.000769163
278	-6.35262	-6.3469	0.000766673
279	-6.33607	-6.34686	0.000764908
280	-6.35593	-6.34689	0.000762862
281	-6.36026	-6.34694	0.000761628
282	-6.34127	-6.34692	0.000759193
283	-6.34869	-6.34693	0.000756536
284	-6.34545	-6.34692	0.00075389
285	-6.34086	-6.3469	0.000751544
286	-6.35514	-6.34693	0.000749468
287	-6.34073	-6.34691	0.000747168
288	-6.34367	-6.3469	0.000744658
289	-6.36039	-6.34694	0.000743543
290	-6.35396	-6.34697	0.000741373
291	-6.37092	-6.34705	0.000743381
292	-6.36107	-6.3471	0.000742385
293	-6.33855	-6.34707	0.000740424
294	-6.33788	-6.34704	0.000738564
295	-6.33976	-6.34701	0.000736473
296	-6.331	-6.34696	0.00073597
297	-6.35895	-6.347	0.000734599
298	-6.34789	-6.347	0.00073214
299	-6.34137	-6.34698	0.000729933
300	-6.31891	-6.34689	0.000733474
301	-6.35237	-6.34691	0.000731264
302	-6.35265	-6.34693	0.000729089
303	-6.34303	-6.34691	0.000726797
304	-6.34242	-6.3469	0.000724556
305	-6.35897	-6.34694	0.00072326
306	-6.35455	-6.34696	0.000721324
307	-6.35105	-6.34698	0.000719097
308	-6.32426	-6.3469	0.000720534
309	-6.32429	-6.34683	0.000721908
310	-6.36655	-6.34689	0.000722377
311	-6.3402	-6.34687	0.000720375
312	-6.34789	-6.34688	0.000718073
313	-6.3483	-6.34688	0.000715794
314	-6.34522	-6.34687	0.000713534
315	-6.3502	-6.34689	0.000711347
316	-6.33157	-6.34684	0.000710744
317	-6.32956	-6.34678	0.000710587
318	-6.32347	-6.34671	0.000712123
319	-6.35379	-6.34673	0.000710237
320	-6.34722	-6.34673	0.000708019
321	-6.34159	-6.34672	0.000705994
322	-6.31057	-6.3466	0.00071267
323	-6.36643	-6.34667	0.000713102
324	-6.3402	-6.34665	0.00071118
325	-6.35383	-6.34667	0.000709335
