BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.83107	1.83107	0
2	1.85122	1.84115	0.00712462
3	1.85413	1.84547	0.00591975
4	1.84689	1.84583	0.00445033
5	1.81193	1.83905	0.0070311
6	1.80199	1.83287	0.00813151
7	1.80501	1.82889	0.00788404
8	1.79517	1.82468	0.00794553
9	1.81121	1.82318	0.00720219
10	1.81245	1.82211	0.00656147
11	1.82401	1.82228	0.00596725
12	1.84092	1.82383	0.00566861
13	1.79853	1.82189	0.0055567
14	1.82125	1.82184	0.00515997
15	1.83813	1.82293	0.00492894
16	1.81835	1.82264	0.00462918
17	1.81777	1.82235	0.00436573
18	1.86074	1.82449	0.00461472
19	1.93259	1.83018	0.0070554
20	1.87995	1.83266	0.00712798
21	1.92537	1.83708	0.0080402
22	1.95207	1.84231	0.00921837
23	1.88275	1.84406	0.00898372
24	1.84511	1.84411	0.0086095
25	1.82383	1.8433	0.00830323
26	1.80397	1.84178	0.00812045
27	1.87234	1.84292	0.00789818
28	1.89825	1.84489	0.00785941
29	1.89408	1.84659	0.00776924
30	1.87761	1.84762	0.00757879
31	1.82038	1.84674	0.0073851
32	1.84066	1.84655	0.00715676
33	1.83095	1.84608	0.00695549
34	1.87089	1.84681	0.00678908
35	1.92116	1.84893	0.00691946
36	1.90243	1.85042	0.00688494
37	1.94454	1.85296	0.00715339
38	1.93845	1.85521	0.00731033
39	1.9753	1.85829	0.00774428
40	1.9844	1.86145	0.00816719
41	1.99009	1.86458	0.00854952
42	1.91799	1.86586	0.00843998
43	1.87035	1.86596	0.00824435
44	1.90352	1.86681	0.00810105
45	1.92038	1.868	0.00800802
46	1.89335	1.86855	0.00785287
47	1.85428	1.86825	0.00769166
48	1.85559	1.86799	0.00753593
49	1.86578	1.86794	0.00738228
50	1.85224	1.86763	0.00724131
51	1.85778	1.86743	0.00710189
52	1.87596	1.8676	0.00696721
53	1.83937	1.86707	0.00685608
54	1.88018	1.86731	0.00673341
55	1.84701	1.86694	0.0066211
56	1.80756	1.86588	0.00658721
57	1.8147	1.86498	0.00653255
58	1.87668	1.86518	0.00642303
59	1.87821	1.8654	0.00631796
60	1.81617	1.86458	0.00626571
61	1.8753	1.86476	0.00616546
62	1.8858	1.8651	0.00607534
63	1.82514	1.86446	0.00601192
64	1.83604	1.86402	0.00593437
65	1.87764	1.86423	0.00584677
66	1.86884	1.8643	0.0057586
67	1.80858	1.86347	0.00573238
68	1.85726	1.86338	0.00564881
69	1.87901	1.8636	0.00557148
70	1.84122	1.86328	0.00550106
71	1.8329	1.86286	0.00544019
72	1.81115	1.86214	0.00541183
73	1.84229	1.86187	0.00534452
