BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-7.55628	-7.55628	0
2	-7.5553	-7.55579	0.000348035
3	-7.55621	-7.55593	0.000258427
4	-7.56931	-7.55927	0.00290328
5	-7.53949	-7.55532	0.00423389
6	-7.54521	-7.55363	0.00384858
7	-7.55905	-7.55441	0.00337569
8	-7.55038	-7.5539	0.00299097
9	-7.55677	-7.55422	0.0026756
10	-7.55091	-7.55389	0.00242847
11	-7.54777	-7.55334	0.00227057
12	-7.55286	-7.5533	0.0020817
13	-7.56196	-7.55396	0.00202549
14	-7.54028	-7.55298	0.00210353
15	-7.54846	-7.55268	0.00198483
16	-7.54538	-7.55223	0.00191257
17	-7.56596	-7.55303	0.00196319
18	-7.55512	-7.55315	0.00185754
19	-7.54959	-7.55296	0.0017692
20	-7.5478	-7.5527	0.00169944
21	-7.56086	-7.55309	0.00166229
22	-7.56006	-7.55341	0.00161661
23	-7.54391	-7.553	0.00159816
24	-7.5452	-7.55267	0.00156426
25	-7.56011	-7.55297	0.00152975
26	-7.54129	-7.55252	0.00153546
27	-7.54344	-7.55218	0.00151494
28	-7.55138	-7.55216	0.00146111
29	-7.55799	-7.55236	0.00142453
30	-7.55595	-7.55248	0.00138207
31	-7.56027	-7.55273	0.00136015
32	-7.55792	-7.55289	0.00132728
33	-7.56323	-7.5532	0.00132352
34	-7.54369	-7.55292	0.00131382
35	-7.54442	-7.55268	0.00129854
36	-7.56063	-7.5529	0.0012811
37	-7.55539	-7.55297	0.00124824
38	-7.55658	-7.55306	0.00121901
39	-7.5511	-7.55301	0.00118879
40	-7.55518	-7.55307	0.00116031
41	-7.54438	-7.55286	0.00115118
42	-7.55679	-7.55295	0.00112758
43	-7.55509	-7.553	0.00110245
44	-7.53041	-7.55249	0.00119094
45	-7.56047	-7.55266	0.00117763
46	-7.55505	-7.55271	0.00115317
47	-7.54371	-7.55252	0.00114443
48	-7.56514	-7.55279	0.00115039
49	-7.54098	-7.55255	0.00115185
50	-7.56227	-7.55274	0.00114511
51	-7.54897	-7.55267	0.00112504
52	-7.55375	-7.55269	0.0011036
53	-7.55567	-7.55274	0.00108421
54	-7.55865	-7.55285	0.00106963
55	-7.54804	-7.55276	0.00105375
56	-7.54945	-7.55271	0.00103659
57	-7.54563	-7.55258	0.00102581
58	-7.56501	-7.5528	0.00103024
59	-7.55177	-7.55278	0.00101293
60	-7.55065	-7.55274	0.000996666
61	-7.55687	-7.55281	0.000982626
62	-7.55327	-7.55282	0.000966805
63	-7.55764	-7.55289	0.000954489
64	-7.54826	-7.55282	0.000942314
65	-7.55461	-7.55285	0.000928217
66	-7.55487	-7.55288	0.000914658
67	-7.56305	-7.55303	0.000913503
68	-7.54738	-7.55295	0.000903837
69	-7.55526	-7.55298	0.000891359
70	-7.55069	-7.55295	0.000879226
71	-7.5606	-7.55306	0.000873416
72	-7.55254	-7.55305	0.000861314
73	-7.55556	-7.55308	0.000850203
74	-7.5402	-7.55291	0.000856369
75	-7.55684	-7.55296	0.000846549
76	-7.54641	-7.55288	0.000839792
77	-7.54772	-7.55281	0.000831547
78	-7.55239	-7.5528	0.000820904
79	-7.54576	-7.55272	0.000815335
80	-7.55381	-7.55273	0.000805259
81	-7.55735	-7.55279	0.000797339
82	-7.55604	-7.55283	0.000788601
83	-7.55069	-7.5528	0.00077952
84	-7.55558	-7.55283	0.000770943
85	-7.55325	-7.55284	0.000761889
86	-7.55984	-7.55292	0.00075737
87	-7.5481	-7.55286	0.000750685
88	-7.5535	-7.55287	0.000742189
89	-7.55382	-7.55288	0.000733926
90	-7.56402	-7.55301	0.000736129
91	-7.55477	-7.55303	0.000728296
92	-7.55135	-7.55301	0.000720608
93	-7.55709	-7.55305	0.000714195
94	-7.5437	-7.55295	0.000713493
95	-7.56398	-7.55307	0.000715371
96	-7.55041	-7.55304	0.000708455
97	-7.55819	-7.55309	0.000703138
98	-7.53874	-7.55295	0.000711058
99	-7.56173	-7.55304	0.000709386
100	-7.55078	-7.55301	0.000702651
101	-7.55776	-7.55306	0.000697266
102	-7.55713	-7.5531	0.00069157
103	-7.55675	-7.55313	0.000685763
104	-7.54727	-7.55308	0.000681487
105	-7.55241	-7.55307	0.000675026
106	-7.55513	-7.55309	0.000668936
107	-7.55296	-7.55309	0.000662686
108	-7.55486	-7.55311	0.000656753
109	-7.54779	-7.55306	0.000652536
110	-7.56248	-7.55314	0.000652205
111	-7.55299	-7.55314	0.000646331
112	-7.54706	-7.55309	0.000642834
113	-7.55637	-7.55312	0.000637801
114	-7.54231	-7.55302	0.000639212
115	-7.56103	-7.55309	0.000637433
116	-7.54375	-7.55301	0.000637004
117	-7.55776	-7.55305	0.000632853
118	-7.55182	-7.55304	0.000627577
119	-7.55776	-7.55308	0.000623554
120	-7.55716	-7.55312	0.000619284
121	-7.55894	-7.55316	0.000616036
122	-7.55775	-7.5532	0.000612133
123	-7.55397	-7.55321	0.000607188
124	-7.54742	-7.55316	0.00060408
125	-7.55874	-7.55321	0.000600893
126	-7.5391	-7.55309	0.000606465
127	-7.55272	-7.55309	0.000601697
128	-7.55249	-7.55309	0.000597014
129	-7.54843	-7.55305	0.000593476
130	-7.54606	-7.553	0.000591341
131	-7.55575	-7.55302	0.000587199
132	-7.55072	-7.553	0.000583009
133	-7.55007	-7.55298	0.000579041
134	-7.56256	-7.55305	0.000579118
135	-7.55179	-7.55304	0.000574904
136	-7.55145	-7.55303	0.000570795
137	-7.55765	-7.55306	0.000567623
