#   N_BLOCK:  ACCEPTANCE:
           1    0.617944
           2    0.619843
           3    0.620574
           4    0.619847
           5    0.619748
           6    0.619676
           7    0.619577
           8    0.619631
           9    0.619189
          10    0.619177
          11    0.619328
          12    0.619285
          13    0.619355
          14    0.619147
          15    0.619243
          16    0.619154
          17    0.619088
          18    0.619307
          19    0.619187
          20    0.619024
          21    0.619119
          22    0.619131
          23    0.619198
          24    0.619108
          25    0.619195
          26     0.61916
          27     0.61931
          28    0.619273
          29    0.619279
          30    0.619278
          31     0.61939
          32    0.619317
          33     0.61924
          34    0.619113
          35    0.619014
          36    0.618899
          37    0.618917
          38    0.618997
          39    0.619111
          40    0.619042
          41    0.618985
          42    0.618923
          43     0.61885
          44    0.618805
          45    0.618764
          46    0.618834
          47    0.618846
          48    0.618799
          49    0.618758
          50    0.618789
          51    0.618796
          52    0.618746
          53    0.618654
          54    0.618665
          55    0.618631
          56    0.618638
          57    0.618624
          58    0.618627
          59    0.618685
          60    0.618681
          61    0.618741
          62    0.618726
          63    0.618703
          64    0.618749
          65    0.618712
          66    0.618732
          67    0.618734
          68    0.618733
          69    0.618761
          70    0.618697
          71    0.618652
          72     0.61871
          73    0.618714
          74    0.618715
          75    0.618726
          76     0.61872
          77    0.618772
          78    0.618778
          79    0.618826
          80    0.618828
          81    0.618836
          82    0.618821
          83    0.618819
          84    0.618847
          85     0.61885
          86    0.618878
          87    0.618871
          88    0.618845
          89    0.618789
          90     0.61876
          91    0.618735
          92    0.618704
          93    0.618682
          94    0.618702
          95    0.618697
          96    0.618691
          97    0.618706
          98    0.618705
          99    0.618737
         100    0.618762
