BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-0.419298	-0.419298	0
2	-0.412258	-0.415778	0.00248896
3	-0.409598	-0.413718	0.00236271
4	-0.4133	-0.413613	0.00177434
5	-0.409535	-0.412798	0.00159601
6	-0.41113	-0.41252	0.001354
7	-0.41131	-0.412347	0.00117154
8	-0.416222	-0.412831	0.00112079
9	-0.415099	-0.413083	0.00102419
10	-0.414753	-0.41325	0.000935289
11	-0.409745	-0.412932	0.000902921
12	-0.412884	-0.412928	0.000827687
13	-0.412034	-0.412859	0.000766867
14	-0.41911	-0.413305	0.00083197
15	-0.412199	-0.413232	0.000779767
16	-0.410819	-0.413081	0.000745465
17	-0.417696	-0.413352	0.000749425
18	-0.409194	-0.413121	0.000742546
19	-0.416081	-0.413277	0.000719617
20	-0.416449	-0.413436	0.000700897
21	-0.413435	-0.413436	0.00066752
22	-0.413583	-0.413442	0.000637212
23	-0.411067	-0.413339	0.000617821
24	-0.410203	-0.413208	0.000605742
25	-0.410099	-0.413084	0.000594142
26	-0.416998	-0.413235	0.00059005
27	-0.409563	-0.413099	0.000583656
28	-0.413612	-0.413117	0.0005631
29	-0.416288	-0.413226	0.000554199
30	-0.415824	-0.413313	0.000542448
31	-0.411052	-0.41324	0.000529829
32	-0.416454	-0.41334	0.000522707
33	-0.416136	-0.413425	0.000513687
34	-0.418584	-0.413577	0.000520504
35	-0.415462	-0.413631	0.000508412
36	-0.417577	-0.41374	0.000505969
37	-0.414264	-0.413754	0.000492492
38	-0.409366	-0.413639	0.000492884
39	-0.413548	-0.413637	0.000480252
40	-0.41425	-0.413652	0.00046849
41	-0.415498	-0.413697	0.000459222
42	-0.415953	-0.413751	0.000451418
43	-0.417426	-0.413836	0.000448939
44	-0.415613	-0.413877	0.000440549
45	-0.415458	-0.413912	0.000432159
46	-0.411893	-0.413868	0.000424986
47	-0.41492	-0.41389	0.000416533
48	-0.422107	-0.414061	0.000441635
49	-0.416259	-0.414106	0.000434893
50	-0.413614	-0.414096	0.000426307
51	-0.421371	-0.414239	0.000441163
52	-0.41337	-0.414222	0.000432996
53	-0.420321	-0.414337	0.000439851
54	-0.416921	-0.414385	0.000434299
55	-0.412883	-0.414358	0.000427261
56	-0.41543	-0.414377	0.00042006
57	-0.418607	-0.414451	0.000419194
58	-0.41204	-0.41441	0.000414023
59	-0.410681	-0.414347	0.0004118
60	-0.413294	-0.414329	0.00040531
61	-0.412457	-0.414298	0.000399826
62	-0.417236	-0.414346	0.000396174
63	-0.411941	-0.414307	0.00039172
64	-0.410867	-0.414254	0.00038927
65	-0.41766	-0.414306	0.000386792
66	-0.409985	-0.414241	0.000386432
67	-0.414307	-0.414242	0.000380665
68	-0.415651	-0.414262	0.000375631
69	-0.410024	-0.414201	0.000375176
70	-0.419695	-0.414279	0.000377937
71	-0.419823	-0.414358	0.000380594
72	-0.407267	-0.414259	0.00038784
73	-0.412839	-0.41424	0.000383015
74	-0.412273	-0.414213	0.00037876
75	-0.420101	-0.414292	0.000381759
76	-0.411697	-0.414257	0.00037826
77	-0.410738	-0.414212	0.000376099
78	-0.411438	-0.414176	0.000372955
79	-0.409051	-0.414111	0.000373833
80	-0.417025	-0.414148	0.00037093
81	-0.412818	-0.414131	0.000366714
82	-0.41653	-0.414161	0.000363407
83	-0.41764	-0.414202	0.000361438
84	-0.41291	-0.414187	0.000357463
85	-0.413083	-0.414174	0.000353493
86	-0.410388	-0.41413	0.000352114
87	-0.415746	-0.414149	0.000348556
88	-0.416871	-0.41418	0.000345966
89	-0.419652	-0.414241	0.0003475
90	-0.417155	-0.414273	0.000345143
91	-0.418797	-0.414323	0.000344911
92	-0.423596	-0.414424	0.000355585
93	-0.420365	-0.414488	0.000357454
94	-0.411215	-0.414453	0.000355343
95	-0.415854	-0.414468	0.000351908
96	-0.417745	-0.414502	0.000349894
97	-0.411988	-0.414476	0.000347246
98	-0.417429	-0.414506	0.000345008
99	-0.407719	-0.414438	0.000348267
100	-0.409934	-0.414392	0.000347684
