#   N_BLOCK:  ACCEPTANCE:
           1    0.523815
           2    0.515037
           3    0.513086
           4    0.511796
           5    0.511393
           6    0.511035
           7    0.510963
           8    0.511124
           9    0.511171
          10    0.510576
          11    0.510127
          12    0.510178
          13    0.510249
          14    0.510109
          15    0.510241
          16    0.510135
          17    0.509993
          18    0.509811
          19     0.50963
          20    0.509644
          21    0.509675
          22    0.509768
          23    0.509817
          24    0.509714
          25    0.509603
          26     0.50955
          27     0.50957
          28    0.509615
          29    0.509651
          30    0.509567
          31    0.509569
          32    0.509519
          33     0.50954
          34    0.509536
          35    0.509625
          36    0.509785
          37    0.509785
          38    0.509799
          39    0.509921
          40    0.509813
          41    0.509784
          42    0.509742
          43    0.509786
          44    0.509802
          45    0.509746
          46    0.509748
          47    0.509821
          48    0.509853
          49     0.50993
          50    0.509918
          51    0.509873
          52    0.509839
          53     0.50985
          54    0.509816
          55    0.509842
          56    0.509864
          57    0.509897
          58    0.509845
          59    0.509859
          60    0.509911
          61    0.509959
          62    0.509973
          63    0.510026
          64    0.510103
          65    0.510067
          66    0.510062
          67     0.51003
          68    0.509989
          69    0.509954
          70     0.50992
          71    0.509949
          72    0.509913
          73    0.509981
          74    0.510055
          75    0.510061
          76    0.510088
          77    0.510111
          78    0.510074
          79    0.510081
          80     0.51007
          81    0.510048
          82     0.51005
          83    0.510023
          84     0.51002
          85    0.509963
          86    0.509958
          87    0.509964
          88    0.509967
          89     0.51001
          90     0.51002
          91    0.510009
          92    0.510005
          93    0.509956
          94    0.509979
          95    0.509947
          96    0.509926
          97    0.509841
          98    0.509834
          99    0.509814
         100    0.509851
