BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.886635	0.886635	0
2	0.892109	0.889372	0.00193526
3	0.891607	0.890117	0.00142633
4	0.892506	0.890714	0.00118818
5	0.890486	0.890669	0.000951423
6	0.891539	0.890814	0.000803844
7	0.891005	0.890841	0.000689474
8	0.890764	0.890831	0.000603357
9	0.890599	0.890806	0.000536871
10	0.892199	0.890945	0.000500954
11	0.89176	0.891019	0.000460863
12	0.891403	0.891051	0.000423568
13	0.891363	0.891075	0.000391663
14	0.891888	0.891133	0.000367962
15	0.890649	0.891101	0.000344843
16	0.892206	0.89117	0.000330132
17	0.892618	0.891255	0.000321516
18	0.892217	0.891308	0.000308062
19	0.892031	0.891346	0.000294185
20	0.892222	0.89139	0.000282714
21	0.890938	0.891369	0.00027007
22	0.890432	0.891326	0.000261129
23	0.890475	0.891289	0.000252382
24	0.890595	0.89126	0.000243517
25	0.891278	0.891261	0.000233778
26	0.892645	0.891314	0.000230772
27	0.891459	0.89132	0.000222287
28	0.891538	0.891327	0.000214485
29	0.890529	0.8913	0.00020885
30	0.891127	0.891294	0.000201968
31	0.891236	0.891292	0.000195462
32	0.891912	0.891312	0.000190312
33	0.891252	0.89131	0.000184553
34	0.890799	0.891295	0.000179735
35	0.891383	0.891297	0.000174618
36	0.889491	0.891247	0.000176827
37	0.892238	0.891274	0.000174064
38	0.890317	0.891249	0.000171296
39	0.889123	0.891194	0.000175363
40	0.891905	0.891212	0.000171876
41	0.891368	0.891216	0.000167726
42	0.891914	0.891232	0.000164555
43	0.889903	0.891201	0.000163607
44	0.891195	0.891201	0.000159888
45	0.891928	0.891217	0.000157149
46	0.890866	0.89121	0.000153918
47	0.89042	0.891193	0.000151559
48	0.890496	0.891178	0.000149096
49	0.89048	0.891164	0.000146733
50	0.891844	0.891178	0.000144428
51	0.893398	0.891221	0.000148011
52	0.892416	0.891244	0.000146936
53	0.89044	0.891229	0.000144946
54	0.891438	0.891233	0.000142313
55	0.889971	0.89121	0.000141565
56	0.890868	0.891204	0.000139169
57	0.890157	0.891186	0.000137933
58	0.892754	0.891213	0.000138181
59	0.891961	0.891225	0.00013642
60	0.89041	0.891212	0.00013482
61	0.890133	0.891194	0.000133764
62	0.890913	0.89119	0.000131684
63	0.889684	0.891166	0.000131745
64	0.890705	0.891158	0.000129883
65	0.891815	0.891169	0.000128277
66	0.890738	0.891162	0.000126499
67	0.891656	0.891169	0.000124825
68	0.892279	0.891186	0.000124051
69	0.891578	0.891191	0.000122383
70	0.892072	0.891204	0.000121281
71	0.890962	0.891201	0.00011962
72	0.890566	0.891192	0.000118283
73	0.890388	0.891181	0.000117175
74	0.888932	0.89115	0.000119468
75	0.891189	0.891151	0.000117877
76	0.890753	0.891146	0.000116442
77	0.890429	0.891136	0.000115301
78	0.892123	0.891149	0.000114515
79	0.891885	0.891158	0.000113444
80	0.890644	0.891152	0.000112208
81	0.891348	0.891154	0.000110848
82	0.891411	0.891157	0.000109541
83	0.891174	0.891158	0.000108221
84	0.891719	0.891164	0.000107139
85	0.89226	0.891177	0.000106652
86	0.892045	0.891187	0.000105887
87	0.890947	0.891184	0.000104706
88	0.892033	0.891194	0.00010396
89	0.890872	0.891191	0.000102855
90	0.891435	0.891193	0.000101748
91	0.891376	0.891195	0.00010065
92	0.891575	0.891199	9.96401e-05
93	0.892381	0.891212	9.93756e-05
94	0.8913	0.891213	9.83228e-05
95	0.892826	0.89123	9.87421e-05
96	0.89174	0.891235	9.78562e-05
97	0.892553	0.891249	9.77861e-05
98	0.892014	0.891257	9.70994e-05
99	0.891157	0.891256	9.61238e-05
100	0.890096	0.891244	9.58591e-05
