#   N_BLOCK:  ACCEPTANCE:
           1      0.5445
           2    0.546574
           3    0.546769
           4    0.546683
           5    0.546687
           6    0.546539
           7     0.54632
           8    0.546378
           9    0.546296
          10    0.546165
          11    0.546165
          12    0.546047
          13    0.546141
          14     0.54613
          15    0.546125
          16    0.546106
          17    0.545924
          18     0.54582
          19    0.545811
          20    0.545875
          21    0.545916
          22    0.545939
          23    0.545829
          24     0.54585
          25     0.54581
          26    0.545852
          27    0.545875
          28    0.545838
          29    0.545856
          30    0.546004
          31    0.546096
          32    0.546062
          33    0.546099
          34    0.546079
          35    0.546091
          36     0.54614
          37    0.546151
          38    0.546151
          39    0.546187
          40    0.546205
          41    0.546231
          42    0.546276
          43    0.546242
          44     0.54625
          45    0.546281
          46    0.546263
          47    0.546266
          48     0.54625
          49    0.546218
          50    0.546238
          51    0.546237
          52    0.546181
          53    0.546153
          54    0.546101
          55    0.546104
          56    0.546125
          57    0.546133
          58    0.546128
          59    0.546131
          60    0.546141
          61    0.546123
          62     0.54616
          63    0.546132
          64    0.546131
          65    0.546166
          66    0.546194
          67     0.54618
          68    0.546193
          69     0.54619
          70    0.546187
          71    0.546179
          72    0.546163
          73    0.546161
          74    0.546151
          75    0.546158
          76    0.546161
          77    0.546148
          78    0.546179
          79    0.546167
          80    0.546173
          81    0.546149
          82    0.546158
          83    0.546202
          84    0.546205
          85    0.546195
          86    0.546172
          87    0.546175
          88    0.546195
          89    0.546186
          90    0.546175
          91    0.546171
          92    0.546158
          93    0.546184
          94    0.546232
          95    0.546217
          96    0.546204
          97    0.546225
          98    0.546228
          99    0.546224
         100    0.546213
