BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
1	-6.35609	-6.35609	0
2	-6.35145	-6.35377	0.00163916
3	-6.34978	-6.35244	0.00154056
4	-6.36018	-6.35438	0.00203522
5	-6.35824	-6.35515	0.00176876
6	-6.34377	-6.35325	0.00227433
7	-6.33358	-6.35044	0.00325141
8	-6.3331	-6.34827	0.00349398
9	-6.32776	-6.34599	0.00377646
10	-6.34395	-6.34579	0.00340435
11	-6.35871	-6.34696	0.00329125
12	-6.35891	-6.34796	0.00316403
13	-6.34178	-6.34749	0.00295609
14	-6.34267	-6.34714	0.00276485
15	-6.33348	-6.34623	0.00272651
16	-6.32987	-6.34521	0.00274122
17	-6.33163	-6.34441	0.00269374
18	-6.36101	-6.34533	0.00269738
19	-6.36034	-6.34612	0.00266857
20	-6.34565	-6.3461	0.00253525
21	-6.33476	-6.34556	0.00247136
22	-6.3423	-6.34541	0.00236345
23	-6.34175	-6.34525	0.00226603
24	-6.33457	-6.34481	0.00221492
25	-6.3635	-6.34555	0.00224896
26	-6.3506	-6.34575	0.00217081
27	-6.33869	-6.34549	0.00210609
28	-6.33263	-6.34503	0.00208033
29	-6.3374	-6.34476	0.00202516
30	-6.36278	-6.34536	0.00204475
31	-6.35362	-6.34563	0.00199604
32	-6.34163	-6.34551	0.00193757
33	-6.36817	-6.34619	0.0019969
34	-6.36252	-6.34667	0.00199509
35	-6.35842	-6.34701	0.00196611
36	-6.33709	-6.34673	0.00193069
37	-6.34599	-6.34671	0.00187861
38	-6.34285	-6.34661	0.00183193
39	-6.35852	-6.34692	0.00181023
40	-6.35464	-6.34711	0.00177523
41	-6.3472	-6.34711	0.00173194
42	-6.33746	-6.34688	0.00170586
43	-6.33488	-6.3466	0.00168886
44	-6.34725	-6.34662	0.00165054
45	-6.35526	-6.34681	0.001625
46	-6.32499	-6.34634	0.00165747
47	-6.35172	-6.34645	0.00162615
48	-6.35267	-6.34658	0.00159743
49	-6.3476	-6.3466	0.00156497
50	-6.35775	-6.34682	0.00154947
51	-6.32885	-6.34647	0.00155863
52	-6.34571	-6.34646	0.00152873
53	-6.34896	-6.3465	0.00150062
54	-6.35743	-6.34671	0.00148642
55	-6.33657	-6.34652	0.00147077
56	-6.34689	-6.34653	0.00144452
57	-6.3287	-6.34622	0.00145265
58	-6.34236	-6.34615	0.00142913
59	-6.34611	-6.34615	0.00140491
60	-6.34866	-6.34619	0.00138212
61	-6.36514	-6.3465	0.00139392
62	-6.33088	-6.34625	0.00139403
63	-6.3697	-6.34662	0.00142071
64	-6.35101	-6.34669	0.00140017
65	-6.36448	-6.34696	0.00140511
66	-6.35871	-6.34714	0.00139504
67	-6.34594	-6.34712	0.00137434
68	-6.35449	-6.34723	0.00135839
69	-6.3434	-6.34718	0.00133985
70	-6.33595	-6.34702	0.00133027
71	-6.31953	-6.34663	0.00136671
72	-6.34727	-6.34664	0.00134775
73	-6.33681	-6.3465	0.001336
74	-6.33968	-6.34641	0.00132112
75	-6.33867	-6.34631	0.00130753
76	-6.34002	-6.34622	0.00129293
77	-6.35359	-6.34632	0.00127967
78	-6.3369	-6.3462	0.00126895
79	-6.36533	-6.34644	0.00127578
80	-6.321	-6.34612	0.00129887
81	-6.33615	-6.346	0.00128866
82	-6.34848	-6.34603	0.0012733
83	-6.32789	-6.34581	0.00127659
84	-6.35515	-6.34592	0.00126622
85	-6.34362	-6.3459	0.00125161
86	-6.33937	-6.34582	0.00123936
87	-6.35483	-6.34592	0.00122943
88	-6.3185	-6.34561	0.00125433
89	-6.32485	-6.34538	0.00126175
90	-6.35822	-6.34552	0.00125577
91	-6.35445	-6.34562	0.00124579
92	-6.3533	-6.3457	0.00123505
93	-6.3632	-6.34589	0.00123601
94	-6.37021	-6.34615	0.00124963
95	-6.334	-6.34602	0.00124301
96	-6.35652	-6.34613	0.00123486
97	-6.35428	-6.34622	0.00122498
98	-6.36643	-6.34642	0.00122972
99	-6.36916	-6.34665	0.00123857
100	-6.34982	-6.34668	0.00122659
